Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14974207	0.07565255	0.09657827	0.01034040	-0.00987377	0.01049061	0.13310803	0.06346846	0.07994963	-0.00280843	0.01920950	-0.00175358	0.12593378	0.04971572	0.07081342	-0.01280954	0.02948717	-0.00485009	0.12565792	0.06480711	0.13086560	-0.00361839	0.00160549	0.00528464	0.09261144	0.04275581	0.09795143	-0.00289996	0.00662339	0.00299358	0.10689382	0.03870835	0.06201879	-0.00573142	-0.00952110	0.00669765	0.15624911	0.14467633	0.12747808	-0.00217163	0.00254781	0.01609116
0.016667	0.14991678	0.07548621	0.09675262	0.00795457	-0.00738572	0.00803772	0.13305919	0.06381542	0.07990525	-0.00063122	0.01235475	-0.00077069	0.12568289	0.05022786	0.07071177	-0.00699836	0.01848061	-0.00237712	0.12559487	0.06484498	0.13095911	-0.00343771	0.00090503	0.00346677	0.09255178	0.04287175	0.09800296	-0.00323722	0.00609087	0.00153132	0.10678793	0.03853933	0.06212623	-0.00371107	-0.00748138	0.00612775	0.15621777	0.14473234	0.12774248	-0.00217752	-0.00013992	0.01201187
0.033333	0.15005596	0.07535759	0.09689493	0.00556874	-0.00489766	0.00558483	0.13303800	0.06402683	0.07990187	0.00154600	0.00550000	0.00021219	0.12557641	0.05056325	0.07068271	-0.00118718	0.00747404	0.00009585	0.12554027	0.06485230	0.13102046	-0.00325703	0.00020456	0.00164889	0.09251164	0.04297124	0.09803374	-0.00357447	0.00555836	0.00006907	0.10672785	0.03841770	0.06223318	-0.00169073	-0.00544167	0.00555786	0.15617657	0.14472994	0.12796417	-0.00218340	-0.00282766	0.00793259
0.050000	0.15014100	0.07528110	0.09698144	0.00397639	-0.00292150	0.00368306	0.13308342	0.06406159	0.07992547	0.00317925	0.00179221	0.00019677	0.12562682	0.05061136	0.07071035	0.00169576	0.00035901	0.00103426	0.12548208	0.06484607	0.13103309	-0.00326657	0.00035383	0.00073046	0.09244969	0.04306413	0.09802380	-0.00422263	0.00536902	-0.00107173	0.10671330	0.03834024	0.06232983	-0.00099767	-0.00443587	0.00462553	0.15613370	0.14465699	0.12808378	-0.00184887	-0.00382492	0.00513034
0.066666	0.15018028	0.07525432	0.09702370	0.00114814	0.00055980	0.00032220	0.13314636	0.06402908	0.07993748	0.00729281	-0.00694825	0.00090108	0.12568256	0.05054049	0.07075267	0.00949022	-0.01415284	0.00340534	0.12544152	0.06483589	0.13102759	-0.00340590	0.00027198	-0.00132524	0.09239312	0.04313127	0.09800047	-0.00509182	0.00484211	-0.00336321	0.10672770	0.03828926	0.06240721	0.00093762	-0.00248057	0.00321425	0.15610543	0.14456278	0.12812389	-0.00126005	-0.00641296	0.00005171
0.083333	0.15017244	0.07529154	0.09699577	-0.00111044	0.00381948	-0.00262302	0.13326833	0.06388819	0.07994065	0.01261999	-0.01526574	0.00144709	0.12583959	0.05021062	0.07080937	0.01683734	-0.02705536	0.00483019	0.12538250	0.06484622	0.13099273	-0.00348726	0.00032153	-0.00304179	0.09228239	0.04322560	0.09793465	-0.00570754	0.00408321	-0.00540337	0.10675278	0.03826267	0.06245124	0.00306626	-0.00106175	0.00184347	0.15608305	0.14444281	0.12807021	-0.00019029	-0.00833857	-0.00450553
0.100000	0.15012653	0.07539035	0.09692057	-0.00257135	0.00637694	-0.00461122	0.13348402	0.06359621	0.07995953	0.01842394	-0.02260910	0.00239459	0.12615590	0.04964974	0.07091215	0.02359936	-0.03715085	0.00587171	0.12532288	0.06486234	0.13093278	-0.00312285	-0.00005472	-0.00411721	0.09217249	0.04328964	0.09781826	-0.00545862	0.00286172	-0.00665541	0.10678636	0.03826172	0.06245362	0.00524709	-0.00013873	0.00071839	0.15608338	0.14430076	0.12796196	0.00102036	-0.00966381	-0.00746037
0.116666	0.15004928	0.07554345	0.09678889	-0.00314915	0.00759780	-0.00533441	0.13386205	0.06308814	0.07999709	0.02293447	-0.02748489	0.00344036	0.12668535	0.04880784	0.07103162	0.02831679	-0.04267697	0.00642328	0.12524681	0.06488143	0.13083228	-0.00228369	-0.00085958	-0.00447715	0.09204975	0.04335316	0.09766279	-0.00437995	0.00126344	-0.00694665	0.10689268	0.03827121	0.06244170	0.00695619	0.00076859	-0.00019107	0.15611237	0.14410511	0.12776385	0.00201785	-0.01046580	-0.00855323
