Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14431810	0.07207705	0.09452496	0.00144177	-0.00706132	-0.00105888	0.13185215	0.05617264	0.07838999	0.00263066	-0.00815102	-0.00119366	0.12453771	0.04035833	0.06982149	0.00074834	-0.00814074	0.00091691	0.11706698	0.07167450	0.13082017	-0.00233048	-0.00195143	-0.00098512	0.08563995	0.05126380	0.09532490	-0.00409817	-0.00265773	0.00081148	0.10094138	0.04146564	0.06331202	0.00052832	-0.00371854	0.00219774	0.15988503	0.13856129	0.11762802	0.00103563	-0.00769328	-0.00467448
0.016667	0.14433700	0.07195488	0.09450883	0.00148461	-0.00588345	-0.00118398	0.13189359	0.05603535	0.07836949	0.00307293	-0.00791557	-0.00131697	0.12454382	0.04021741	0.06983725	0.00135854	-0.00750988	0.00027560	0.11702320	0.07164446	0.13080379	-0.00181899	-0.00166946	-0.00082881	0.08556694	0.05122142	0.09533909	-0.00412011	-0.00261896	0.00074432	0.10094918	0.04140929	0.06334604	0.00115984	-0.00345336	0.00253961	0.15990520	0.13842188	0.11754373	0.00075594	-0.00612798	-0.00425467
0.033333	0.14436541	0.07185961	0.09448995	0.00152745	-0.00470558	-0.00130907	0.13193953	0.05591126	0.07834827	0.00351520	-0.00768011	-0.00144028	0.12456346	0.04010150	0.06984330	0.00196875	-0.00687902	-0.00036571	0.11699369	0.07161418	0.13078974	-0.00130751	-0.00138749	-0.00067249	0.08549963	0.05117925	0.09535061	-0.00414205	-0.00258020	0.00067715	0.10096505	0.04134863	0.06338805	0.00179135	-0.00318817	0.00288149	0.15991563	0.13832255	0.11748076	0.00047624	-0.00456268	-0.00383487
0.050000	0.14439747	0.07178200	0.09446137	0.00112810	-0.00408673	-0.00111152	0.13201028	0.05576544	0.07832671	0.00306406	-0.00692329	-0.00146315	0.12461601	0.03997553	0.06983983	0.00146110	-0.00603024	-0.00064180	0.11697918	0.07158729	0.13077670	-0.00155587	-0.00101529	-0.00060834	0.08544084	0.05112663	0.09536005	-0.00472395	-0.00213629	0.00049863	0.10100380	0.04128128	0.06344251	0.00186504	-0.00250428	0.00280575	0.15991843	0.13826211	0.11741410	0.00045195	-0.00427732	-0.00352406
0.066666	0.14441995	0.07173114	0.09444236	0.00058852	-0.00314852	-0.00095912	0.13207731	0.05565927	0.07829605	0.00262284	-0.00617534	-0.00132576	0.12465401	0.03988723	0.06981152	0.00111416	-0.00466328	-0.00090197	0.11696871	0.07157382	0.13077235	-0.00173826	-0.00064042	-0.00053503	0.08536571	0.05109140	0.09537388	-0.00523275	-0.00183145	0.00012081	0.10104080	0.04124780	0.06349477	0.00205998	-0.00204873	0.00262321	0.15992683	0.13821732	0.11736438	0.00022821	-0.00327477	-0.00311845
0.083333	0.14442591	0.07169617	0.09442562	-0.00002578	-0.00268770	-0.00074387	0.13212167	0.05555843	0.07826831	0.00200272	-0.00536423	-0.00108052	0.12466912	0.03980663	0.06978504	0.00041343	-0.00311676	-0.00091117	0.11694118	0.07157274	0.13076629	-0.00207067	-0.00042845	-0.00042342	0.08526913	0.05106684	0.09537732	-0.00563125	-0.00171623	-0.00023291	0.10108747	0.04122910	0.06354314	0.00193712	-0.00172022	0.00207332	0.15992798	0.13816656	0.11731002	0.00008404	-0.00280903	-0.00285019
0.100000	0.14441296	0.07165848	0.09442300	-0.00031956	-0.00273080	-0.00053466	0.13213207	0.05549702	0.07825133	0.00132867	-0.00462534	-0.00078600	0.12465531	0.03977623	0.06976876	-0.00040095	-0.00174873	-0.00076719	0.11688866	0.07157668	0.13075632	-0.00236605	-0.00057243	-0.00028573	0.08515085	0.05105980	0.09536524	-0.00599077	-0.00185783	-0.00064451	0.10111410	0.04122424	0.06357807	0.00168253	-0.00152276	0.00142430	0.15993413	0.13811412	0.11727580	-0.00017032	-0.00275278	-0.00243635
0.116666	0.14438640	0.07162008	0.09441724	-0.00030950	-0.00331060	-0.00025351	0.13213389	0.05542159	0.07824837	0.00067771	-0.00413151	-0.00057992	0.12462979	0.03977016	0.06976745	-0.00116162	-0.00092199	-0.00061780	0.11683536	0.07157063	0.13074894	-0.00249577	-0.00108138	-0.00017092	0.08504617	0.05103045	0.09534444	-0.00615312	-0.00242575	-0.00102502	0.10113636	0.04118852	0.06358466	0.00125651	-0.00164360	0.00077833	0.15992561	0.13807333	0.11722667	-0.00048757	-0.00288026	-0.00187569
