Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.15303557	0.06317546	0.09541314	-0.00388423	0.00270237	0.00044409	0.13251179	0.05793469	0.08072202	-0.00077166	0.00054594	0.00124205	0.12742722	0.04814531	0.07281647	-0.00334674	0.00336274	-0.00294046	0.13186580	0.05136275	0.12816791	-0.00484647	0.00426667	-0.00049629	0.09514108	0.03428032	0.09653019	0.00413624	-0.00693020	0.00480892	0.10540964	0.03983312	0.07150967	-0.00299138	-0.00334588	-0.00187737	0.16658035	0.12561679	0.13342401	-0.00459971	0.00144050	0.00397885
0.016667	0.15297869	0.06322812	0.09542645	-0.00293256	0.00253269	-0.00104875	0.13250154	0.05794764	0.08075234	-0.00017658	-0.00005063	0.00039160	0.12737654	0.04820573	0.07276914	-0.00299380	0.00241959	-0.00308589	0.13177855	0.05144852	0.12816219	-0.00237555	0.00295480	-0.00118241	0.09520131	0.03418058	0.09660642	0.00379221	-0.00756095	0.00495205	0.10535549	0.03978728	0.07147105	-0.00292094	-0.00395337	-0.00082568	0.16650663	0.12564535	0.13349767	-0.00447931	0.00033394	0.00307069
0.033333	0.15291950	0.06326746	0.09541156	-0.00198089	0.00236300	-0.00254159	0.13249381	0.05794801	0.08075303	0.00041850	-0.00064720	-0.00045885	0.12732162	0.04824417	0.07271897	-0.00264087	0.00147643	-0.00323133	0.13173410	0.05149409	0.12814486	0.00009537	0.00164293	-0.00186854	0.09526532	0.03404487	0.09669036	0.00344818	-0.00819170	0.00509517	0.10530825	0.03971504	0.07146177	-0.00285049	-0.00456085	0.00022601	0.16642909	0.12565771	0.13354419	-0.00435890	-0.00077263	0.00216254
0.050000	0.15288091	0.06329262	0.09535399	-0.00092157	0.00301087	-0.00290108	0.13249642	0.05793134	0.08073010	0.00087589	-0.00048498	-0.00057344	0.12726735	0.04826874	0.07265591	-0.00195355	0.00105346	-0.00282889	0.13174626	0.05149567	0.12809940	0.00113674	0.00216207	-0.00196033	0.09535164	0.03388856	0.09678005	0.00209940	-0.00720940	0.00489788	0.10526487	0.03962578	0.07146432	-0.00305132	-0.00434330	0.00099041	0.16635405	0.12562586	0.13357124	-0.00413457	-0.00039138	0.00195497
0.066666	0.15287443	0.06333579	0.09528576	0.00028834	0.00350670	-0.00354668	0.13252600	0.05790334	0.08071786	0.00137680	-0.00038376	-0.00101325	0.12724440	0.04826584	0.07260755	-0.00126869	0.00049405	-0.00232679	0.13180827	0.05150515	0.12806807	0.00277155	0.00250966	-0.00221730	0.09537807	0.03374710	0.09686925	0.00069831	-0.00565002	0.00482095	0.10522314	0.03954550	0.07150394	-0.00312147	-0.00409521	0.00223429	0.16628507	0.12559393	0.13359478	-0.00403994	0.00009015	0.00147462
0.083333	0.15290843	0.06340525	0.09520745	0.00099525	0.00425888	-0.00324448	0.13256098	0.05789506	0.08069745	0.00159190	0.00011502	-0.00072889	0.12723258	0.04826442	0.07256285	-0.00061527	0.00037022	-0.00150398	0.13188362	0.05154473	0.12801802	0.00314028	0.00408724	-0.00187264	0.09536963	0.03365281	0.09694120	-0.00117958	-0.00251762	0.00474358	0.10515666	0.03947648	0.07153580	-0.00328591	-0.00306868	0.00306213	0.16622722	0.12558033	0.13360998	-0.00419171	0.00158743	0.00146472
0.100000	0.15295404	0.06349984	0.09514832	0.00087314	0.00519617	-0.00232548	0.13259795	0.05790840	0.08067847	0.00132129	0.00109537	-0.00003461	0.12724613	0.04826195	0.07255580	-0.00035599	0.00054334	-0.00053700	0.13195519	0.05163158	0.12798516	0.00226417	0.00599763	-0.00126094	0.09531759	0.03362761	0.09701353	-0.00296519	0.00095282	0.00495153	0.10510155	0.03942509	0.07161819	-0.00394946	-0.00184015	0.00329529	0.16616736	0.12562568	0.13363487	-0.00443855	0.00366063	0.00164107
0.116666	0.15297928	0.06358609	0.09512033	-0.00012450	0.00612485	-0.00114274	0.13261932	0.05793328	0.08067420	0.00074171	0.00221179	0.00085339	0.12723871	0.04828026	0.07255230	-0.00067562	0.00071742	0.00061762	0.13198961	0.05175662	0.12796582	0.00076652	0.00735848	-0.00048995	0.09525532	0.03369265	0.09708795	-0.00374322	0.00338790	0.00578320	0.10503884	0.03941217	0.07167763	-0.00463141	-0.00107481	0.00344531	0.16608913	0.12571655	0.13366300	-0.00467131	0.00568668	0.00209899
