Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.15551908	0.06241621	0.09169215	0.00452364	0.00057034	-0.00017636	0.13486323	0.05810870	0.07860894	0.00212476	0.00112987	-0.00423366	0.12837678	0.04760268	0.07223450	0.00148655	0.00407278	-0.00626887	0.13494110	0.05508314	0.12800752	-0.00499608	0.00365575	0.00000060	0.09690461	0.03681938	0.10090844	0.00298222	0.00268855	-0.00593840	0.10611673	0.04105397	0.07352172	0.00246269	0.00495287	-0.00536340	0.17247386	0.12575556	0.12657933	-0.00187539	0.00036128	-0.00032634
0.033333	0.15560271	0.06242837	0.09168368	0.00410558	-0.00061188	0.00017658	0.13489789	0.05812528	0.07853988	0.00157312	0.00030074	-0.00411341	0.12840287	0.04765981	0.07213102	0.00003889	0.00378014	-0.00623706	0.13485949	0.05515917	0.12800954	-0.00416012	0.00280303	0.00031382	0.09694161	0.03685391	0.10080490	0.00242853	0.00249759	-0.00519166	0.10616198	0.04112646	0.07343788	0.00210420	0.00380886	-0.00552046	0.17244372	0.12576169	0.12657757	-0.00170768	0.00003889	-0.00044570
0.050000	0.15566574	0.06241960	0.09169108	0.00368753	-0.00179411	0.00052951	0.13492870	0.05814003	0.07847054	0.00102148	-0.00052838	-0.00399315	0.12841438	0.04773798	0.07202718	-0.00140876	0.00348750	-0.00620524	0.13478783	0.05518881	0.12800837	-0.00332416	0.00195031	0.00062704	0.09700166	0.03691348	0.10072462	0.00187483	0.00230663	-0.00444492	0.10619755	0.04121212	0.07334568	0.00174572	0.00266486	-0.00567751	0.17241186	0.12576203	0.12656598	-0.00153997	-0.00028350	-0.00056505
0.066666	0.15571962	0.06238403	0.09170694	0.00390732	-0.00237047	0.00045758	0.13494521	0.05812244	0.07840051	0.00097923	-0.00063004	-0.00382235	0.12838295	0.04779661	0.07192130	-0.00148655	0.00319696	-0.00611192	0.13472775	0.05522424	0.12803005	-0.00259095	0.00173890	0.00056938	0.09703522	0.03695168	0.10064466	0.00155293	0.00256377	-0.00413498	0.10621889	0.04124932	0.07323571	0.00209962	0.00235667	-0.00524955	0.17238785	0.12575924	0.12655714	-0.00154876	-0.00062667	-0.00045344
0.083333	0.15577249	0.06233085	0.09171634	0.00399844	-0.00321470	0.00063841	0.13494325	0.05809719	0.07833929	0.00101082	-0.00090830	-0.00365084	0.12831339	0.04784634	0.07181899	-0.00174851	0.00293176	-0.00603846	0.13469601	0.05522753	0.12803438	-0.00172072	0.00137654	0.00069842	0.09704471	0.03697469	0.10059431	0.00130937	0.00327441	-0.00402724	0.10623917	0.04126281	0.07314753	0.00237697	0.00202640	-0.00515936	0.17236741	0.12574574	0.12654230	-0.00155442	-0.00109144	-0.00027932
0.100000	0.15584645	0.06225733	0.09172683	0.00440555	-0.00366348	0.00098676	0.13494930	0.05806530	0.07828438	0.00133217	-0.00109062	-0.00319713	0.12827030	0.04787464	0.07172319	-0.00148066	0.00245010	-0.00568828	0.13468695	0.05525718	0.12805723	-0.00135519	0.00144434	0.00079476	0.09704079	0.03701279	0.10054416	0.00095070	0.00429535	-0.00407258	0.10628198	0.04126545	0.07307405	0.00274875	0.00206140	-0.00472812	0.17234452	0.12572210	0.12653939	-0.00158437	-0.00147105	0.00011623
0.116666	0.15592647	0.06218915	0.09173017	0.00505330	-0.00403028	0.00184444	0.13497896	0.05806203	0.07822847	0.00210919	-0.00132749	-0.00225437	0.12826291	0.04792054	0.07162434	-0.00064016	0.00175864	-0.00486871	0.13468285	0.05527474	0.12805773	-0.00167840	0.00194578	0.00108041	0.09706614	0.03709979	0.10047413	0.00049543	0.00582347	-0.00384086	0.10634702	0.04131063	0.07300596	0.00289441	0.00249521	-0.00391016	0.17231439	0.12568825	0.12654455	-0.00163742	-0.00174873	0.00069216
