Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.15193376	0.06583994	0.09306038	-0.00090815	0.00056502	-0.00357398	0.13037235	0.05568905	0.08361495	0.00296542	-0.00257016	-0.00180405	0.12510757	0.04370235	0.07881677	-0.00628537	0.00317003	-0.00331254	0.13476658	0.05342840	0.12533803	-0.00376681	0.00463949	-0.00039481	0.09497632	0.02728391	0.10821525	0.00489501	-0.00962313	-0.00025559	0.10348441	0.03529962	0.07361831	-0.00006415	0.00102465	-0.00077293	0.15820801	0.13229679	0.13025457	-0.00209139	0.00282840	-0.00087798
0.016667	0.15191527	0.06584456	0.09300637	0.00066877	0.00050493	-0.00341983	0.13041937	0.05564259	0.08359016	0.00375779	-0.00161727	-0.00226357	0.12499662	0.04375106	0.07876594	-0.00401931	0.00297279	-0.00361340	0.13470051	0.05348868	0.12533684	-0.00294910	0.00538668	-0.00070185	0.09505127	0.02711087	0.10821350	0.00512349	-0.00725110	-0.00079215	0.10348067	0.03531414	0.07360580	0.00044480	0.00190583	-0.00113905	0.15817048	0.13234207	0.13024223	-0.00108988	0.00297682	-0.00061557
0.033333	0.15192342	0.06585483	0.09294391	0.00224569	0.00044484	-0.00326568	0.13048156	0.05561392	0.08354867	0.00455016	-0.00066437	-0.00272309	0.12492543	0.04380544	0.07870137	-0.00175324	0.00277556	-0.00391425	0.13465564	0.05358442	0.12532151	-0.00213140	0.00613386	-0.00100889	0.09514658	0.02698859	0.10819984	0.00535196	-0.00487907	-0.00132870	0.10348995	0.03534360	0.07358679	0.00095375	0.00278701	-0.00150517	0.15815255	0.13239163	0.13022983	-0.00008836	0.00312523	-0.00035316
0.050000	0.15196562	0.06587049	0.09288502	0.00313037	-0.00052657	-0.00273560	0.13056028	0.05561154	0.08349672	0.00483545	-0.00050586	-0.00274440	0.12491099	0.04385441	0.07863503	-0.00092443	0.00237997	-0.00391053	0.13461469	0.05371596	0.12529913	-0.00141681	0.00505084	-0.00082441	0.09523793	0.02693343	0.10817596	0.00556456	-0.00480163	-0.00158732	0.10350335	0.03540069	0.07355951	0.00127446	0.00307692	-0.00168648	0.15815300	0.13244817	0.13022353	0.00054449	0.00293725	0.00012636
0.066666	0.15204215	0.06587404	0.09283627	0.00463651	-0.00183199	-0.00205819	0.13065442	0.05561863	0.08344696	0.00535207	-0.00005236	-0.00292880	0.12492736	0.04389397	0.07856251	0.00056926	0.00204206	-0.00397762	0.13460396	0.05382231	0.12527771	-0.00049964	0.00438714	-0.00069268	0.09532338	0.02689424	0.10813966	0.00608760	-0.00419024	-0.00207693	0.10353778	0.03545768	0.07353126	0.00164293	0.00367600	-0.00193831	0.15817431	0.13250139	0.13022009	0.00140966	0.00285500	0.00087366
0.083333	0.15213540	0.06584232	0.09281031	0.00554638	-0.00302081	-0.00134241	0.13075460	0.05562907	0.08339553	0.00554467	0.00014443	-0.00284673	0.12496783	0.04391853	0.07849585	0.00111472	0.00194724	-0.00403603	0.13460602	0.05387574	0.12526767	0.00000611	0.00343088	-0.00032999	0.09542349	0.02685114	0.10810246	0.00616676	-0.00463864	-0.00264687	0.10356826	0.03553218	0.07348765	0.00167631	0.00394676	-0.00207373	0.15821253	0.13254833	0.13024186	0.00170418	0.00290596	0.00177116
0.100000	0.15224493	0.06574532	0.09280471	0.00567386	-0.00365169	-0.00083480	0.13084559	0.05562170	0.08335060	0.00530610	0.00019895	-0.00264731	0.12498995	0.04393297	0.07843439	0.00107434	0.00205628	-0.00414697	0.13462774	0.05388649	0.12527055	0.00006378	0.00254390	0.00007466	0.09553679	0.02674574	0.10805727	0.00585763	-0.00528014	-0.00328103	0.10360871	0.03559851	0.07345467	0.00137561	0.00412471	-0.00221436	0.15825891	0.13258196	0.13028271	0.00144683	0.00320570	0.00262530
0.116666	0.15235278	0.06565173	0.09280323	0.00512185	-0.00373261	-0.00052478	0.13093944	0.05562067	0.08330587	0.00464493	0.00011936	-0.00239582	0.12500618	0.04396975	0.07836995	0.00072737	0.00222311	-0.00420289	0.13463542	0.05391230	0.12527741	-0.00030309	0.00187597	0.00046887	0.09566575	0.02663287	0.10800755	0.00535256	-0.00548489	-0.00370683	0.10362761	0.03566514	0.07341725	0.00094902	0.00413397	-0.00232031	0.15828569	0.13263142	0.13033876	0.00076749	0.00363806	0.00332312
