Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11062066	0.09576121	0.08525718	0.00436043	0.00348495	0.00772915	0.09801947	0.07874496	0.07729214	0.00316740	0.01510823	0.00773262	0.08967999	0.05527395	0.06797998	0.01536696	0.02860107	0.00523007	0.08362196	0.10074123	0.13020740	0.00276753	-0.00618002	0.00682983	0.06889552	0.06676784	0.10379117	0.01806166	0.00615435	0.00051089	0.06593739	0.05560509	0.06576116	0.02468682	-0.01173425	0.00497652	0.14015755	0.15479276	0.11353772	0.00198700	0.01159345	0.01651815
0.016667	0.11069300	0.09580858	0.08538430	0.00418851	0.00582131	0.00862445	0.09806979	0.07901172	0.07741722	0.00271597	0.01381544	0.00886317	0.08996057	0.05573136	0.06808335	0.01538409	0.02594578	0.00850800	0.08366217	0.10063558	0.13031709	0.00181542	-0.00286170	0.00695142	0.06919885	0.06685851	0.10379835	0.01597798	0.00573012	0.00146472	0.06638958	0.05537363	0.06586384	0.02250539	-0.01158853	0.00583495	0.14019340	0.15499429	0.11381870	0.00148014	0.01325374	0.01642927
0.033333	0.11076533	0.09590412	0.08552584	0.00401659	0.00815767	0.00951976	0.09812420	0.07923477	0.07756301	0.00226454	0.01252265	0.00999373	0.09019987	0.05618743	0.06819723	0.01540123	0.02329049	0.01178593	0.08370107	0.10057232	0.13043313	0.00086330	0.00045661	0.00707301	0.06946923	0.06696075	0.10381483	0.01389431	0.00530588	0.00241854	0.06674140	0.05521210	0.06593572	0.02032396	-0.01144281	0.00669337	0.14021608	0.15520284	0.11408795	0.00097327	0.01491403	0.01634038
0.050000	0.11083248	0.09604920	0.08568268	0.00415379	0.00880122	0.00981785	0.09814960	0.07941019	0.07772507	0.00254181	0.01261858	0.01019586	0.09041482	0.05658392	0.06836713	0.01726526	0.02049162	0.01399984	0.08372258	0.10058600	0.13055788	-0.00015598	0.00195295	0.00651392	0.06968434	0.06706475	0.10386046	0.01255651	0.00413695	0.00225996	0.06700387	0.05507405	0.06601723	0.02128203	-0.01239662	0.00733684	0.14022824	0.15543556	0.11433840	0.00067301	0.01652888	0.01670617
0.066666	0.11088990	0.09625315	0.08587329	0.00439992	0.00997503	0.01007803	0.09818694	0.07962574	0.07794047	0.00290592	0.01179026	0.01022797	0.09070874	0.05691734	0.06869017	0.01835946	0.01765690	0.01566729	0.08370458	0.10069407	0.13068005	-0.00123721	0.00410905	0.00575932	0.06989261	0.06714236	0.10393515	0.01045756	0.00323450	0.00202239	0.06736562	0.05482914	0.06620031	0.02055429	-0.01110241	0.00705919	0.14023915	0.15574722	0.11464405	0.00008129	0.01807034	0.01658957
0.083333	0.11096060	0.09643310	0.08605316	0.00471694	0.01045425	0.01002006	0.09821844	0.07981770	0.07812024	0.00361779	0.01203054	0.00987157	0.09105393	0.05711391	0.06903610	0.01957078	0.01688552	0.01581716	0.08366073	0.10079940	0.13077168	-0.00195821	0.00506340	0.00486912	0.07002422	0.06715491	0.10397757	0.00965212	0.00291401	0.00117317	0.06772986	0.05457194	0.06635905	0.02130919	-0.00855019	0.00622994	0.14023408	0.15608746	0.11491670	-0.00036255	0.01903623	0.01679960
0.100000	0.11104873	0.09660833	0.08622119	0.00502387	0.01045611	0.00958249	0.09829925	0.08002894	0.07828105	0.00446273	0.01283427	0.00904649	0.09145270	0.05731179	0.06934108	0.02031681	0.01797752	0.01425179	0.08359720	0.10090827	0.13083214	-0.00195232	0.00440487	0.00405425	0.07015245	0.06716642	0.10398199	0.00990700	0.00315716	-0.00043322	0.06812019	0.05439031	0.06646632	0.02173891	-0.00383867	0.00391761	0.14022371	0.15645060	0.11521582	-0.00091069	0.01883179	0.01709781
0.116666	0.11114483	0.09675134	0.08636037	0.00533791	0.01017541	0.00889417	0.09838729	0.08020490	0.07839335	0.00507238	0.01337012	0.00793907	0.09176709	0.05759935	0.06951107	0.02013669	0.01989013	0.01147707	0.08356973	0.10095492	0.13087471	-0.00100896	0.00247681	0.00367375	0.07028783	0.06720635	0.10395244	0.01114153	0.00320779	-0.00219488	0.06846380	0.05438400	0.06649107	0.02158129	0.00178446	0.00088416	0.14020167	0.15674184	0.11546192	-0.00113234	0.01720346	0.01753855
