Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11160759	0.09857299	0.08491241	0.00823732	-0.01332110	-0.01398844	0.09699019	0.08039181	0.07924677	0.02607904	-0.04073573	-0.01901035	0.08625029	0.05932223	0.07185329	0.03450426	-0.04224936	-0.03446634	0.08494082	0.10132157	0.12696478	0.00484603	-0.00601294	-0.00046790	0.06650478	0.06822152	0.10087386	0.00222878	-0.01912985	0.00199877	0.06149742	0.05426057	0.06376567	0.01651992	0.03248196	-0.00987783	0.14105889	0.15769807	0.11267667	0.01120669	-0.02985430	-0.01939975
0.016667	0.11175318	0.09832091	0.08472141	0.00696863	-0.01581638	-0.01873732	0.09740912	0.07963208	0.07901136	0.02409639	-0.03862754	-0.02677235	0.08672462	0.05849929	0.07137632	0.03261847	-0.03942159	-0.04469338	0.08502366	0.10123999	0.12695792	0.00570642	-0.01040634	-0.00149266	0.06654893	0.06794563	0.10089874	0.00320570	-0.02188580	0.00223474	0.06171059	0.05462514	0.06368736	0.01936932	0.04343285	-0.01455417	0.14125697	0.15716997	0.11237572	0.01343971	-0.03581658	-0.02411427
0.033333	0.11187070	0.09807875	0.08439649	0.00569994	-0.01831166	-0.02348619	0.09785765	0.07900269	0.07853361	0.02211375	-0.03651935	-0.03453436	0.08737522	0.05789414	0.07059037	0.03073269	-0.03659382	-0.05492042	0.08511772	0.10106757	0.12693752	0.00656682	-0.01479974	-0.00251741	0.06658407	0.06754936	0.10094075	0.00418262	-0.02464174	0.00247070	0.06208165	0.05543542	0.06340735	0.02221871	0.05438374	-0.01923051	0.14146449	0.15661298	0.11198010	0.01567273	-0.04177885	-0.02882880
0.050000	0.11195383	0.09783679	0.08395948	0.00531866	-0.02219794	-0.02326468	0.09817439	0.07861336	0.07786099	0.02112341	-0.04218264	-0.03345082	0.08793800	0.05755629	0.06957041	0.02353685	-0.04226539	-0.05458392	0.08521529	0.10081279	0.12690102	0.00768504	-0.01654740	-0.00283339	0.06665365	0.06711968	0.10100479	0.00452815	-0.02380090	0.00218385	0.06251362	0.05657157	0.06296347	0.02034622	0.04806717	-0.01540749	0.14170265	0.15599354	0.11147422	0.01756541	-0.04721742	-0.02884984
0.066666	0.11201408	0.09741945	0.08344939	0.00426883	-0.02558745	-0.02363811	0.09853567	0.07788121	0.07711908	0.01813806	-0.04357329	-0.03419048	0.08839972	0.05676898	0.06842717	0.01521806	-0.04234657	-0.05651854	0.08535770	0.10043151	0.12681390	0.00840306	-0.01952149	-0.00306488	0.06676677	0.06662374	0.10102363	0.00469109	-0.02349934	0.00262347	0.06291202	0.05764890	0.06257877	0.01916994	0.04513429	-0.01340600	0.14205149	0.15504640	0.11085762	0.01901120	-0.05164205	-0.02895419
0.083333	0.11209434	0.09688544	0.08304711	0.00326445	-0.02837759	-0.02183860	0.09881923	0.07700861	0.07655580	0.01482563	-0.04559800	-0.03132971	0.08848562	0.05587647	0.06746810	0.00566608	-0.04402323	-0.05389198	0.08552098	0.10008317	0.12675250	0.00782672	-0.02147564	-0.00289844	0.06685895	0.06625707	0.10105717	0.00369547	-0.02238286	0.00335676	0.06320214	0.05829285	0.06243447	0.01506165	0.03612449	-0.00894543	0.14242831	0.15403041	0.11032817	0.01925700	-0.05387566	-0.02736613
0.100000	0.11214085	0.09631793	0.08271593	0.00200824	-0.02986283	-0.01942035	0.09905928	0.07605495	0.07612180	0.01103838	-0.04560992	-0.02780739	0.08837075	0.05499471	0.06665683	-0.00281372	-0.04357804	-0.04940630	0.08571228	0.09970447	0.12670277	0.00561735	-0.02237660	-0.00255839	0.06693973	0.06594337	0.10109454	0.00033874	-0.02165166	0.00444027	0.06339041	0.05861323	0.06244094	0.00890124	0.02528366	-0.00452405	0.14280079	0.15299834	0.10993166	0.01821391	-0.05321278	-0.02506754
0.116666	0.11219295	0.09583511	0.08251041	-0.00015941	-0.02990492	-0.01800466	0.09921665	0.07531958	0.07580145	0.00610820	-0.04269334	-0.02586148	0.08823793	0.05432559	0.06599063	-0.00891421	-0.04088249	-0.04536986	0.08579586	0.09937225	0.12669121	0.00216850	-0.02247614	-0.00248552	0.06694229	0.06565095	0.10119104	-0.00517449	-0.02200642	0.00494691	0.06352809	0.05883794	0.06246934	0.00168555	0.01593088	-0.00227421	0.14305814	0.15223663	0.10963803	0.01608743	-0.04995292	-0.02340464
