Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11857502	0.07469060	0.06305660	0.02451389	-0.02323953	-0.01165911	0.10059500	0.07237515	0.06256594	0.03000230	-0.01515391	-0.01335794	0.08846328	0.05959621	0.05431506	0.03457593	-0.00809695	-0.01620279	0.10948803	0.07790048	0.11400430	0.02105501	-0.00319207	-0.00602531	0.07743021	0.05662844	0.09426708	0.03700733	0.00562737	-0.02086268	0.06736858	0.05973489	0.06074708	0.03418522	-0.01160967	-0.01624369	0.17238678	0.10732188	0.09342881	0.01694090	-0.01987987	-0.00429461
0.016667	0.11900069	0.07434573	0.06280462	0.02171816	-0.01792483	-0.01074207	0.10113776	0.07217698	0.06230127	0.02549316	-0.01140837	-0.01240147	0.08911508	0.05950462	0.05400097	0.02888102	-0.00797826	-0.01400856	0.10985371	0.07790346	0.11386652	0.01803480	-0.00538724	-0.00507431	0.07812913	0.05677543	0.09386663	0.02810832	0.00299459	-0.01718565	0.06799222	0.05958426	0.06042356	0.02800327	-0.00925478	-0.01420917	0.17266731	0.10703961	0.09331244	0.01591227	-0.01672163	-0.00261762
0.033333	0.11935580	0.07396804	0.06268811	0.01892243	-0.01261012	-0.00982503	0.10153566	0.07190253	0.06214191	0.02098401	-0.00766284	-0.01144499	0.08953666	0.05932817	0.05380642	0.02318611	-0.00785957	-0.01181434	0.11015952	0.07774720	0.11381838	0.01501458	-0.00758241	-0.00412332	0.07855380	0.05676974	0.09362216	0.01920931	0.00036180	-0.01350863	0.06842855	0.05936733	0.06023506	0.02182131	-0.00689988	-0.01217465	0.17294115	0.10669073	0.09331785	0.01488364	-0.01356339	-0.00094064
0.050000	0.11963829	0.07375402	0.06256820	0.01672315	-0.00999462	-0.01060285	0.10182195	0.07176201	0.06197657	0.01864362	-0.00529720	-0.01139634	0.08984374	0.05915681	0.05364921	0.02134332	-0.00656654	-0.01124819	0.11035558	0.07760118	0.11378014	0.01380702	-0.00956479	-0.00476485	0.07877459	0.05673731	0.09345662	0.01604940	-0.00055783	-0.01240195	0.06872300	0.05922969	0.06008260	0.01964018	-0.00506969	-0.01180117	0.17316386	0.10644206	0.09332421	0.01362724	-0.01171254	-0.00089206
0.066666	0.11992496	0.07370717	0.06237517	0.01172666	-0.00777985	-0.00968184	0.10213345	0.07175771	0.06177709	0.01227767	-0.00388210	-0.00958305	0.09017114	0.05906555	0.05346891	0.01484135	-0.00636476	-0.00773839	0.11058903	0.07745221	0.11370644	0.01031898	-0.01500888	-0.00457419	0.07894803	0.05673039	0.09325865	0.00683530	-0.00364409	-0.00780470	0.06899776	0.05921583	0.05987890	0.01354044	-0.00342316	-0.00810719	0.17342681	0.10632820	0.09332449	0.01036767	-0.01159285	-0.00013221
0.083333	0.12012560	0.07373829	0.06214417	0.00840310	-0.00774010	-0.00853126	0.10235190	0.07184914	0.06156349	0.00844970	-0.00378916	-0.00678590	0.09045963	0.05903869	0.05328355	0.01163711	-0.00553228	-0.00286200	0.11074635	0.07727957	0.11359190	0.00888787	-0.01993884	-0.00424390	0.07909130	0.05670136	0.09309283	0.00179549	-0.00445545	-0.00261408	0.06921966	0.05925211	0.05966789	0.01079564	-0.00152629	-0.00304860	0.17359672	0.10629278	0.09329646	0.00718842	-0.01355635	-0.00053175
0.100000	0.12018402	0.07360965	0.06198303	0.00692072	-0.01011662	-0.00619833	0.10241498	0.07179166	0.06144311	0.00641546	-0.00570009	-0.00262768	0.09059554	0.05894871	0.05322105	0.00971139	-0.00583627	0.00337688	0.11085855	0.07685839	0.11349905	0.00890881	-0.02353975	-0.00323271	0.07904068	0.05657385	0.09304416	-0.00024386	-0.00522090	0.00365926	0.06935073	0.05921683	0.05960716	0.00972081	-0.00134329	0.00340688	0.17368542	0.10606965	0.09330385	0.00484990	-0.01713327	-0.00096649
0.116666	0.12016124	0.07335214	0.06190896	0.00732089	-0.01286061	-0.00219793	0.10235465	0.07160390	0.06143289	0.00609955	-0.00796589	0.00294271	0.09059295	0.05883108	0.05333801	0.00815056	-0.00672807	0.01153470	0.11091753	0.07629766	0.11343046	0.00994865	-0.02360480	-0.00123442	0.07886552	0.05640839	0.09316897	-0.00060056	-0.00477586	0.01180132	0.06939448	0.05916438	0.05974277	0.00951998	-0.00140269	0.01195257	0.17365013	0.10567459	0.09328078	0.00425564	-0.02007448	-0.00122764
