Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.12989397	0.04896498	0.05499183	-0.00230567	-0.01004601	-0.00349756	0.09811209	0.06019421	0.05309743	0.00343089	-0.00203860	-0.00655285	0.07676972	0.05488259	0.04231938	-0.00101157	-0.00298658	-0.01634908	0.11279377	0.08081399	0.08983115	-0.00514211	-0.00735420	-0.00531877	0.07152994	0.07171396	0.08050156	0.00115008	-0.01355009	-0.01104456	0.05471143	0.06513290	0.04366537	-0.00426635	-0.01011670	-0.01165115
0.033333	0.12983982	0.04881157	0.05494801	-0.00460492	-0.00831622	-0.00136905	0.09820967	0.06018256	0.05298113	0.00058115	-0.00280940	-0.00585204	0.07681162	0.05486101	0.04204116	-0.00230023	-0.00290373	-0.01242628	0.11272127	0.08072360	0.08974393	-0.00454368	-0.00672790	-0.00368649	0.07158767	0.07149056	0.08032181	0.00029504	-0.01162005	-0.00769708	0.05472055	0.06502185	0.04344882	-0.00441180	-0.00957105	-0.00808086
0.050000	0.12980506	0.04865302	0.05489181	-0.00690418	-0.00658643	0.00075946	0.09820818	0.06012646	0.05288870	-0.00226860	-0.00358020	-0.00515124	0.07670901	0.05477840	0.04181867	-0.00358888	-0.00282088	-0.00850348	0.11264010	0.08056657	0.08966440	-0.00394525	-0.00610160	-0.00205421	0.07154590	0.07127570	0.08017930	-0.00055999	-0.00969000	-0.00434959	0.05456756	0.06480552	0.04330178	-0.00455726	-0.00902541	-0.00451056
0.066666	0.12966883	0.04852945	0.05491289	-0.00644336	-0.00524182	0.00140997	0.09808749	0.06001733	0.05280019	-0.00105277	-0.00217083	-0.00429869	0.07660817	0.05472514	0.04168909	-0.00224617	-0.00247189	-0.00647508	0.11255319	0.08046999	0.08963821	-0.00245278	-0.00517721	-0.00141398	0.07152179	0.07113539	0.08008829	0.00021074	-0.00872209	-0.00248392	0.05443963	0.06461926	0.04327331	-0.00167251	-0.00654998	-0.00365899
0.083333	0.12949464	0.04847988	0.05498643	-0.00549773	-0.00390200	0.00239612	0.09803991	0.05998224	0.05274440	-0.00112836	-0.00106194	-0.00200166	0.07656666	0.05468184	0.04165758	-0.00123557	-0.00351334	-0.00158204	0.11250321	0.08037447	0.08966365	-0.00116058	-0.00456398	0.00115693	0.07151360	0.07101750	0.08013401	0.00101794	-0.00652606	0.00131127	0.05438269	0.06448982	0.04329076	0.00018202	-0.00544297	0.00145196
0.100000	0.12933274	0.04846952	0.05507624	-0.00290097	-0.00248109	0.00283898	0.09804315	0.05997917	0.05268036	0.00064258	0.00127096	0.00229756	0.07657882	0.05468865	0.04164324	0.00091907	-0.00473034	0.00498651	0.11253533	0.08036084	0.08966422	0.00090491	-0.00405038	0.00407921	0.07154550	0.07091518	0.08019748	0.00373894	-0.00586482	0.00728387	0.05452430	0.06452972	0.04324844	0.00301755	-0.00575176	0.00928594
0.116666	0.12935013	0.04843279	0.05510016	0.00146345	-0.00014149	0.00270249	0.09809119	0.06003828	0.05271938	0.00203975	0.00299727	0.00852514	0.07663134	0.05461358	0.04170030	0.00337665	-0.00502261	0.01445526	0.11257169	0.08030774	0.08971485	0.00464803	-0.00354019	0.00662370	0.07161801	0.07085449	0.08025642	0.00754844	-0.00727727	0.01614093	0.05461735	0.06450463	0.04334852	0.00522908	-0.00748004	0.01948143
