Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13061485	0.04762204	0.05191094	-0.00210510	-0.00161540	0.00025645	0.09790152	0.05824986	0.05261480	0.00222177	-0.00018755	-0.00792385	0.07672121	0.05399670	0.04222770	-0.00605381	0.00716434	-0.00911534	0.11641365	0.07744735	0.08850028	-0.00423008	0.00056297	-0.00041284	0.07448056	0.06873215	0.08216477	-0.00846345	-0.00240480	-0.00934541	0.05467642	0.06576910	0.04644591	0.00124828	0.00003167	-0.01447644
0.033333	0.13057025	0.04761139	0.05193009	-0.00274838	-0.00284192	0.00092883	0.09794096	0.05824634	0.05248995	0.00189566	-0.00030387	-0.00710274	0.07665648	0.05408231	0.04205851	-0.00348644	0.00461163	-0.00946511	0.11636145	0.07746498	0.08849233	-0.00490243	-0.00153691	0.00005722	0.07433315	0.06867407	0.08199967	-0.00623303	-0.00171304	-0.00700864	0.05473907	0.06576126	0.04620178	-0.00040289	0.00002772	-0.01130723
0.050000	0.13054019	0.04755710	0.05192380	-0.00339167	-0.00406844	0.00160121	0.09797779	0.05823158	0.05236106	0.00156955	-0.00042020	-0.00628163	0.07655152	0.05419833	0.04189729	-0.00091907	0.00205892	-0.00981488	0.11626337	0.07743549	0.08849455	-0.00557477	-0.00363679	0.00052728	0.07423565	0.06866364	0.08188225	-0.00400262	-0.00102129	-0.00467187	0.05469983	0.06576691	0.04600637	-0.00205406	0.00002377	-0.00813802
0.066666	0.13048983	0.04747710	0.05193720	-0.00407198	-0.00382946	0.00243138	0.09799313	0.05824318	0.05224833	0.00206214	-0.00095511	-0.00591929	0.07650781	0.05426851	0.04181289	0.00144691	-0.00070289	-0.01233782	0.11615857	0.07737244	0.08850788	-0.00545835	-0.00481611	0.00108190	0.07414608	0.06865045	0.08180750	-0.00234251	-0.00108879	-0.00421995	0.05462155	0.06578667	0.04587001	-0.00068153	-0.00062030	-0.00710101
0.083333	0.13040107	0.04736895	0.05200748	-0.00500890	-0.00413766	0.00337667	0.09801012	0.05822773	0.05217608	0.00281037	-0.00098404	-0.00595196	0.07658798	0.05420627	0.04156459	0.00310754	-0.00317817	-0.01320332	0.11605407	0.07726035	0.08851592	-0.00605381	-0.00628675	0.00161663	0.07416850	0.06865493	0.08180155	-0.00027716	-0.00054784	-0.00371242	0.05457813	0.06576619	0.04582094	-0.00009360	-0.00092697	-0.00603362
0.100000	0.13030741	0.04732134	0.05207996	-0.00585767	-0.00399172	0.00425549	0.09805815	0.05818661	0.05210986	0.00397781	-0.00101850	-0.00606247	0.07675181	0.05404662	0.04129553	0.00365568	-0.00490481	-0.01326265	0.11597911	0.07712612	0.08855733	-0.00624074	-0.00663250	0.00158020	0.07418726	0.06862192	0.08176819	0.00117645	-0.00031710	-0.00398626	0.05460678	0.06573922	0.04578935	0.00128141	-0.00099436	-0.00568593
0.116666	0.13019377	0.04726738	0.05216873	-0.00602151	-0.00343091	0.00430336	0.09813668	0.05816008	0.05199835	0.00480996	-0.00123388	-0.00630888	0.07684781	0.05392344	0.04096691	0.00293029	-0.00527140	-0.01201368	0.11587428	0.07698321	0.08861371	-0.00608834	-0.00597584	0.00120022	0.07424119	0.06861290	0.08168682	0.00170232	-0.00043817	-0.00449421	0.05468831	0.06569423	0.04566758	0.00226126	-0.00036985	-0.00588922
