Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11488046	0.05424644	0.05940515	0.00123296	-0.00160067	-0.00591714	0.09332904	0.05209453	0.04834586	0.00006061	-0.00486825	-0.00273164	0.07378585	0.05067587	0.04052303	0.00111621	-0.01755159	-0.00298902	0.10335601	0.08039571	0.09416664	0.00838439	0.00103057	0.00345626	0.06842006	0.06673712	0.07484599	0.00568988	-0.01190067	0.00384068	0.05089464	0.05927775	0.03742027	0.01345042	-0.00749062	-0.00261112
0.033333	0.11491474	0.05422689	0.05931521	0.00021413	-0.00125740	-0.00548369	0.09333481	0.05203344	0.04831183	-0.00026845	-0.00467801	-0.00248809	0.07379529	0.05041441	0.04048562	0.00138537	-0.01596859	-0.00231733	0.10349273	0.08040886	0.09422135	0.00811036	0.00223071	0.00270591	0.06850955	0.06655337	0.07490165	0.00472227	-0.00984352	0.00366570	0.05110185	0.05917090	0.03737636	0.01310577	-0.00648427	-0.00212398
0.050000	0.11490699	0.05419889	0.05921137	-0.00080470	-0.00091413	-0.00505023	0.09332345	0.05192840	0.04825793	-0.00059750	-0.00448778	-0.00224455	0.07383048	0.05011110	0.04043568	0.00165452	-0.01438560	-0.00164563	0.10363343	0.08044469	0.09427403	0.00783633	0.00343086	0.00195556	0.06860461	0.06635294	0.07497950	0.00375466	-0.00778637	0.00349072	0.05133960	0.05903509	0.03734168	0.01276113	-0.00547791	-0.00163684
0.066666	0.11488552	0.05418050	0.05911975	-0.00088510	-0.00046820	-0.00452146	0.09330963	0.05184092	0.04821413	-0.00087727	-0.00422101	-0.00146399	0.07385355	0.04983734	0.04038816	0.00162729	-0.01211162	-0.00061760	0.10376406	0.08050457	0.09430818	0.00756978	0.00380491	0.00165001	0.06865675	0.06622531	0.07503627	0.00345876	-0.00693052	0.00361191	0.05156570	0.05893625	0.03731782	0.01173173	-0.00455215	-0.00120104
0.083333	0.11485029	0.05416992	0.05906030	-0.00151307	-0.00008902	-0.00421844	0.09330354	0.05179568	0.04818486	-0.00138470	-0.00423882	-0.00090901	0.07389498	0.04967921	0.04039645	0.00153557	-0.01005359	-0.00000080	0.10388555	0.08059650	0.09431390	0.00707234	0.00435794	0.00116721	0.06869639	0.06617633	0.07507749	0.00275632	-0.00549829	0.00357294	0.05175567	0.05888804	0.03729120	0.01069271	-0.00334514	-0.00086833
0.100000	0.11483049	0.05419380	0.05900588	-0.00185807	0.00031129	-0.00404555	0.09327491	0.05174840	0.04819382	-0.00182737	-0.00414526	-0.00067801	0.07391440	0.04957646	0.04043332	0.00159111	-0.00840503	0.00023974	0.10400008	0.08068213	0.09432079	0.00650539	0.00454387	0.00066825	0.06872880	0.06610944	0.07513780	0.00237373	-0.00417294	0.00314792	0.05190961	0.05886190	0.03729578	0.00940774	-0.00238962	-0.00097350
0.116666	0.11480865	0.05420039	0.05895583	-0.00234724	0.00076115	-0.00423491	0.09323812	0.05167028	0.04821543	-0.00230209	-0.00451418	-0.00085006	0.07393632	0.04949072	0.04046321	0.00207947	-0.00832485	-0.00028003	0.10410513	0.08075704	0.09433962	0.00598388	0.00436848	0.00031214	0.06877139	0.06603465	0.07520802	0.00254870	-0.00326761	0.00244924	0.05203962	0.05883303	0.03729702	0.00846147	-0.00187180	-0.00130682
