Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11418461	0.05650339	0.05626057	0.00248694	-0.00006646	0.00458648	0.09277742	0.05259146	0.04652222	-0.00322012	0.00241159	0.00272307	0.07661048	0.04791280	0.03964514	-0.00143551	0.00862399	-0.00040453	0.10725413	0.08096643	0.09288968	0.00018898	-0.00243184	-0.00039172	0.07177949	0.06557599	0.07554975	0.00871345	-0.00000741	-0.01037378	0.05463578	0.05983513	0.03694209	-0.00388609	-0.00636856	-0.00510410
0.033333	0.11424258	0.05649571	0.05634616	0.00345425	-0.00051610	0.00587462	0.09272990	0.05260674	0.04657551	-0.00341134	0.00245434	0.00449059	0.07660613	0.04805891	0.03963123	-0.00079863	0.01166754	0.00009477	0.10726728	0.08093014	0.09288715	-0.00060708	-0.00141532	-0.00054315	0.07191928	0.06558049	0.07538576	0.00693510	0.00148371	-0.01033862	0.05459819	0.05974263	0.03684273	-0.00513042	-0.00505643	-0.00372739
0.050000	0.11428534	0.05650043	0.05643455	0.00442156	-0.00096575	0.00716276	0.09266451	0.05268150	0.04663528	-0.00360256	0.00249709	0.00625812	0.07656179	0.04824505	0.03964276	-0.00016175	0.01471110	0.00059407	0.10724830	0.08089611	0.09287161	-0.00140314	-0.00039879	-0.00069458	0.07205170	0.06559993	0.07520030	0.00515675	0.00297484	-0.01030345	0.05448620	0.05964171	0.03678769	-0.00637474	-0.00374430	-0.00235069
0.066666	0.11433947	0.05648187	0.05653654	0.00577482	-0.00150618	0.00914978	0.09260287	0.05272489	0.04673928	-0.00378994	0.00184673	0.00798216	0.07656776	0.04846331	0.03965730	0.00016127	0.01669762	0.00123922	0.10721713	0.08088584	0.09286196	-0.00177261	-0.00008233	-0.00059426	0.07213390	0.06563803	0.07502964	0.00422591	0.00410186	-0.01006309	0.05436121	0.05956166	0.03677539	-0.00676767	-0.00278414	-0.00202495
0.083333	0.11444678	0.05644952	0.05670414	0.00690575	-0.00203515	0.01122965	0.09254385	0.05276177	0.04688722	-0.00409418	0.00133437	0.01032638	0.07657312	0.04882849	0.03966506	0.00035595	0.01843596	0.00239317	0.10718264	0.08091775	0.09284749	-0.00262619	-0.00003576	-0.00031304	0.07216892	0.06573278	0.07486022	0.00293964	0.00496416	-0.00958808	0.05424248	0.05955180	0.03674135	-0.00823451	-0.00242193	-0.00061555
0.100000	0.11461793	0.05640887	0.05692270	0.00821165	-0.00239582	0.01275837	0.09247819	0.05275976	0.04709458	-0.00382414	0.00064211	0.01205196	0.07662109	0.04919389	0.03970549	0.00017326	0.01908355	0.00314913	0.10714160	0.08094241	0.09283596	-0.00298453	-0.00056707	0.00014827	0.07218705	0.06586327	0.07470490	0.00233562	0.00516894	-0.00895254	0.05413183	0.05956814	0.03672906	-0.00897510	-0.00234605	0.00024850
0.116666	0.11476831	0.05633947	0.05721115	0.00915822	-0.00313982	0.01362495	0.09239671	0.05274677	0.04734471	-0.00317690	-0.00017949	0.01288812	0.07661768	0.04954929	0.03978743	-0.00027001	0.01887459	0.00332035	0.10707662	0.08093110	0.09284685	-0.00296527	-0.00137058	0.00042487	0.07221282	0.06596835	0.07455935	0.00254822	0.00519017	-0.00854868	0.05395553	0.05953116	0.03673704	-0.00925252	-0.00196730	0.00055161
