Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11543233	0.05269914	0.05729197	0.00542144	0.00162705	0.00139656	0.09312283	0.05110044	0.04703014	-0.00113156	-0.00163014	0.00124028	0.07493162	0.05214829	0.03804974	-0.00088692	-0.00880003	0.00565501	0.10323685	0.07701843	0.09345396	0.00244570	0.00464002	0.00213825	0.06765805	0.06641442	0.07254823	-0.00355435	-0.00249368	0.00276496	0.05034018	0.06077527	0.03538183	0.00898318	0.00236831	-0.00002174
0.033333	0.11551580	0.05274227	0.05732677	0.00505487	0.00011522	0.00080142	0.09310107	0.05108151	0.04706452	-0.00062965	-0.00399237	0.00138872	0.07491818	0.05200822	0.03815371	-0.00083194	-0.01133294	0.00514561	0.10326879	0.07712119	0.09348949	0.00307159	0.00226536	0.00200362	0.06759543	0.06640784	0.07258593	-0.00275799	-0.00409821	0.00314446	0.05048640	0.06083231	0.03538010	0.00933837	0.00109323	-0.00068698
0.050000	0.11561032	0.05273731	0.05732549	0.00468830	-0.00139660	0.00020629	0.09308936	0.05101949	0.04706835	-0.00012774	-0.00635461	0.00153715	0.07489695	0.05181656	0.03823792	-0.00077695	-0.01386585	0.00463622	0.10332378	0.07714238	0.09352409	0.00369748	-0.00010930	0.00186899	0.06754573	0.06630539	0.07264820	-0.00196163	-0.00570273	0.00352395	0.05064585	0.06083977	0.03537495	0.00969356	-0.00018185	-0.00135223
0.066666	0.11568969	0.05269640	0.05732092	0.00428682	-0.00115287	0.00006165	0.09309472	0.05089681	0.04709130	0.00009406	-0.00690210	0.00171243	0.07489154	0.05159262	0.03828565	-0.00101537	-0.01559390	0.00520680	0.10339797	0.07711833	0.09355504	0.00347936	-0.00008665	0.00179675	0.06752476	0.06619196	0.07270779	-0.00188795	-0.00520086	0.00366928	0.05081411	0.06082009	0.03534489	0.01001438	0.00057582	-0.00175521
0.083333	0.11575598	0.05263983	0.05732827	0.00353517	-0.00141167	-0.00012934	0.09310126	0.05073857	0.04712781	0.00074890	-0.00799560	0.00164491	0.07488119	0.05128694	0.03837928	-0.00093554	-0.01748068	0.00488119	0.10346882	0.07706937	0.09358115	0.00349862	-0.00066940	0.00169926	0.06750661	0.06606946	0.07277504	-0.00163839	-0.00508400	0.00416172	0.05097076	0.06079109	0.03531289	0.01074162	0.00155658	-0.00260142
0.100000	0.11580514	0.05261872	0.05731619	0.00230585	-0.00106732	0.00012741	0.09310957	0.05057761	0.04717581	0.00128702	-0.00804849	0.00159994	0.07485525	0.05095683	0.03847216	-0.00075955	-0.01826674	0.00442007	0.10352193	0.07705004	0.09360897	0.00321352	-0.00018254	0.00177500	0.06748419	0.06599825	0.07283696	-0.00198063	-0.00385875	0.00468621	0.05115282	0.06080936	0.03526094	0.01131103	0.00363241	-0.00349219
0.116666	0.11584830	0.05262621	0.05731419	0.00066337	-0.00040570	0.00027133	0.09313806	0.05045027	0.04719901	0.00143454	-0.00723404	0.00114434	0.07483157	0.05060262	0.03858227	-0.00064802	-0.01859738	0.00370338	0.10356563	0.07707169	0.09363411	0.00296993	0.00081450	0.00195552	0.06745470	0.06595764	0.07291563	-0.00272517	-0.00243866	0.00513995	0.05135089	0.06090753	0.03519954	0.01156270	0.00604738	-0.00434141
