Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11422106	0.05435554	0.05397552	0.00983570	0.00864487	0.01072212	0.09337912	0.05369233	0.04373870	0.00470569	0.00938902	0.02595033	0.07741993	0.04965496	0.03668560	0.00679052	0.00913374	0.03442331	0.10512395	0.07180932	0.09090332	0.01195793	-0.00241310	0.00638800	0.06993999	0.06180917	0.07100876	0.00852242	0.00399042	0.02756219	0.05390989	0.05857449	0.03303761	-0.00442011	0.00370670	0.03505952
0.033333	0.11440430	0.05448774	0.05415418	0.00780928	0.01006805	0.01136378	0.09352436	0.05382208	0.04417102	0.00294396	0.01169347	0.02530160	0.07760933	0.04977024	0.03725387	0.00280024	0.01148325	0.03324935	0.10529674	0.07171632	0.09104147	0.00980351	0.00095353	0.00660519	0.07012824	0.06182092	0.07148664	0.00577884	0.00681776	0.02678219	0.05390159	0.05862100	0.03361030	-0.00619369	0.00549911	0.03455839
0.050000	0.11452540	0.05466004	0.05433428	0.00578287	0.01149122	0.01200545	0.09350581	0.05403547	0.04458781	0.00118223	0.01399793	0.02465288	0.07759088	0.04999096	0.03781719	-0.00119005	0.01383276	0.03207540	0.10551272	0.07177821	0.09111150	0.00764909	0.00432016	0.00682237	0.07018631	0.06198620	0.07190850	0.00303527	0.00964509	0.02600218	0.05373456	0.05872510	0.03419007	-0.00796727	0.00729152	0.03405726
0.066666	0.11460871	0.05486349	0.05455123	0.00554173	0.01125228	0.01194387	0.09350023	0.05428874	0.04501003	0.00245203	0.01352614	0.02354532	0.07752664	0.05025155	0.03834480	-0.00052311	0.01314878	0.03098776	0.10563514	0.07188458	0.09121121	0.00618117	0.00427304	0.00769883	0.07021535	0.06217970	0.07233830	0.00326050	0.00943240	0.02546119	0.05356295	0.05885090	0.03478105	-0.00633361	0.00756824	0.03228923
0.083333	0.11464735	0.05508890	0.05475632	0.00458063	0.01082380	0.01201422	0.09347674	0.05457193	0.04540287	0.00267406	0.01278620	0.02207383	0.07741957	0.05052095	0.03886809	-0.00163258	0.01258872	0.02893007	0.10568514	0.07201707	0.09134992	0.00381099	0.00534950	0.00822305	0.07019316	0.06238613	0.07276528	0.00229240	0.01027681	0.02383804	0.05340817	0.05901747	0.03532875	-0.00553821	0.00796465	0.02967934
0.100000	0.11473195	0.05528454	0.05496345	0.00392338	0.00945181	0.01155333	0.09360013	0.05480452	0.04575565	0.00319825	0.01048809	0.02075891	0.07744973	0.05073429	0.03932230	-0.00142500	0.01058177	0.02701569	0.10571306	0.07209388	0.09152974	0.00178077	0.00499064	0.00872697	0.07026681	0.06253306	0.07317693	0.00184291	0.00981454	0.02213233	0.05337827	0.05916972	0.03580008	-0.00427278	0.00766334	0.02654080
0.116666	0.11480713	0.05542289	0.05515630	0.00301213	0.00780368	0.01086077	0.09369813	0.05494655	0.04606962	0.00296821	0.00763535	0.01936898	0.07747020	0.05087281	0.03976148	-0.00131883	0.00825120	0.02498109	0.10572158	0.07215503	0.09169210	0.00099685	0.00455541	0.00870969	0.07032846	0.06268006	0.07353907	0.00127197	0.00928095	0.02019510	0.05336969	0.05928357	0.03620643	-0.00390118	0.00697649	0.02339704
