Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11172301	0.05401652	0.05374434	0.01085446	0.01417074	0.00752113	0.09203801	0.05260701	0.04237251	0.00979793	0.01724838	0.02369680	0.07572453	0.04980854	0.03415960	0.01083378	0.01048645	0.03328884	0.10442417	0.07613278	0.08938842	0.01776028	-0.01377424	0.01325326	0.06904860	0.06210297	0.07040133	-0.00149653	-0.01454247	0.03716208	0.05308923	0.05699483	0.03229627	0.00801436	0.00861385	0.03105036
0.033333	0.11189321	0.05429795	0.05387053	0.00941101	0.01083416	0.00788595	0.09218438	0.05294519	0.04279310	0.00655870	0.01259213	0.02218486	0.07589255	0.05002763	0.03475632	0.00728111	0.00814221	0.02977621	0.10474809	0.07595451	0.08958980	0.01518986	-0.01238917	0.01203221	0.06898957	0.06190744	0.07103603	-0.00251995	-0.01387412	0.03308875	0.05318311	0.05717203	0.03283680	0.00554281	0.00725809	0.02810832
0.050000	0.11206744	0.05444255	0.05400790	0.00796757	0.00749757	0.00825077	0.09233253	0.05312054	0.04315508	0.00331947	0.00793587	0.02067293	0.07605153	0.05012335	0.03524441	0.00372843	0.00579797	0.02626359	0.10498703	0.07567162	0.08982810	0.01261943	-0.01100410	0.01081117	0.06899446	0.06160906	0.07161611	-0.00354336	-0.01320576	0.02901543	0.05334283	0.05726017	0.03331756	0.00307125	0.00590232	0.02516628
0.066666	0.11220589	0.05453048	0.05412862	0.00702086	0.00737364	0.00918696	0.09238242	0.05320865	0.04344234	0.00181862	0.00767597	0.02174187	0.07609853	0.05019189	0.03559221	0.00238759	0.00613483	0.02771152	0.10515851	0.07547183	0.09000221	0.01219669	-0.00984438	0.01073272	0.06894674	0.06137869	0.07202619	-0.00480803	-0.01232638	0.02982926	0.05339424	0.05733625	0.03366435	0.00168989	0.00633367	0.02636838
0.083333	0.11229397	0.05460078	0.05428462	0.00619496	0.00595334	0.00992349	0.09234586	0.05325232	0.04379696	0.00007894	0.00609998	0.02125909	0.07606902	0.05024831	0.03600816	0.00048753	0.00580665	0.02673348	0.10533472	0.07536830	0.09013890	0.00983052	-0.00896234	0.01057547	0.06884363	0.06120435	0.07244176	-0.00584031	-0.01138239	0.02883729	0.05336054	0.05742056	0.03405108	0.00040263	0.00623994	0.02566843
0.100000	0.11235125	0.05470462	0.05446606	0.00602922	0.00612123	0.01011815	0.09226960	0.05334080	0.04417627	-0.00035677	0.00674528	0.02080978	0.07600331	0.05036304	0.03647538	-0.00005450	0.00671754	0.02640937	0.10551424	0.07529259	0.09027725	0.00822633	-0.00752184	0.01013678	0.06868509	0.06107016	0.07290376	-0.00648270	-0.00978585	0.02865039	0.05328004	0.05754301	0.03449170	-0.00013452	0.00670875	0.02540507
0.116666	0.11244109	0.05482404	0.05467544	0.00651057	0.00673010	0.00954470	0.09225939	0.05348043	0.04458627	0.00040382	0.00791631	0.01946749	0.07600975	0.05049172	0.03702172	0.00056293	0.00733345	0.02527387	0.10565709	0.07514871	0.09049032	0.00714882	-0.00664229	0.00955880	0.06855757	0.06088939	0.07348143	-0.00600981	-0.00875845	0.02816833	0.05328133	0.05767430	0.03500726	0.00044733	0.00665392	0.02463622
