Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11277610	0.05540660	0.05370634	0.01448056	-0.00440275	0.03577189	0.09398396	0.05413589	0.04398924	0.01592527	0.00059009	0.06026469	0.07688092	0.05086796	0.03809971	0.02161985	0.00218657	0.06484884	0.10660711	0.07342316	0.08916555	0.03077396	-0.01381220	0.02939307	0.07138224	0.06181313	0.07251539	0.01990062	-0.00159184	0.05441405	0.05406994	0.05838318	0.03395591	0.01750292	-0.01016954	0.05797153
0.016667	0.11302246	0.05530825	0.05428712	0.01017522	-0.00196897	0.03196412	0.09428599	0.05410518	0.04496190	0.01010571	0.00459844	0.05320428	0.07729336	0.05085203	0.03913538	0.01466973	0.00699646	0.05790934	0.10708272	0.07317685	0.08965410	0.02681013	-0.00887122	0.02553518	0.07173745	0.06176942	0.07337918	0.01359975	0.00327588	0.04877393	0.05440819	0.05818818	0.03488167	0.01126443	-0.00543149	0.05250244
0.033333	0.11320516	0.05529379	0.05484658	0.00586989	0.00046481	0.02815636	0.09444172	0.05421061	0.04590914	0.00428615	0.00860680	0.04614388	0.07751293	0.05100538	0.04017131	0.00771961	0.01180635	0.05096984	0.10758525	0.07302573	0.09009385	0.02284629	-0.00393023	0.02167729	0.07196449	0.06182092	0.07425532	0.00729888	0.00814361	0.04313381	0.05456974	0.05809933	0.03582229	0.00502594	-0.00069345	0.04703335
0.050000	0.11328779	0.05531989	0.05532729	0.00392919	0.00092209	0.02477184	0.09446172	0.05439188	0.04668852	0.00295968	0.00909531	0.04018246	0.07757055	0.05125310	0.04104259	0.00651127	0.01248098	0.04421750	0.10799024	0.07298222	0.09044848	0.01925543	-0.00191551	0.01903646	0.07205379	0.06198249	0.07500099	0.00485344	0.00997339	0.03739994	0.05459671	0.05812935	0.03661774	0.00346923	0.00045760	0.04164554
0.066666	0.11328483	0.05537629	0.05569170	0.00078593	0.00194053	0.01986934	0.09443069	0.05460225	0.04726477	-0.00020046	0.01032098	0.03129698	0.07759182	0.05152739	0.04170106	0.00310087	0.01472492	0.03436808	0.10823860	0.07302931	0.09072164	0.01466712	0.00147429	0.01490960	0.07203988	0.06222569	0.07555500	0.00043802	0.01295864	0.02954863	0.05458251	0.05821061	0.03725229	-0.00002280	0.00322598	0.03336560
0.083333	0.11323167	0.05541949	0.05594520	-0.00090491	0.00163839	0.01555404	0.09437142	0.05480396	0.04764920	-0.00104841	0.00925485	0.02326162	0.07758003	0.05178780	0.04211787	0.00275680	0.01428664	0.02519874	0.10837468	0.07311494	0.09090605	0.01023494	0.00329913	0.01149841	0.07197165	0.06250276	0.07590741	-0.00168428	0.01434792	0.02200392	0.05452184	0.05830254	0.03769198	-0.00077645	0.00428334	0.02506668
0.100000	0.11320662	0.05545196	0.05614733	-0.00143942	0.00075061	0.01222192	0.09437115	0.05495283	0.04794206	-0.00098005	0.00733708	0.01707138	0.07765625	0.05202724	0.04242327	0.00344557	0.01278476	0.01809267	0.10850475	0.07318286	0.09105987	0.00694408	0.00392263	0.00882249	0.07193166	0.06275401	0.07617599	-0.00236169	0.01485361	0.01572366	0.05451324	0.05836517	0.03802501	-0.00069157	0.00430528	0.01823067
0.116666	0.11318406	0.05544424	0.05630949	-0.00145667	-0.00046548	0.00953861	0.09437195	0.05503225	0.04816127	-0.00082940	0.00524221	0.01202690	0.07773152	0.05222646	0.04262379	0.00399464	0.01103009	0.01232851	0.10861190	0.07323098	0.09118695	0.00444008	0.00374803	0.00655333	0.07189272	0.06296112	0.07638792	-0.00239992	0.01449626	0.01043588	0.05451854	0.05842336	0.03823606	-0.00027362	0.00383472	0.01262944
