Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11213298	0.07750636	0.08406437	-0.00442216	0.02142434	0.00131123	0.10604758	0.05650486	0.07524402	-0.01568707	0.02229169	0.00638778	0.09749645	0.03593050	0.06937932	-0.00649872	0.02486977	0.01248946	0.08938261	0.07333686	0.11690067	0.00192777	0.00563579	-0.00462940	0.07360811	0.04803689	0.10622837	-0.01426635	0.01311967	-0.00640413	0.07576994	0.03133696	0.07538130	-0.01189184	-0.00732510	-0.00520902	0.10234197	0.15892415	0.09529742	-0.00450658	0.01782923	0.00055507
0.016667	0.11204748	0.07789323	0.08408982	-0.00508772	0.02294013	0.00193880	0.10578491	0.05692910	0.07534628	-0.01672766	0.02263514	0.00880819	0.09741396	0.03640040	0.06959547	-0.00891100	0.02631783	0.01431747	0.08938346	0.07342128	0.11683345	0.00325689	0.00483023	-0.00571916	0.07333137	0.04830176	0.10610403	-0.01375174	0.01422169	-0.00840094	0.07556301	0.03123962	0.07528318	-0.01327922	-0.00837914	-0.00410290	0.10224261	0.15922002	0.09530444	-0.00312032	0.01926594	0.00086524
0.033333	0.11198074	0.07823217	0.08411682	-0.00575329	0.02445592	0.00256636	0.10551612	0.05724938	0.07548568	-0.01776825	0.02297859	0.01122859	0.09725778	0.03676976	0.06981811	-0.01132329	0.02776589	0.01614547	0.08945674	0.07351412	0.11673862	0.00458600	0.00402467	-0.00680893	0.07313362	0.04849547	0.10598665	-0.01323713	0.01532371	-0.01039774	0.07535108	0.03108364	0.07522514	-0.01466660	-0.00943319	-0.00299678	0.10220407	0.15953805	0.09532048	-0.00173406	0.02070264	0.00117541
0.050000	0.11187767	0.07863986	0.08416153	-0.00608406	0.02573448	0.00315649	0.10520437	0.05760629	0.07569037	-0.01758650	0.02491819	0.01201787	0.09701828	0.03721624	0.07009703	-0.01042713	0.03014683	0.01702737	0.08957701	0.07358412	0.11659762	0.00330155	0.00325610	-0.00647462	0.07295460	0.04870374	0.10582767	-0.01574336	0.01857622	-0.01250551	0.07511888	0.03088425	0.07517020	-0.01623853	-0.00809108	-0.00291196	0.10220312	0.15988649	0.09534600	-0.00242793	0.02152675	0.00138425
0.066666	0.11177810	0.07908354	0.08421250	-0.00655188	0.02628136	0.00434441	0.10489697	0.05800719	0.07592181	-0.01716330	0.02556563	0.01354663	0.09681062	0.03772188	0.07039292	-0.01020011	0.03171758	0.01801465	0.08965603	0.07363294	0.11647976	0.00234139	0.00248333	-0.00652074	0.07272089	0.04901686	0.10559500	-0.01808550	0.02135151	-0.01489664	0.07483357	0.03074380	0.07516286	-0.01841918	-0.00712480	-0.00244376	0.10219805	0.16026302	0.09536295	-0.00256986	0.02249898	0.00179191
0.083333	0.11163260	0.07960583	0.08429957	-0.00694166	0.02521007	0.00554415	0.10457743	0.05853984	0.07618760	-0.01588232	0.02501880	0.01390001	0.09662785	0.03837068	0.07075526	-0.00863898	0.03163453	0.01760903	0.08967423	0.07363954	0.11636639	0.00011753	0.00169971	-0.00576327	0.07237852	0.04947015	0.10528283	-0.02010488	0.02323998	-0.01627947	0.07449041	0.03062671	0.07512131	-0.02012034	-0.00569264	-0.00184760	0.10213485	0.16066688	0.09539761	-0.00326244	0.02226928	0.00196249
0.100000	0.11153220	0.08006144	0.08439330	-0.00692490	0.02251120	0.00629774	0.10433494	0.05901965	0.07641361	-0.01417177	0.02262493	0.01319626	0.09654296	0.03896435	0.07105283	-0.00678527	0.02921096	0.01601546	0.08963862	0.07366139	0.11628655	-0.00220367	0.00118077	-0.00467101	0.07193409	0.04995678	0.10496225	-0.02026119	0.02304533	-0.01629013	0.07412425	0.03060081	0.07506360	-0.02082416	-0.00472879	-0.00131071	0.10204990	0.16106294	0.09543823	-0.00380708	0.02104671	0.00193686
0.116666	0.11140688	0.08040246	0.08453777	-0.00618609	0.01879003	0.00628768	0.10412642	0.05938546	0.07664911	-0.01188521	0.01863653	0.01169258	0.09645757	0.03944758	0.07132955	-0.00492321	0.02514518	0.01349347	0.08956467	0.07368856	0.11621627	-0.00370612	0.00114780	-0.00383170	0.07152886	0.05037281	0.10467068	-0.01844537	0.02054659	-0.01519872	0.07373189	0.03054344	0.07504047	-0.02003313	-0.00396930	-0.00129145	0.10195801	0.16141638	0.09548009	-0.00377511	0.01934037	0.00169554
