Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10927954	0.08497453	0.08467521	0.00166327	-0.00957627	-0.02201994	0.10365771	0.06437050	0.07622284	-0.00193090	-0.00443084	-0.03401993	0.09766372	0.04409114	0.07058039	0.00918019	-0.01386685	-0.03572303	0.08737661	0.07828385	0.11506950	0.00264992	0.00040353	0.00622327	0.07608396	0.05134361	0.10447158	-0.01320103	0.00666619	-0.00696390	0.07596573	0.02862757	0.07761606	-0.00483757	0.03034736	-0.01018156	0.09483405	0.16537705	0.09606558	0.00110966	-0.01360988	-0.00015810
0.016667	0.10928920	0.08480067	0.08435681	-0.00021257	-0.01345021	-0.02042689	0.10359257	0.06427342	0.07575850	-0.00145622	-0.01003217	-0.03277360	0.09776954	0.04382955	0.07011730	0.00865418	-0.01758631	-0.03640107	0.08742540	0.07827663	0.11514392	-0.00053287	-0.00074454	0.00895057	0.07587166	0.05144824	0.10435921	-0.01570037	-0.00048548	-0.00003554	0.07584088	0.02904328	0.07747571	-0.00155301	0.03668684	-0.00466863	0.09488032	0.16513118	0.09606370	-0.00244820	-0.01355773	-0.00176065
0.033333	0.10930559	0.08459758	0.08397161	-0.00208841	-0.01732416	-0.01883384	0.10358699	0.06413795	0.07512569	-0.00098154	-0.01563350	-0.03152726	0.09793855	0.04355768	0.06941617	0.00812817	-0.02130577	-0.03707912	0.08742529	0.07827669	0.11530292	-0.00371566	-0.00189260	0.01167786	0.07561366	0.05146814	0.10432775	-0.01819972	-0.00763716	0.00689282	0.07583988	0.02969575	0.07734916	0.00173156	0.04302632	0.00084430	0.09483144	0.16491812	0.09603686	-0.00600605	-0.01350557	-0.00336321
0.050000	0.10929409	0.08432434	0.08358935	-0.00398857	-0.01987830	-0.01548755	0.10362639	0.06389262	0.07446492	-0.00226331	-0.02030075	-0.02507346	0.09816682	0.04323843	0.06860659	0.00508899	-0.02616947	-0.02928593	0.08735626	0.07827251	0.11555301	-0.00520544	-0.00293778	0.01107682	0.07530250	0.05132975	0.10446328	-0.01797627	-0.01074222	0.01031470	0.07594123	0.03055269	0.07734630	0.00110075	0.04195808	0.00547840	0.09468198	0.16471326	0.09598149	-0.00609587	-0.01457719	-0.00452029
0.066666	0.10919386	0.08393382	0.08337860	-0.00625672	-0.02340062	-0.01272438	0.10358217	0.06350602	0.07408000	-0.00313004	-0.02725845	-0.01904659	0.09822234	0.04280786	0.06811471	0.00289404	-0.03318638	-0.02274738	0.08721066	0.07818549	0.11576992	-0.00753439	-0.00356366	0.01117338	0.07493134	0.05104741	0.10473013	-0.01739676	-0.01428887	0.01539147	0.07598209	0.03133302	0.07751495	0.00207537	0.04552360	0.01155169	0.09453446	0.16448599	0.09588682	-0.00721849	-0.01663595	-0.00639925
0.083333	0.10902523	0.08343606	0.08327314	-0.00799622	-0.02731681	-0.00923201	0.10347410	0.06290100	0.07393823	-0.00493502	-0.03494798	-0.00991319	0.09815955	0.04211587	0.06793293	0.00048895	-0.04115952	-0.01120002	0.08704269	0.07807145	0.11596761	-0.00861067	-0.00509834	0.00885263	0.07458895	0.05061878	0.10512853	-0.01533641	-0.01576559	0.01804188	0.07601617	0.03201135	0.07784052	0.00125442	0.04503138	0.01550271	0.09438518	0.16418344	0.09575519	-0.00635727	-0.02180913	-0.00780567
0.100000	0.10887307	0.08300778	0.08317173	-0.00753465	-0.03144828	-0.00575828	0.10340125	0.06231103	0.07387760	-0.00517762	-0.04233767	-0.00037950	0.09813375	0.04139165	0.06789364	0.00078004	-0.04857517	0.00184142	0.08688242	0.07800558	0.11609091	-0.00777196	-0.00842731	0.00521345	0.07439031	0.05038970	0.10543986	-0.01147383	-0.01753674	0.01808427	0.07599325	0.03271966	0.07818556	0.00083622	0.04051370	0.01537579	0.09430604	0.16386159	0.09560807	-0.00452774	-0.02971222	-0.00829354
0.116666	0.10869604	0.08248012	0.08305056	-0.00506604	-0.03316744	-0.00268971	0.10324194	0.06153807	0.07389998	-0.00358721	-0.04566708	0.00705986	0.09806175	0.04044100	0.06795885	0.00323748	-0.05161995	0.01195812	0.08674370	0.07793058	0.11616338	-0.00517430	-0.01172465	0.00172184	0.07423466	0.05018940	0.10575536	-0.00629372	-0.01862384	0.01557435	0.07599950	0.03351772	0.07851001	0.00187338	0.03414034	0.01140249	0.09424628	0.16333809	0.09543735	-0.00278139	-0.03645651	-0.00740576
