Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.11322825	0.06756756	0.08793195	0.00116311	-0.02699621	-0.00721633	0.10510007	0.04875769	0.07953066	0.00693454	-0.04062201	-0.01464920	0.09216090	0.03137996	0.07425182	0.00729180	-0.03975041	-0.01822829	0.08917709	0.06512022	0.11999276	-0.00244149	-0.01360742	0.00009608	0.06784459	0.04577279	0.10600697	0.00364272	-0.01417050	0.00496781	0.06528656	0.03051025	0.07562172	0.00875562	-0.00330493	0.00625721	0.11676909	0.14863102	0.10132448	0.00808391	-0.02540554	-0.00811621
0.033333	0.11324567	0.06705135	0.08778117	0.00170567	-0.02441446	-0.00585886	0.10523564	0.04801498	0.07925133	0.00503855	-0.03620214	-0.01186525	0.09230540	0.03062103	0.07389930	0.00437984	-0.03484449	-0.01492164	0.08912685	0.06487011	0.11998410	-0.00180804	-0.01387982	-0.00009745	0.06790218	0.04550004	0.10609534	0.00431882	-0.01173192	0.00356534	0.06543966	0.03044963	0.07572346	0.00859182	-0.00586763	0.00668990	0.11689512	0.14817074	0.10114379	0.00906501	-0.02212653	-0.00631037
0.050000	0.11327677	0.06671293	0.08771657	0.00224822	-0.02183271	-0.00450140	0.10530619	0.04746131	0.07908749	0.00314256	-0.03178227	-0.00908129	0.09237721	0.03012356	0.07369786	0.00146788	-0.02993857	-0.01161498	0.08910410	0.06465916	0.11999882	-0.00117459	-0.01415221	-0.00029098	0.06798092	0.04532977	0.10615323	0.00499493	-0.00929333	0.00216287	0.06557935	0.03036698	0.07583321	0.00842802	-0.00843034	0.00712260	0.11705328	0.14783132	0.10107528	0.01004610	-0.01884751	-0.00450453
0.066666	0.11332318	0.06637970	0.08764722	0.00241444	-0.02188382	-0.00456965	0.10534536	0.04697642	0.07894284	0.00290518	-0.03076888	-0.00834286	0.09235939	0.02969256	0.07351635	0.00166134	-0.02963625	-0.01078297	0.08910198	0.06443900	0.11999110	-0.00094753	-0.01507437	-0.00047606	0.06807045	0.04520659	0.10619020	0.00581416	-0.00914469	0.00124340	0.06573237	0.03021709	0.07597058	0.00846576	-0.00961040	0.00687285	0.11723060	0.14752063	0.10104833	0.01004961	-0.01787901	-0.00557600
0.083333	0.11335164	0.06605722	0.08760636	0.00254103	-0.01940254	-0.00412093	0.10535288	0.04654437	0.07886344	0.00159085	-0.02581853	-0.00663481	0.09233157	0.02927530	0.07340680	0.00039142	-0.02477061	-0.00841617	0.08907411	0.06419934	0.11998080	-0.00015590	-0.01456199	-0.00073433	0.06814463	0.04509944	0.10618331	0.00652830	-0.00680041	-0.00035010	0.06582683	0.03002937	0.07607460	0.00758398	-0.01005837	0.00656674	0.11740822	0.14731373	0.10097883	0.00982966	-0.01521027	-0.00554352
0.100000	0.11342039	0.06566415	0.08751904	0.00210968	-0.01714277	-0.00406025	0.10538589	0.04603420	0.07874952	0.00057135	-0.02121837	-0.00578819	0.09233902	0.02875326	0.07324352	-0.00014365	-0.02075423	-0.00705204	0.08906998	0.06388004	0.11995617	0.00005301	-0.01294156	-0.00098449	0.06828292	0.04494369	0.10617293	0.00636793	-0.00453835	-0.00151709	0.06600382	0.02977536	0.07620107	0.00562428	-0.00830542	0.00561370	0.11759469	0.14703307	0.10085079	0.00872817	-0.01314377	-0.00632225
0.116666	0.11345246	0.06535451	0.08743876	0.00128687	-0.01423074	-0.00379489	0.10541611	0.04568482	0.07865506	-0.00044234	-0.01687757	-0.00483623	0.09238306	0.02839195	0.07313405	-0.00060834	-0.01656356	-0.00573000	0.08908538	0.06363036	0.11993989	-0.00011563	-0.01038582	-0.00101358	0.06842844	0.04484590	0.10612485	0.00576875	-0.00220695	-0.00207045	0.06611106	0.02960867	0.07628476	0.00327141	-0.00545488	0.00460306	0.11773439	0.14681749	0.10070208	0.00714443	-0.01133014	-0.00666323
