Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11014690	0.07000915	0.08362771	0.00175033	0.00172225	-0.00169699	0.10092334	0.04895008	0.07941224	-0.00223299	-0.00258545	-0.00433328	0.09066818	0.02841066	0.07737308	-0.00189123	-0.00254660	-0.00754792	0.09181369	0.06627491	0.11565407	-0.00459665	-0.00222330	-0.00332063	0.07489858	0.04048305	0.10963448	-0.00375943	0.00538187	-0.00870667	0.06781335	0.02424852	0.08275481	0.00028264	0.00298107	-0.00921566	0.10292790	0.14935231	0.09349921	-0.00179537	0.00133403	-0.00113525
0.016667	0.11017435	0.07002484	0.08360521	0.00197478	0.00302666	-0.00301146	0.10088333	0.04889179	0.07933628	-0.00141509	-0.00049655	-0.00623795	0.09063794	0.02836596	0.07723892	-0.00091888	-0.00106115	-0.00933435	0.09174553	0.06621324	0.11559366	-0.00395203	-0.00221775	-0.00420170	0.07483813	0.04055181	0.10948796	-0.00246742	0.00516752	-0.00961330	0.06782089	0.02428997	0.08259513	0.00200272	0.00453474	-0.01111087	0.10290749	0.14936775	0.09348743	-0.00204452	0.00210018	-0.00130624
0.033333	0.11020614	0.07007904	0.08355533	0.00219923	0.00433108	-0.00432594	0.10085274	0.04888500	0.07924469	-0.00059720	0.00159236	-0.00814262	0.09061544	0.02834482	0.07709537	0.00005346	0.00042429	-0.01112078	0.09166507	0.06619422	0.11553229	-0.00330740	-0.00221220	-0.00508277	0.07478695	0.04065542	0.10932638	-0.00117541	0.00495317	-0.01051993	0.06784074	0.02436350	0.08242035	0.00372281	0.00608841	-0.01300608	0.10286323	0.14940408	0.09346115	-0.00229367	0.00286632	-0.00147723
0.050000	0.11024388	0.07016674	0.08347894	0.00226152	0.00398202	-0.00500290	0.10085694	0.04893670	0.07910840	-0.00050508	0.00170498	-0.00934184	0.09061598	0.02834990	0.07692458	0.00066381	0.00108964	-0.01307146	0.09160639	0.06618830	0.11545334	-0.00283119	-0.00410611	-0.00573760	0.07476353	0.04075967	0.10916792	-0.00049588	0.00340018	-0.01169548	0.06790325	0.02447782	0.08221486	0.00460220	0.00594104	-0.01484486	0.10282226	0.14946565	0.09342398	-0.00224293	0.00263416	-0.00099805
0.066666	0.11029238	0.07027042	0.08336945	0.00245319	0.00355446	-0.00612682	0.10086454	0.04900408	0.07891995	0.00020117	0.00235199	-0.01073741	0.09065022	0.02840511	0.07667773	0.00149422	0.00161155	-0.01530087	0.09157911	0.06613424	0.11533674	-0.00241888	-0.00617965	-0.00618687	0.07479443	0.04082654	0.10895342	0.00040718	0.00160343	-0.01282976	0.06802234	0.02461858	0.08193713	0.00565941	0.00550960	-0.01692436	0.10277782	0.14952184	0.09340655	-0.00225873	0.00262500	-0.00059512
0.083333	0.11032576	0.07033373	0.08326297	0.00279420	0.00240074	-0.00667660	0.10086164	0.04905187	0.07870366	0.00100330	0.00200909	-0.01128749	0.09068483	0.02845600	0.07638498	0.00219685	0.00140939	-0.01681558	0.09155600	0.06599783	0.11520912	-0.00226104	-0.00855431	-0.00609244	0.07481474	0.04082022	0.10872026	0.00115350	-0.00032395	-0.01358354	0.06814070	0.02473113	0.08161622	0.00607709	0.00423087	-0.01824684	0.10275093	0.14957145	0.09340126	-0.00187055	0.00249402	-0.00003222
0.100000	0.11037523	0.07035582	0.08312993	0.00331273	0.00124489	-0.00672287	0.10087237	0.04907763	0.07848810	0.00175786	0.00151387	-0.01103975	0.09073524	0.02849490	0.07604431	0.00267969	0.00094302	-0.01728739	0.09152872	0.06579658	0.11508902	-0.00246272	-0.01003906	-0.00555223	0.07484206	0.04077255	0.10845427	0.00182320	-0.00116896	-0.01389520	0.06826020	0.02478460	0.08125704	0.00581330	0.00299828	-0.01846053	0.10271121	0.14958954	0.09341945	-0.00121139	0.00282281	0.00022199
0.116666	0.11041828	0.07032423	0.08302208	0.00425825	0.00064798	-0.00692165	0.10090081	0.04907057	0.07832325	0.00318651	0.00192667	-0.01109500	0.09076453	0.02846768	0.07575731	0.00365721	0.00092617	-0.01756530	0.09147219	0.06557634	0.11501918	-0.00230093	-0.01001280	-0.00537506	0.07484794	0.04070146	0.10823119	0.00310355	-0.00055284	-0.01414085	0.06832941	0.02476801	0.08095657	0.00579847	0.00257507	-0.01816664	0.10269245	0.14961895	0.09343239	-0.00035018	0.00388311	0.00000276
