Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12293740	0.04064368	0.09262092	-0.00292328	0.00718973	0.00121221	0.10369426	0.03091855	0.08967808	0.00320704	0.00676178	0.00248407	0.09477198	0.01637965	0.08192105	0.00332528	0.00727045	0.00589272	0.09890240	0.05557081	0.12422109	0.00676784	-0.00197691	0.00222010	0.07777151	0.02261030	0.11277763	0.00679332	-0.00113978	0.00436866	0.07002572	0.01303590	0.08342735	0.01180929	-0.00006136	0.00750146
0.016667	0.12287953	0.04077275	0.09262182	-0.00301236	0.00628064	0.00315250	0.10374789	0.03103139	0.08970794	0.00281499	0.00605109	0.00457900	0.09482987	0.01651059	0.08200537	0.00361988	0.00558790	0.00820916	0.09901643	0.05553845	0.12423944	0.00650014	-0.00053365	0.00342654	0.07789462	0.02259605	0.11284025	0.00819798	-0.00199619	0.00647689	0.07022456	0.01302903	0.08353474	0.01153757	-0.00108216	0.01032275
0.033333	0.12283709	0.04087624	0.09268015	-0.00310143	0.00537155	0.00509279	0.10379725	0.03113645	0.08978661	0.00242294	0.00534039	0.00667392	0.09488928	0.01660751	0.08214334	0.00391448	0.00390535	0.01052559	0.09912381	0.05552507	0.12430003	0.00623244	0.00090961	0.00463298	0.07801235	0.02256003	0.11294493	0.00960264	-0.00285260	0.00858511	0.07041737	0.01302055	0.08370595	0.01126584	-0.00210297	0.01314403
0.050000	0.12280010	0.04094471	0.09279542	-0.00355688	0.00530180	0.00480147	0.10383704	0.03121251	0.08990853	0.00232817	0.00516284	0.00738009	0.09495056	0.01664646	0.08234106	0.00440495	0.00384031	0.01106822	0.09923034	0.05554179	0.12441869	0.00602106	0.00155081	0.00348104	0.07817092	0.02251109	0.11310967	0.01057618	-0.00315310	0.00895888	0.07059892	0.01298965	0.08396260	0.01143240	-0.00292454	0.01334803
0.066666	0.12273086	0.04102780	0.09291170	-0.00360259	0.00468133	0.00526352	0.10386404	0.03130237	0.09007237	0.00178226	0.00455067	0.00867724	0.09502155	0.01668537	0.08256263	0.00475021	0.00307030	0.01249847	0.09932234	0.05558898	0.12449723	0.00585819	0.00247455	0.00306198	0.07837445	0.02244135	0.11329515	0.01175241	-0.00371717	0.01004018	0.07078495	0.01292402	0.08422652	0.01110692	-0.00391873	0.01456106
0.083333	0.12265228	0.04111131	0.09299894	-0.00367513	0.00446442	0.00477428	0.10389505	0.03136165	0.09022975	0.00132759	0.00456167	0.00902112	0.09511662	0.01672987	0.08278266	0.00461536	0.00312356	0.01304449	0.09941828	0.05566480	0.12453628	0.00591016	0.00294999	0.00225593	0.07860342	0.02237128	0.11347720	0.01229209	-0.00375136	0.01062256	0.07097219	0.01283269	0.08448780	0.00993483	-0.00441502	0.01464570
0.100000	0.12257975	0.04118034	0.09305155	-0.00347266	0.00447947	0.00406230	0.10392641	0.03144254	0.09039259	0.00069548	0.00460617	0.00911739	0.09521531	0.01679209	0.08300019	0.00415047	0.00382166	0.01317123	0.09950588	0.05570561	0.12451290	0.00612891	0.00341551	0.00164699	0.07882651	0.02230699	0.11364300	0.01190876	-0.00334654	0.01126815	0.07117138	0.01274331	0.08471041	0.00783335	-0.00409094	0.01438679
0.116666	0.12253775	0.04125695	0.09310806	-0.00291546	0.00444043	0.00378394	0.10391612	0.03149621	0.09052825	0.00006720	0.00456382	0.00953969	0.09528386	0.01685583	0.08321325	0.00342508	0.00456877	0.01335120	0.09961593	0.05576115	0.12453053	0.00631093	0.00394078	0.00162926	0.07902320	0.02224164	0.11380648	0.01105555	-0.00288645	0.01232163	0.07129968	0.01266587	0.08493389	0.00542814	-0.00318666	0.01442740
