Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12560967	0.03645896	0.08982664	-0.00212968	0.00937466	0.00081592	0.10636200	0.02757172	0.08555166	0.00242521	0.00490694	0.00010490	0.09472993	0.01118515	0.07616165	-0.00154667	0.00118603	0.00782638	0.10231653	0.05204546	0.12151153	0.00460280	0.01032478	0.00037652	0.08190422	0.02198089	0.10631553	0.00130404	0.00938447	0.00374453	0.07278894	0.01260251	0.07866306	0.00354891	0.00161966	0.00647056
0.016667	0.12556416	0.03660976	0.08983865	-0.00138492	0.00991550	0.00093319	0.10639504	0.02766226	0.08555805	0.00210308	0.00701115	0.00263439	0.09468941	0.01120824	0.07629951	-0.00219160	0.00286411	0.01092580	0.10239886	0.05222947	0.12152005	0.00645677	0.01151298	0.00053577	0.08192426	0.02212966	0.10638972	0.00238360	0.00895342	0.00788997	0.07284393	0.01262919	0.07878330	0.00335345	0.00256605	0.01032699
0.033333	0.12554610	0.03678030	0.08985418	-0.00064016	0.01045634	0.00105046	0.10643610	0.02775781	0.08558398	0.00178096	0.00911537	0.00516387	0.09466530	0.01124027	0.07646144	-0.00283652	0.00454218	0.01402522	0.10249212	0.05240956	0.12152685	0.00831075	0.01270119	0.00069503	0.08196935	0.02228348	0.10649612	0.00346316	0.00852236	0.01203542	0.07290556	0.01266588	0.07892690	0.00315798	0.00351244	0.01418343
0.050000	0.12555619	0.03695044	0.08987600	-0.00071205	0.01048010	0.00089396	0.10647531	0.02792173	0.08567940	0.00125155	0.01006548	0.00665999	0.09463865	0.01133104	0.07669470	-0.00409169	0.00488689	0.01626219	0.10263293	0.05260289	0.12152934	0.00927005	0.01391260	0.00108377	0.08202257	0.02243494	0.10669465	0.00487393	0.00674296	0.01562006	0.07295587	0.01272963	0.07916256	0.00353699	0.00334360	0.01715213
0.066666	0.12554142	0.03714792	0.08989329	0.00025071	0.00996465	0.00073862	0.10649210	0.02811363	0.08582429	0.00128042	0.01044072	0.00891182	0.09456109	0.01143840	0.07701191	-0.00510736	0.00464433	0.01914527	0.10281835	0.05285874	0.12155920	0.01069818	0.01438679	0.00145142	0.08209795	0.02256770	0.10699668	0.00705808	0.00373332	0.02081198	0.07300927	0.01281301	0.07950065	0.00442648	0.00260170	0.02134440
0.083333	0.12553741	0.03732323	0.08990644	0.00117511	0.00837361	0.00081014	0.10648398	0.02835663	0.08601775	0.00149355	0.00852298	0.01063739	0.09443484	0.01156491	0.07739073	-0.00635880	0.00303460	0.02099854	0.10303745	0.05315508	0.12158257	0.01145855	0.01365444	0.00179750	0.08223507	0.02262906	0.10742307	0.00885822	-0.00049469	0.02502288	0.07305588	0.01288478	0.07993008	0.00535457	0.00079184	0.02466327
0.100000	0.12553756	0.03747608	0.08990798	0.00190445	0.00628982	0.00148103	0.10649354	0.02853268	0.08621395	0.00167721	0.00511923	0.01226113	0.09430539	0.01162296	0.07778940	-0.00769689	0.00120605	0.02239773	0.10322856	0.05341913	0.12162966	0.01159792	0.01185694	0.00202839	0.08242210	0.02257187	0.10791536	0.01039971	-0.00498901	0.02803158	0.07317880	0.01288570	0.08039614	0.00542490	-0.00175568	0.02712607
0.116666	0.12561558	0.03754865	0.08991451	0.00250482	0.00424517	0.00250452	0.10655633	0.02857222	0.08640336	0.00185319	0.00169340	0.01365336	0.09419338	0.01156773	0.07814035	-0.00857684	-0.00019913	0.02340781	0.10343011	0.05358660	0.12165827	0.01115118	0.00939641	0.00197046	0.08264098	0.02243328	0.10841832	0.01170349	-0.00820553	0.02946690	0.07330815	0.01281620	0.08085296	0.00452852	-0.00401607	0.02859649
