Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12662402	0.01969534	0.09143847	-0.00864688	-0.01603870	-0.00616247	0.10952078	-0.00284571	0.08400246	0.01034238	-0.03552983	-0.02501885	0.09687561	-0.01832252	0.07602201	0.01757726	-0.04324180	-0.03059764	0.10559529	0.03682009	0.13724487	0.00286163	-0.00871479	0.01054045	0.07062918	-0.00036046	0.11816117	0.01671984	-0.02428733	-0.00356992	0.06955606	-0.01291967	0.09150003	0.02931912	-0.00684089	-0.00544874
0.016667	0.12651879	0.01941889	0.09131987	-0.01261135	-0.01324368	-0.00581304	0.10970442	-0.00347576	0.08356016	0.00388654	-0.02954653	-0.02113410	0.09718286	-0.01904802	0.07547101	0.00954378	-0.03664314	-0.02618808	0.10567647	0.03665158	0.13741948	-0.00240327	-0.00418862	0.00913653	0.07093724	-0.00078612	0.11809476	0.01000826	-0.01832168	-0.00157804	0.07007018	-0.01303099	0.09138931	0.01969286	-0.00386312	-0.00362837
0.033333	0.12629893	0.01919108	0.09123749	-0.01657582	-0.01044866	-0.00546361	0.10980030	-0.00395987	0.08320959	-0.00256931	-0.02356323	-0.01724936	0.09737385	-0.01968302	0.07504460	0.00151031	-0.03004448	-0.02177851	0.10563220	0.03657858	0.13757135	-0.00766817	0.00033755	0.00773262	0.07110548	-0.00111454	0.11806320	0.00329667	-0.01235604	0.00041384	0.07042429	-0.01311607	0.09133416	0.01006659	-0.00088535	-0.00180800
0.050000	0.12596123	0.01904124	0.09116214	-0.01605867	-0.00965671	-0.00523160	0.10970286	-0.00430866	0.08296795	-0.00395080	-0.02205157	-0.01611183	0.09735835	-0.02016726	0.07474715	-0.00099607	-0.02674634	-0.02111875	0.10545181	0.03661650	0.13772100	-0.00884358	0.00079170	0.00670026	0.07111927	-0.00124855	0.11808313	0.00125960	-0.01184308	0.00071448	0.07053556	-0.01312193	0.09133589	0.00710639	-0.00043537	-0.00211601
0.066666	0.12561525	0.01892288	0.09106556	-0.01586235	-0.00827373	-0.00352988	0.10952327	-0.00456295	0.08274978	-0.00607038	-0.01832497	-0.01247694	0.09717802	-0.02049894	0.07446063	-0.00471706	-0.02168602	-0.01705408	0.10522012	0.03673559	0.13779037	-0.01178079	0.00212832	0.00607724	0.07102274	-0.00134622	0.11814059	-0.00242171	-0.00926346	0.00171554	0.07047636	-0.01305356	0.09133600	0.00204199	-0.00018941	-0.00122794
0.083333	0.12534131	0.01881872	0.09096563	-0.01233203	-0.00818870	-0.00153002	0.10932361	-0.00484511	0.08253958	-0.00442943	-0.01701660	-0.00949506	0.09699435	-0.02076528	0.07413902	-0.00459751	-0.01852972	-0.01384864	0.10499761	0.03680653	0.13785529	-0.01155362	0.00149822	0.00631551	0.07091366	-0.00144304	0.11818521	-0.00269064	-0.00865017	0.00252229	0.07039274	-0.01299079	0.09130055	0.00143488	-0.00129979	-0.00052203
0.100000	0.12514009	0.01868965	0.09095278	-0.00660832	-0.00865180	0.00018243	0.10925211	-0.00512310	0.08238193	-0.00021182	-0.01718432	-0.00739060	0.09689812	-0.02103980	0.07389466	-0.00224461	-0.01713058	-0.01141583	0.10478282	0.03679932	0.13793799	-0.00889640	-0.00030555	0.00693317	0.07085012	-0.00165348	0.11819974	-0.00047747	-0.00950607	0.00321993	0.07040390	-0.01304763	0.09125552	0.00407846	-0.00329283	-0.00004314
0.116666	0.12511230	0.01851284	0.09102567	-0.00083320	-0.00928667	0.00133746	0.10932876	-0.00541821	0.08229756	0.00470115	-0.01751047	-0.00594991	0.09695984	-0.02134806	0.07376575	0.00050485	-0.01696694	-0.00968956	0.10463395	0.03674106	0.13808642	-0.00551107	-0.00222961	0.00744033	0.07086669	-0.00183373	0.11824085	0.00291032	-0.01074452	0.00341491	0.07053260	-0.01316403	0.09126109	0.00803161	-0.00551436	-0.00013482
