Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12414636	0.01810943	0.09112077	0.00360643	0.01234583	0.00201803	0.10717373	-0.00229772	0.08218122	0.01149715	-0.00297687	-0.00026155	0.09578249	-0.01683356	0.07248279	0.02169621	-0.00076225	-0.00144233	0.10514166	0.03227923	0.13699116	-0.00185625	0.00530154	0.01019705	0.06803192	-0.00235639	0.11696441	0.00844590	-0.00017285	-0.00021134	0.06685115	-0.01430339	0.09009153	0.01666791	0.00782759	0.00097186
0.016667	0.12421082	0.01832794	0.09116512	0.00256197	0.00946701	-0.00036881	0.10739239	-0.00237403	0.08221008	0.00856701	-0.00166383	-0.00440622	0.09618793	-0.01685436	0.07246671	0.01606135	-0.00080707	-0.00473479	0.10509697	0.03235783	0.13717431	-0.00271910	0.00543194	0.00881243	0.06817909	-0.00235446	0.11695548	0.00722679	-0.00038418	-0.00024118	0.06713437	-0.01418265	0.09011966	0.01472114	0.00681457	-0.00022307
0.033333	0.12425905	0.01848784	0.09116744	0.00151750	0.00658818	-0.00275565	0.10752509	-0.00239037	0.08212885	0.00563687	-0.00035079	-0.00855088	0.09644689	-0.01686536	0.07239894	0.01042650	-0.00085188	-0.00802725	0.10506689	0.03245708	0.13731650	-0.00358196	0.00556235	0.00742781	0.06829365	-0.00236734	0.11695549	0.00600769	-0.00059551	-0.00027102	0.06738300	-0.01405953	0.09011335	0.01277437	0.00580155	-0.00141800
0.050000	0.12426748	0.01857179	0.09109106	0.00144534	0.00574586	-0.00276209	0.10757919	-0.00235814	0.08193726	0.00551785	-0.00144863	-0.00862054	0.09656056	-0.01686661	0.07224444	0.00995916	-0.00226560	-0.00852681	0.10501729	0.03256025	0.13742499	-0.00510225	0.00543168	0.00763889	0.06839795	-0.00237754	0.11696177	0.00510825	-0.00090586	-0.00052896	0.06759394	-0.01396171	0.09007066	0.01181223	0.00476950	-0.00112698
0.066666	0.12427507	0.01862798	0.09099799	0.00019144	0.00380725	-0.00319627	0.10762605	-0.00234563	0.08171432	0.00392096	-0.00196904	-0.00989452	0.09661145	-0.01688243	0.07203195	0.00739335	-0.00401576	-0.00968821	0.10493231	0.03264712	0.13751756	-0.00691890	0.00553636	0.00743154	0.06846145	-0.00239026	0.11694476	0.00364406	-0.00148124	-0.00061617	0.06774681	-0.01387391	0.09002525	0.01008541	0.00373100	-0.00130613
0.083333	0.12428465	0.01866488	0.09092437	-0.00170232	0.00250495	-0.00231185	0.10769109	-0.00241036	0.08153510	0.00277640	-0.00362647	-0.00895697	0.09673057	-0.01695862	0.07182530	0.00611293	-0.00595785	-0.00950530	0.10478413	0.03272341	0.13764066	-0.00869702	0.00548527	0.00770572	0.06851552	-0.00240944	0.11692537	0.00220616	-0.00202881	-0.00056811	0.06790390	-0.01386489	0.09000604	0.00834487	0.00301308	-0.00093226
0.100000	0.12428866	0.01871372	0.09090215	-0.00411747	0.00108846	-0.00081860	0.10777140	-0.00249999	0.08141077	0.00109423	-0.00543444	-0.00719159	0.09687171	-0.01711821	0.07170016	0.00423396	-0.00767104	-0.00881932	0.10459643	0.03282297	0.13779442	-0.00982139	0.00578098	0.00781450	0.06853567	-0.00245831	0.11690993	0.00064671	-0.00262482	-0.00011347	0.06803633	-0.01382567	0.09001286	0.00619663	0.00202878	-0.00015475
0.116666	0.12419523	0.01874767	0.09092712	-0.00612153	-0.00038218	0.00010554	0.10780447	-0.00261630	0.08132666	-0.00140407	-0.00620783	-0.00622796	0.09701676	-0.01727529	0.07158010	0.00053264	-0.00847341	-0.00846132	0.10441636	0.03291277	0.13794391	-0.00974391	0.00606336	0.00716726	0.06854361	-0.00251076	0.11690290	0.00000343	-0.00350683	0.00087079	0.06815867	-0.01378869	0.09001467	0.00362409	0.00071782	0.00057250
