Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13053569	0.01544272	0.09398904	0.02145306	-0.00125111	0.01268269	0.10666040	0.00095236	0.08940095	0.01913421	-0.01776814	-0.00247543	0.09057219	-0.00958217	0.08174589	0.00833943	-0.00539953	-0.00567055	0.10804666	0.02713725	0.13648497	0.00275024	0.00863899	0.01155686	0.06981046	-0.00099233	0.11799195	0.00076626	-0.00674333	0.00187238	0.06243016	-0.01974921	0.09039470	0.01150769	0.00323859	-0.00327514
0.016667	0.13089895	0.01543946	0.09418836	0.01518673	-0.00465832	0.01456848	0.10698653	0.00066417	0.08934261	0.01396229	-0.01481751	0.00047587	0.09070740	-0.00968264	0.08165051	0.00545631	-0.00484213	-0.00402087	0.10810144	0.02728146	0.13670310	-0.00189342	0.00513014	0.01142447	0.06980608	-0.00109518	0.11803488	-0.00133753	-0.00820917	0.00150540	0.06261244	-0.01966522	0.09033880	0.00922214	0.00072683	-0.00285701
0.033333	0.13116817	0.01537127	0.09443026	0.00892039	-0.00806553	0.01645426	0.10723202	0.00039896	0.08934771	0.00879038	-0.01186688	0.00342717	0.09080902	-0.00976062	0.08157897	0.00257318	-0.00428474	-0.00237119	0.10807525	0.02738397	0.13687469	-0.00653709	0.00162128	0.01129207	0.06980371	-0.00122643	0.11805505	-0.00344133	-0.00967501	0.00113842	0.06277905	-0.01966922	0.09029237	0.00693659	-0.00178494	-0.00243888
0.050000	0.13129406	0.01519537	0.09471434	0.00478962	-0.00824256	0.01634742	0.10735669	0.00020438	0.08945052	0.00542710	-0.01021276	0.00364938	0.09085606	-0.00980614	0.08154161	0.00022993	-0.00525989	-0.00156962	0.10796139	0.02739169	0.13702801	-0.00895638	-0.00027482	0.01255979	0.06976330	-0.00140964	0.11805958	-0.00598616	-0.00939427	0.00186772	0.06290395	-0.01973890	0.09024893	0.00453999	-0.00164211	-0.00204806
0.066666	0.13131268	0.01498840	0.09505126	-0.00216626	-0.00943055	0.01638117	0.10739338	0.00007234	0.08954225	-0.00021353	-0.00889865	0.00509272	0.09082568	-0.00988631	0.08154235	-0.00255660	-0.00691754	-0.00024196	0.10773301	0.02734689	0.13723812	-0.01216785	-0.00316338	0.01312887	0.06964583	-0.00160625	0.11806922	-0.00921231	-0.00973235	0.00214451	0.06296220	-0.01980238	0.09022252	0.00109330	-0.00259448	-0.00131965
0.083333	0.13118947	0.01481668	0.09532874	-0.00675077	-0.00881723	0.01540734	0.10732768	0.00001254	0.08965191	-0.00378923	-0.00928759	0.00530539	0.09072266	-0.00998884	0.08156700	-0.00362349	-0.00987818	0.00077408	0.10745764	0.02723606	0.13750373	-0.01270750	-0.00453552	0.01374742	0.06943029	-0.00176261	0.11812942	-0.01207710	-0.00928791	0.00229635	0.06292956	-0.01984064	0.09020109	-0.00191194	-0.00185584	-0.00045192
0.100000	0.13099606	0.01468406	0.09556770	-0.00855680	-0.00690401	0.01330537	0.10718625	-0.00011371	0.08971515	-0.00479491	-0.01011552	0.00479953	0.09059253	-0.01017488	0.08157578	-0.00292325	-0.01276779	0.00127927	0.10719483	0.02712451	0.13776614	-0.01090427	-0.00452166	0.01342458	0.06917418	-0.00189673	0.11820151	-0.01374567	-0.00793060	0.00220430	0.06284867	-0.01985883	0.09019869	-0.00330125	0.00003565	0.00060257
0.116666	0.13076250	0.01459563	0.09575581	-0.00800918	-0.00479397	0.01056705	0.10704337	-0.00034527	0.08979783	-0.00365270	-0.01061846	0.00420822	0.09053907	-0.01045087	0.08160621	-0.00085481	-0.01405732	0.00130803	0.10701698	0.02704839	0.13799636	-0.00733054	-0.00327198	0.01165037	0.06890987	-0.00202839	0.11824158	-0.01383187	-0.00572092	0.00181054	0.06273675	-0.01987028	0.09021691	-0.00278452	0.00270338	0.00161350
