Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11561535	0.13081305	0.08941841	0.00544018	0.00051826	0.00173189	0.09699429	0.11895381	0.08242418	0.00293155	0.00259248	0.00055213	0.08606685	0.09599300	0.07351928	0.00640574	0.00228253	0.00181631	0.08925419	0.15894563	0.11995510	0.00454640	0.00418538	-0.00018504	0.07093684	0.12711622	0.11241541	0.01111367	0.00251875	-0.00414246	0.06508683	0.10694125	0.07649517	0.00566135	-0.00803738	0.00237071	0.15079442	0.18145660	0.09502377	0.00680680	0.00093051	-0.00097555
0.016667	0.11569994	0.13081215	0.08945723	0.00585283	0.00065893	0.00185028	0.09703033	0.11899792	0.08244097	0.00283175	0.00381143	0.00044525	0.08616000	0.09603457	0.07356108	0.00600638	0.00367106	0.00089743	0.08932071	0.15901946	0.11995642	0.00441739	0.00354545	0.00002794	0.07111402	0.12716198	0.11235119	0.01034197	0.00253336	-0.00454793	0.06517886	0.10679864	0.07654234	0.00535706	-0.00659871	0.00161783	0.15090527	0.18147713	0.09500866	0.00610026	0.00150651	-0.00068151
0.033333	0.11580114	0.13082892	0.08947567	0.00626548	0.00079960	0.00196867	0.09708703	0.11905481	0.08244025	0.00273195	0.00503039	0.00033837	0.08627177	0.09608749	0.07357119	0.00560703	0.00505960	-0.00002146	0.08940050	0.15908036	0.11994900	0.00428838	0.00290551	0.00024092	0.07129475	0.12720105	0.11227718	0.00957027	0.00254796	-0.00495339	0.06527288	0.10669038	0.07656939	0.00505278	-0.00516003	0.00086494	0.15101147	0.18149294	0.09499444	0.00539372	0.00208252	-0.00038747
0.050000	0.11591273	0.13085565	0.08950102	0.00611621	0.00003241	0.00233696	0.09715496	0.11913583	0.08244548	0.00175670	0.00539007	0.00057478	0.08638580	0.09615814	0.07355452	0.00435801	0.00572333	0.00013474	0.08948782	0.15912031	0.11995742	0.00342821	0.00292712	0.00020560	0.07146101	0.12723787	0.11217907	0.00849511	0.00258864	-0.00456920	0.06535527	0.10661393	0.07656729	0.00465428	-0.00499202	0.00124943	0.15110098	0.18153304	0.09498734	0.00463868	0.00266002	-0.00023797
0.066666	0.11602309	0.13086526	0.08954811	0.00602568	-0.00098952	0.00252151	0.09717678	0.11926186	0.08244422	0.00117731	0.00527872	0.00095930	0.08645091	0.09630369	0.07353989	0.00334648	0.00559403	-0.00013627	0.08954401	0.15915331	0.11996221	0.00256320	0.00255407	0.00010997	0.07160126	0.12728621	0.11209621	0.00693033	0.00242726	-0.00463279	0.06543314	0.10656223	0.07657129	0.00382667	-0.00474544	0.00119832	0.15117662	0.18157434	0.09499105	0.00342870	0.00362316	-0.00012163
0.083333	0.11612286	0.13084149	0.08960300	0.00559936	-0.00221358	0.00261736	0.09717488	0.11937910	0.08246882	0.00078108	0.00432739	0.00145097	0.08647983	0.09643337	0.07354413	0.00260473	0.00452967	0.00003714	0.08957186	0.15919942	0.11997716	0.00164420	0.00213423	-0.00011683	0.07169235	0.12733631	0.11202588	0.00532808	0.00231133	-0.00473054	0.06549647	0.10649827	0.07659495	0.00300219	-0.00522508	0.00122536	0.15122099	0.18164839	0.09499557	0.00232362	0.00425102	-0.00011407
0.100000	0.11621057	0.13078094	0.08965836	0.00513716	-0.00288994	0.00224938	0.09714939	0.11945613	0.08249638	0.00093144	0.00292816	0.00150618	0.08647719	0.09652638	0.07355355	0.00252006	0.00305352	0.00013154	0.08957233	0.15924670	0.11996628	0.00108172	0.00171401	-0.00049830	0.07176311	0.12736912	0.11197153	0.00414068	0.00223921	-0.00490258	0.06553572	0.10640577	0.07664463	0.00277353	-0.00609847	0.00107285	0.15124224	0.18173590	0.09499587	0.00153989	0.00436993	-0.00010069
0.116666	0.11628756	0.13069180	0.08969101	0.00486238	-0.00254178	0.00148997	0.09717067	0.11945557	0.08254619	0.00169010	0.00153434	0.00107512	0.08652057	0.09650436	0.07356435	0.00320250	0.00148409	-0.00025485	0.08957586	0.15927693	0.11995396	0.00106182	0.00120424	-0.00092596	0.07179993	0.12739898	0.11188275	0.00386068	0.00195683	-0.00512930	0.06555455	0.10627546	0.07666709	0.00328889	-0.00692743	0.00055909	0.15124799	0.18183042	0.09498453	0.00114650	0.00436665	0.00002980
