Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11743683	0.12549751	0.08651575	0.00221466	-0.00222445	0.00083454	0.09733812	0.11612818	0.07932900	0.00782452	-0.00178312	-0.00457553	0.08364263	0.09473348	0.06956609	0.01261511	-0.00836111	-0.00568865	0.09221968	0.15173253	0.12004963	0.00789642	-0.00105791	0.00584888	0.07184060	0.12166925	0.10980817	0.01046509	-0.01336993	0.01621815	0.06177958	0.10357318	0.07419749	0.02094279	0.00941191	-0.00443054	0.15240715	0.17756610	0.09456769	-0.00104770	-0.00070513	0.00177939
0.016667	0.11746882	0.12547499	0.08652630	0.00263796	-0.00395672	0.00100270	0.09747028	0.11610004	0.07925218	0.00806275	-0.00312523	-0.00352086	0.08385315	0.09460048	0.06946944	0.01339322	-0.00981201	-0.00424372	0.09234462	0.15171511	0.12014039	0.00854354	-0.00176758	0.00476452	0.07201812	0.12145098	0.11007190	0.01233486	-0.01429064	0.01463956	0.06211724	0.10374489	0.07412028	0.02076630	0.00460984	-0.00351639	0.15239277	0.17756344	0.09460269	-0.00125930	-0.00110016	0.00126444
0.033333	0.11751569	0.12540525	0.08654615	0.00306127	-0.00568899	0.00117086	0.09760459	0.11605436	0.07918724	0.00830099	-0.00446735	-0.00246619	0.08406890	0.09444781	0.06938729	0.01417132	-0.01126290	-0.00279878	0.09249096	0.15169355	0.12023310	0.00919066	-0.00247725	0.00368015	0.07221425	0.12121484	0.11033513	0.01420463	-0.01521135	0.01306096	0.06247890	0.10384106	0.07406173	0.02058982	-0.00019223	-0.00260224	0.15237078	0.17753735	0.09462199	-0.00147090	-0.00149519	0.00074949
0.050000	0.11757241	0.12528852	0.08656613	0.00300338	-0.00549460	0.00118141	0.09773981	0.11597337	0.07915001	0.00852987	-0.00457624	-0.00211836	0.08431184	0.09424606	0.06935647	0.01392519	-0.01030825	-0.00281834	0.09264643	0.15164557	0.12029035	0.00903252	-0.00170731	0.00290175	0.07242340	0.12097417	0.11052720	0.01429917	-0.01367306	0.01201035	0.06281210	0.10379709	0.07401282	0.01967147	-0.00068952	-0.00225131	0.15234134	0.17750704	0.09462707	-0.00140504	-0.00123375	0.00069361
0.066666	0.11763006	0.12516178	0.08659155	0.00301362	-0.00568429	0.00124436	0.09788154	0.11586410	0.07913973	0.00843200	-0.00469970	-0.00145507	0.08456883	0.09400427	0.06934386	0.01335310	-0.00899061	-0.00245825	0.09282064	0.15158133	0.12032873	0.00879396	-0.00034914	0.00181281	0.07276241	0.12065525	0.11073837	0.01319384	-0.01008272	0.00972148	0.06317112	0.10367797	0.07400907	0.01760542	-0.00240081	-0.00171323	0.15231381	0.17747319	0.09462970	-0.00139259	-0.00096783	0.00031762
0.083333	0.11768192	0.12505765	0.08660876	0.00258823	-0.00493677	0.00115719	0.09804092	0.11576089	0.07912625	0.00774402	-0.00413952	-0.00113108	0.08481075	0.09384602	0.06931765	0.01181063	-0.00691215	-0.00267294	0.09297042	0.15155333	0.12033176	0.00789150	0.00162081	0.00099153	0.07302959	0.12045280	0.11087085	0.01093116	-0.00472201	0.00777631	0.06345944	0.10359415	0.07398347	0.01483070	-0.00202429	-0.00118163	0.15229304	0.17746203	0.09463962	-0.00129223	-0.00026740	0.00005323
0.100000	0.11772316	0.12499867	0.08663044	0.00190177	-0.00391906	0.00092354	0.09818031	0.11570962	0.07910571	0.00659733	-0.00309767	-0.00120428	0.08499327	0.09378622	0.06925070	0.00962090	-0.00461770	-0.00326657	0.09309335	0.15162800	0.12033687	0.00640641	0.00378096	0.00047568	0.07317819	0.12044426	0.11098683	0.00764172	0.00125219	0.00631659	0.06368736	0.10360081	0.07396149	0.01193707	0.00021290	-0.00082642	0.15227260	0.17746483	0.09464102	-0.00116483	0.00046127	-0.00017490
0.116666	0.11775359	0.12495459	0.08664588	0.00114374	-0.00301042	0.00066918	0.09828506	0.11567774	0.07908340	0.00545176	-0.00242197	-0.00146736	0.08513048	0.09378182	0.06918351	0.00758964	-0.00366451	-0.00378480	0.09319152	0.15173803	0.12034475	0.00486264	0.00547478	0.00041224	0.07322159	0.12058676	0.11104625	0.00434780	0.00603898	0.00558244	0.06382436	0.10363334	0.07393464	0.00970334	0.00308805	-0.00057314	0.15226091	0.17748417	0.09463837	-0.00093893	0.00088469	-0.00039719
