Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.11791634	0.13199203	0.08978442	0.00655494	-0.00460999	0.00341931	0.09675381	0.12509663	0.08135597	-0.00271381	0.02400810	0.00308116	0.08278275	0.10540731	0.07043124	0.01477773	0.01841355	0.01083393	0.08964908	0.16116108	0.11724187	0.01111270	-0.00654089	-0.00546953	0.07229248	0.13091671	0.10563336	0.01206876	-0.00328542	-0.02119959	0.06283894	0.10581303	0.07530008	0.00412101	-0.02520210	-0.00223857	0.15082312	0.18604270	0.09357288	0.01206813	0.00308947	-0.00307736
0.033333	0.11801089	0.13192973	0.08985186	0.00482822	-0.00293927	0.00132591	0.09672471	0.12547392	0.08142210	-0.00409553	0.02654056	0.00100919	0.08297344	0.10572095	0.07060146	0.01613109	0.02399424	0.00818904	0.08980631	0.16107610	0.11715975	0.01031045	-0.00481861	-0.00575470	0.07250386	0.13087663	0.10531410	0.00998412	0.00161067	-0.02079972	0.06288369	0.10540581	0.07529654	0.00551777	-0.01902856	-0.00624443	0.15101224	0.18613406	0.09353041	0.01153533	0.00380115	-0.00433491
0.050000	0.11812308	0.13184538	0.08987687	0.00310150	-0.00126854	-0.00076749	0.09664534	0.12591964	0.08143896	-0.00547724	0.02907302	-0.00106279	0.08329758	0.10606313	0.07076966	0.01748446	0.02957493	0.00554415	0.09001087	0.16095218	0.11705808	0.00950821	-0.00309632	-0.00603987	0.07266397	0.13083294	0.10493489	0.00789947	0.00650677	-0.02039984	0.06300170	0.10504335	0.07518077	0.00691454	-0.01285502	-0.01025029	0.15121736	0.18613529	0.09346107	0.01100254	0.00451283	-0.00559246
0.066666	0.11817224	0.13182612	0.08984330	0.00195888	-0.00072755	-0.00120800	0.09654470	0.12642653	0.08139595	-0.00547307	0.02761762	-0.00125457	0.08362669	0.10659698	0.07084454	0.01609809	0.02909161	0.00429267	0.09018907	0.16090433	0.11694776	0.00790413	-0.00222535	-0.00556982	0.07279211	0.13099340	0.10457420	0.00705398	0.00656399	-0.01787502	0.06312960	0.10484564	0.07496560	0.00738270	-0.01027476	-0.01034044	0.15140837	0.18620570	0.09334705	0.00992414	0.00496375	-0.00526754
0.083333	0.11816382	0.13187702	0.08978662	0.00004981	-0.00011258	-0.00250963	0.09641790	0.12698992	0.08133506	-0.00559157	0.02519372	-0.00223064	0.08392181	0.10724725	0.07087417	0.01549965	0.02770520	0.00229386	0.09030849	0.16090864	0.11684281	0.00611632	-0.00132151	-0.00518998	0.07287400	0.13123235	0.10424364	0.00539748	0.00720183	-0.01500426	0.06326037	0.10478594	0.07471667	0.00837162	-0.00687155	-0.01159654	0.15157707	0.18632923	0.09323054	0.00839632	0.00526594	-0.00518168
0.100000	0.11814103	0.13189833	0.08973490	-0.00187077	-0.00002652	-0.00325104	0.09632351	0.12743141	0.08129717	-0.00507044	0.02073952	-0.00236602	0.08412798	0.10782110	0.07086599	0.01393704	0.02299515	0.00115641	0.09036276	0.16093998	0.11676701	0.00386761	-0.00129790	-0.00457568	0.07294063	0.13142447	0.10404982	0.00400586	0.00545720	-0.01179968	0.06339908	0.10480567	0.07450802	0.00858046	-0.00590763	-0.01131055	0.15169369	0.18646212	0.09313934	0.00644642	0.00583629	-0.00419387
0.116666	0.11809793	0.13189889	0.08968757	-0.00325752	-0.00087552	-0.00365356	0.09624571	0.12770455	0.08126235	-0.00444775	0.01515223	-0.00220966	0.08431843	0.10811000	0.07087252	0.01312168	0.01577961	0.00102770	0.09040273	0.16092168	0.11670703	0.00182063	-0.00278020	-0.00393552	0.07301810	0.13145487	0.10393233	0.00296046	0.00113279	-0.00895269	0.06356067	0.10470121	0.07435508	0.00904187	-0.00737778	-0.01039133	0.15178335	0.18653835	0.09308785	0.00448065	0.00521014	-0.00244183
