Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12077543	0.11942603	0.07370292	0.00520019	-0.00123509	-0.00507800	0.09759882	0.11559522	0.07288527	0.00617339	-0.00339696	-0.00576558	0.08536828	0.09708481	0.06578531	0.01274866	-0.00228603	-0.01069770	0.10629193	0.13866846	0.11244414	0.00382954	-0.00474157	-0.00074383	0.08301697	0.11043510	0.10653242	0.00260000	-0.00116755	-0.01045749	0.06511323	0.10421112	0.06765242	0.00850051	0.00217129	-0.00877246	0.15745555	0.16832589	0.08336364	0.00166156	-0.00465633	0.00101142
0.016667	0.12085553	0.11942677	0.07361171	0.00504414	-0.00197657	-0.00450166	0.09769478	0.11554904	0.07279487	0.00518160	-0.00394175	-0.00510203	0.08557347	0.09704434	0.06561809	0.01093541	-0.00241132	-0.00965152	0.10635195	0.13859619	0.11243501	0.00422785	-0.00452043	-0.00109323	0.08305779	0.11042249	0.10636824	0.00196897	-0.00046291	-0.00936475	0.06523821	0.10425305	0.06751953	0.00800285	0.00097476	-0.00784907	0.15747146	0.16825871	0.08337740	0.00159458	-0.00485348	0.00030175
0.033333	0.12094308	0.11937847	0.07353924	0.00488808	-0.00271806	-0.00392532	0.09779064	0.11547831	0.07270087	0.00418981	-0.00448653	-0.00443848	0.08577070	0.09700848	0.06544378	0.00912215	-0.00253660	-0.00860534	0.10642245	0.13851862	0.11241259	0.00462616	-0.00429930	-0.00144262	0.08309466	0.11041140	0.10619902	0.00133794	0.00024174	-0.00827200	0.06538871	0.10427114	0.06737493	0.00750519	-0.00022177	-0.00692568	0.15751067	0.16817194	0.08338542	0.00152760	-0.00505062	-0.00040792
0.050000	0.12103534	0.11930768	0.07348204	0.00428131	-0.00197106	-0.00406956	0.09786662	0.11538472	0.07261993	0.00331656	-0.00408111	-0.00391395	0.08592463	0.09696484	0.06528620	0.00777788	-0.00264351	-0.00736377	0.10650860	0.13843362	0.11238781	0.00459166	-0.00318827	-0.00177794	0.08311540	0.11039983	0.10604417	0.00083492	0.00157919	-0.00724978	0.06552418	0.10425226	0.06723586	0.00649045	-0.00063706	-0.00553636	0.15754768	0.16807096	0.08338093	0.00122242	-0.00444645	-0.00123401
0.066666	0.12110847	0.11926181	0.07342843	0.00376099	-0.00157025	-0.00396656	0.09790685	0.11531182	0.07257506	0.00233461	-0.00379869	-0.00331586	0.08602688	0.09691971	0.06518459	0.00566600	-0.00252889	-0.00587350	0.10658929	0.13837203	0.11235892	0.00484014	-0.00189186	-0.00234448	0.08312819	0.11042951	0.10595746	0.00017222	0.00352723	-0.00618874	0.06563562	0.10423049	0.06717118	0.00555380	-0.00157051	-0.00399718	0.15755823	0.16799296	0.08336110	0.00122823	-0.00396678	-0.00236572
0.083333	0.12115300	0.11925523	0.07335952	0.00314215	-0.00043951	-0.00396298	0.09791544	0.11525262	0.07253516	0.00159089	-0.00293476	-0.00269440	0.08608663	0.09687041	0.06511649	0.00354489	-0.00201565	-0.00446344	0.10666735	0.13835455	0.11231791	0.00475844	-0.00041194	-0.00273538	0.08311167	0.11050723	0.10588378	-0.00037741	0.00591865	-0.00523539	0.06568694	0.10419707	0.06713264	0.00446694	-0.00183214	-0.00234333	0.15755849	0.16794136	0.08330145	0.00106529	-0.00309722	-0.00332100
0.100000	0.12119185	0.11926760	0.07327992	0.00246295	0.00059981	-0.00395981	0.09792964	0.11521294	0.07249392	0.00120402	-0.00209023	-0.00221898	0.08613621	0.09682415	0.06506506	0.00163329	-0.00114929	-0.00363996	0.10674564	0.13838555	0.11226055	0.00432389	0.00104234	-0.00294977	0.08309942	0.11062954	0.10580872	-0.00099212	0.00822141	-0.00472726	0.06574617	0.10415385	0.06712119	0.00339595	-0.00170779	-0.00127946	0.15757789	0.16790277	0.08322769	0.00098378	-0.00214741	-0.00385647
0.116666	0.12123143	0.11929076	0.07320835	0.00194532	0.00098654	-0.00369502	0.09795084	0.11519358	0.07244940	0.00115931	-0.00165504	-0.00186276	0.08615088	0.09681731	0.06501518	0.00017740	-0.00021175	-0.00326307	0.10682795	0.13841859	0.11220006	0.00363750	0.00218363	-0.00294426	0.08308358	0.11080304	0.10572348	-0.00168034	0.00975631	-0.00462929	0.06580336	0.10412295	0.06710824	0.00265592	-0.00149616	-0.00094917	0.15760635	0.16787526	0.08314510	0.00109911	-0.00139513	-0.00374661
