Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.13528815	0.09171626	0.09494063	-0.00036582	-0.00331966	-0.00044450	0.12318888	0.07123167	0.08715323	0.00108481	-0.00193500	-0.00110902	0.11835596	0.05083583	0.07747059	-0.00066337	-0.00563316	-0.00113719	0.10136709	0.09632933	0.13222718	0.00355718	-0.01111434	-0.00256823	0.08417074	0.06189318	0.10814544	-0.00035815	-0.00055490	-0.00174285	0.09503808	0.04901347	0.07966519	0.00152484	-0.00017678	0.00027653	0.14073677	0.16221134	0.11871120	0.00033938	-0.00300230	-0.00023060
0.033333	0.13528611	0.09164798	0.09493751	-0.00045598	-0.00151791	-0.00068777	0.12321283	0.07118791	0.08713809	0.00091173	-0.00012517	-0.00128098	0.11835798	0.05072687	0.07746175	-0.00091821	-0.00369442	-0.00179485	0.10143150	0.09614267	0.13218412	0.00273452	-0.00893224	-0.00234784	0.08415925	0.06187821	0.10811295	-0.00054896	0.00057858	-0.00187867	0.09507387	0.04900190	0.07967217	0.00036165	0.00199714	-0.00030376	0.14074628	0.16215302	0.11870904	0.00010550	-0.00142113	-0.00044346
0.050000	0.13527448	0.09162852	0.09492183	-0.00054613	0.00028383	-0.00093103	0.12321874	0.07118731	0.08711340	0.00073865	0.00168466	-0.00145294	0.11832643	0.05067048	0.07742503	-0.00117306	-0.00175568	-0.00245252	0.10147456	0.09598385	0.13214260	0.00191186	-0.00675014	-0.00212745	0.08415620	0.06188772	0.10808855	-0.00073977	0.00171206	-0.00201450	0.09507538	0.04902736	0.07967202	-0.00080154	0.00417106	-0.00088405	0.14074308	0.16212983	0.11870268	-0.00012837	0.00016004	-0.00065632
0.066666	0.13526465	0.09164646	0.09490363	-0.00060395	0.00037726	-0.00076697	0.12323417	0.07123340	0.08708762	0.00049904	0.00200071	-0.00131645	0.11830793	0.05065924	0.07737458	-0.00109185	-0.00159650	-0.00224200	0.10150536	0.09587581	0.13210951	0.00160836	-0.00589906	-0.00204281	0.08414935	0.06192666	0.10805012	-0.00096042	0.00197547	-0.00210010	0.09505207	0.04911833	0.07964968	-0.00088346	0.00433087	-0.00060696	0.14074267	0.16214360	0.11868502	-0.00023000	0.00056006	-0.00052639
0.083333	0.13525140	0.09168907	0.09488490	-0.00087448	0.00062142	-0.00053644	0.12324174	0.07129720	0.08706035	0.00007726	0.00296229	-0.00111230	0.11827845	0.05067100	0.07732186	-0.00128724	-0.00085816	-0.00216667	0.10151270	0.09582631	0.13208120	0.00096515	-0.00467157	-0.00170731	0.08412671	0.06197658	0.10801701	-0.00097733	0.00248560	-0.00219767	0.09501126	0.04923915	0.07961629	-0.00133146	0.00502937	-0.00044394	0.14073266	0.16218206	0.11867414	-0.00039235	0.00137091	-0.00039037
0.100000	0.13524705	0.09172052	0.09487242	-0.00112512	0.00010546	-0.00017021	0.12324785	0.07135629	0.08703966	-0.00041317	0.00324813	-0.00088137	0.11827392	0.05066543	0.07728844	-0.00165951	-0.00072168	-0.00189398	0.10152658	0.09577864	0.13204905	0.00051987	-0.00426909	-0.00125900	0.08409553	0.06203007	0.10797493	-0.00091907	0.00241465	-0.00209113	0.09498814	0.04933815	0.07960933	-0.00136745	0.00485500	-0.00025760	0.14072688	0.16221762	0.11866532	-0.00038579	0.00133656	-0.00003185
0.116666	0.13522208	0.09170318	0.09488074	-0.00128069	-0.00040695	0.00007581	0.12323271	0.07140461	0.08703457	-0.00098400	0.00309226	-0.00072353	0.11825240	0.05063713	0.07727018	-0.00220084	-0.00080865	-0.00165292	0.10153469	0.09571224	0.13202718	0.00022344	-0.00447990	-0.00079416	0.08407895	0.06207190	0.10793389	-0.00067223	0.00220627	-0.00186109	0.09497283	0.04940260	0.07962678	-0.00122011	0.00405606	-0.00007652	0.14071737	0.16224325	0.11866885	-0.00037156	0.00072219	0.00039440
