Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13764447	0.08525542	0.08363955	0.00181363	-0.00016902	-0.00021808	0.11805582	0.07166053	0.08492938	0.00475148	0.00259695	-0.00471110	0.11180668	0.05445573	0.08165461	0.00056956	0.00006575	-0.00685203	0.12097502	0.08327591	0.12563024	-0.00599357	0.00671199	-0.00038162	0.09637736	0.04773901	0.11515617	-0.00356329	0.00488619	-0.00664393	0.09136797	0.04504891	0.07972603	0.00154827	-0.00169874	-0.00302156	0.14459327	0.16331212	0.11226384	0.00182212	0.00273840	0.00232332
0.016667	0.13767843	0.08524114	0.08363434	0.00099957	-0.00066184	0.00082098	0.11813739	0.07170418	0.08485550	0.00376986	0.00113838	-0.00408927	0.11181079	0.05445680	0.08154973	-0.00012159	-0.00100840	-0.00652003	0.12089911	0.08336332	0.12561156	-0.00775340	0.00674981	0.00022173	0.09634087	0.04780978	0.11505223	-0.00646281	0.00550313	-0.00635083	0.09140247	0.04501752	0.07968391	0.00065781	-0.00222613	-0.00310892	0.14462870	0.16335189	0.11229072	0.00064910	0.00297145	0.00275263
0.033333	0.13769676	0.08524303	0.08364301	0.00018552	-0.00115466	0.00186004	0.11820436	0.07173023	0.08478020	0.00278824	-0.00032019	-0.00346744	0.11181679	0.05444739	0.08142956	-0.00081275	-0.00208256	-0.00618803	0.12076119	0.08349840	0.12562588	-0.00951324	0.00678762	0.00082508	0.09623080	0.04790654	0.11493950	-0.00936232	0.00612008	-0.00605772	0.09141309	0.04498392	0.07962730	-0.00023265	-0.00275352	-0.00319627	0.14464334	0.16340379	0.11234625	-0.00052393	0.00320451	0.00318193
0.050000	0.13769309	0.08523223	0.08368091	0.00015110	-0.00198458	0.00210506	0.11824212	0.07171538	0.08471543	0.00267026	-0.00086155	-0.00296937	0.11180687	0.05440403	0.08131807	-0.00136167	-0.00236244	-0.00568493	0.12056785	0.08363555	0.12565188	-0.00864751	0.00560845	0.00076004	0.09603380	0.04802192	0.11482510	-0.00897799	0.00561701	-0.00547162	0.09139138	0.04494215	0.07956280	0.00026185	-0.00339483	-0.00255761	0.14462075	0.16346908	0.11241043	-0.00053674	0.00276962	0.00285515
0.066666	0.13767615	0.08519498	0.08373677	-0.00008769	-0.00276071	0.00253462	0.11826772	0.07168206	0.08468485	0.00231327	-0.00165582	-0.00255187	0.11177203	0.05434663	0.08123440	-0.00194796	-0.00280691	-0.00522910	0.12037966	0.08373132	0.12566866	-0.00839684	0.00487773	0.00104309	0.09582684	0.04813500	0.11474943	-0.00923261	0.00519145	-0.00499310	0.09137458	0.04488106	0.07951193	0.00038985	-0.00410177	-0.00219249	0.14458846	0.16351889	0.11246671	-0.00086256	0.00253440	0.00273139
0.083333	0.13766861	0.08512192	0.08379330	-0.00014424	-0.00333631	0.00250512	0.11829343	0.07162543	0.08465837	0.00219517	-0.00159350	-0.00227877	0.11171814	0.05428124	0.08116347	-0.00253161	-0.00253734	-0.00493037	0.12025305	0.08377419	0.12567914	-0.00739454	0.00415319	0.00103243	0.09565722	0.04821548	0.11467647	-0.00815547	0.00459088	-0.00466162	0.09138063	0.04479791	0.07949132	0.00058677	-0.00450713	-0.00200217	0.14456408	0.16355652	0.11250197	-0.00084773	0.00233390	0.00221671
0.100000	0.13767767	0.08504487	0.08383185	-0.00014879	-0.00340620	0.00202187	0.11834261	0.07159526	0.08462898	0.00205387	-0.00094805	-0.00243285	0.11167197	0.05423830	0.08109219	-0.00311994	-0.00170455	-0.00521263	0.12017566	0.08380648	0.12569423	-0.00642731	0.00415126	0.00106588	0.09556335	0.04826788	0.11461784	-0.00699150	0.00457458	-0.00490284	0.09142942	0.04470203	0.07948783	0.00053581	-0.00436369	-0.00209753	0.14456570	0.16357176	0.11252967	-0.00068471	0.00225753	0.00161179
0.116666	0.13768661	0.08498514	0.08385704	-0.00023179	-0.00292131	0.00135895	0.11838937	0.07158287	0.08457676	0.00182290	-0.00019468	-0.00285720	0.11163098	0.05421477	0.08101051	-0.00357786	-0.00087336	-0.00576212	0.12010013	0.08387142	0.12571159	-0.00620658	0.00499806	0.00115261	0.09549759	0.04831160	0.11453667	-0.00647708	0.00533134	-0.00551382	0.09145123	0.04462374	0.07945278	0.00005804	-0.00376517	-0.00255861	0.14456972	0.16360776	0.11255418	-0.00053466	0.00234962	0.00113637
