Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12839417	0.12020902	0.09262240	0.02011508	-0.04957379	-0.01626211	0.11283026	0.10426082	0.08933888	0.01119149	-0.05761151	-0.01088516	0.10279408	0.09064159	0.07982429	-0.03997785	-0.02107055	-0.00968669	0.10522959	0.12155361	0.12719917	0.03259053	-0.04646551	0.00067033	0.07868326	0.10911796	0.11275894	0.02818562	-0.04747402	0.02761651	0.08260538	0.09967545	0.07810017	-0.01913670	-0.06896453	0.01900442	0.14326966	0.16999918	0.11257093	0.02071635	-0.04943942	-0.00905622
0.016667	0.12876303	0.11932208	0.09234954	0.01751177	-0.03258070	-0.01273116	0.11304288	0.10326987	0.08913625	0.01007799	-0.04533823	-0.00907127	0.10206740	0.09035826	0.07961313	-0.03067163	-0.02225371	-0.00533337	0.10582048	0.12071373	0.12723252	0.02197833	-0.02879564	0.00033215	0.07923291	0.10827643	0.11325787	0.01674622	-0.03252102	0.02137819	0.08232807	0.09856939	0.07839890	-0.01835443	-0.06129654	0.01859762	0.14363097	0.16912048	0.11241969	0.01458323	-0.03302349	-0.00657636
0.033333	0.12902074	0.11878464	0.09212983	0.01490845	-0.01558761	-0.00920020	0.11317579	0.10252184	0.08900277	0.00896450	-0.03306495	-0.00725738	0.10157342	0.08994826	0.07955521	-0.02136541	-0.02343686	-0.00098005	0.10617681	0.12023660	0.12722445	0.01136613	-0.01112577	-0.00000603	0.07948404	0.10773604	0.11360852	0.00530681	-0.01756802	0.01513986	0.08197837	0.09750637	0.07872242	-0.01757215	-0.05362856	0.01819081	0.14387715	0.16855672	0.11230369	0.00845011	-0.01660756	-0.00409649
0.050000	0.12925342	0.11860359	0.09198904	0.01294082	-0.00608100	-0.00624961	0.11333965	0.10198900	0.08890709	0.00794794	-0.02363330	-0.00607318	0.10132129	0.08948898	0.07959243	-0.01816790	-0.01797240	-0.00038538	0.10630804	0.12013102	0.12719506	0.00588900	-0.00179429	0.00145175	0.07947435	0.10751369	0.11378562	0.00196286	-0.00847604	0.01315972	0.08168972	0.09658020	0.07903384	-0.01450731	-0.04305380	0.01633304	0.14399028	0.16838063	0.11224769	0.00443691	-0.00880260	-0.00214738
0.066666	0.12945810	0.11869568	0.09189932	0.00846635	0.01008261	-0.00176930	0.11344236	0.10170622	0.08879758	0.00596667	-0.00870138	-0.00322883	0.10110234	0.08906192	0.07964749	-0.01029808	-0.01235207	0.00254122	0.10627608	0.12033384	0.12720007	-0.00432378	0.01457727	0.00240379	0.07933274	0.10752554	0.11394678	-0.00658004	0.00725183	0.00785414	0.08136628	0.09582978	0.07934512	-0.01074691	-0.02894953	0.01395816	0.14401074	0.16843504	0.11221659	-0.00262180	0.00587205	0.00067923
0.083333	0.12962648	0.11904585	0.09192651	0.00478694	0.01944252	0.00137169	0.11357454	0.10170963	0.08873414	0.00433737	0.00230872	-0.00112426	0.10098168	0.08895848	0.07967538	-0.00561515	-0.00482643	0.00323241	0.10612214	0.12074353	0.12727720	-0.01004067	0.02395714	0.00353025	0.07918661	0.10779615	0.11404865	-0.01040694	0.01764565	0.00462009	0.08127895	0.09556534	0.07953502	-0.00664162	-0.01628852	0.01107869	0.14389989	0.16870037	0.11227756	-0.00721972	0.01425518	0.00259095
0.100000	0.12963793	0.11957429	0.09203105	0.00209563	0.02378760	0.00338604	0.11360400	0.10198107	0.08876069	0.00339834	0.01044352	0.00070244	0.10092691	0.08907271	0.07973140	-0.00170299	0.00382153	0.00280162	0.10583532	0.12133261	0.12739068	-0.01150851	0.02780557	0.00420833	0.07898087	0.10829649	0.11410729	-0.01067643	0.02427249	0.00218046	0.08125890	0.09558305	0.07966962	-0.00188612	-0.00502383	0.00768489	0.14368826	0.16905776	0.11236979	-0.00912655	0.01771226	0.00375727
0.116666	0.12957072	0.12006717	0.09212505	0.00088126	0.02505249	0.00426138	0.11361643	0.10228129	0.08882768	0.00353625	0.01620895	0.00220445	0.10093767	0.08922127	0.07981452	0.00259739	0.01109649	0.00258156	0.10553985	0.12189678	0.12746841	-0.00940278	0.02824485	0.00395210	0.07874007	0.10881463	0.11410732	-0.00871822	0.02843008	-0.00020247	0.08126812	0.09564231	0.07976405	0.00268188	0.00321341	0.00464784	0.14343666	0.16946387	0.11244689	-0.00827510	0.01814343	0.00406401
