Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.13318406	0.11907019	0.08595605	0.00125714	-0.00579609	-0.01977191	0.11645497	0.10644434	0.08412848	0.00691268	0.00039257	-0.01918245	0.10504404	0.09190311	0.07646953	0.03254825	0.00156698	-0.02721272	0.11405066	0.11967202	0.12151538	-0.00124801	0.02146618	-0.00852510	0.08451737	0.10644957	0.11176113	-0.01028087	0.00942577	-0.00769220	0.08369382	0.09446505	0.07847586	0.02317728	0.03741872	-0.01501398	0.15023223	0.16964927	0.10636716	0.00877972	0.00118264	-0.02608712
0.033333	0.13320763	0.11896299	0.08564667	0.00144080	-0.00510113	-0.01555330	0.11655419	0.10645672	0.08383290	0.00678199	0.00078723	-0.01479937	0.10555165	0.09196702	0.07602704	0.02913047	-0.00101567	-0.02059520	0.11404192	0.11998816	0.12138476	0.00198305	0.01401013	-0.00674221	0.08437144	0.10657813	0.11164878	-0.00508392	0.00332640	-0.00497641	0.08408085	0.09507494	0.07822694	0.02036587	0.02920065	-0.01239252	0.15039170	0.16966774	0.10595253	0.00913877	-0.00284896	-0.02017476
0.050000	0.13321276	0.11888453	0.08533388	0.00162446	-0.00440618	-0.01133469	0.11667045	0.10645735	0.08352519	0.00665131	0.00118189	-0.01041629	0.10609551	0.09190547	0.07563242	0.02571269	-0.00359831	-0.01397768	0.11403000	0.12032264	0.12124878	0.00521412	0.00655408	-0.00495931	0.08421158	0.10671502	0.11152682	0.00011303	-0.00277297	-0.00226063	0.08443300	0.09561811	0.07800707	0.01755446	0.02098260	-0.00977107	0.15051726	0.16964896	0.10555867	0.00949781	-0.00688056	-0.01426241
0.066666	0.13326359	0.11882332	0.08516083	0.00090868	-0.00476582	-0.00852339	0.11681994	0.10647262	0.08336441	0.00534138	0.00125718	-0.00744253	0.10652402	0.09184437	0.07541666	0.02216236	-0.00298688	-0.01034972	0.11413705	0.12042753	0.12116871	0.00639400	0.00240632	-0.00360587	0.08423296	0.10665567	0.11149555	0.00250821	-0.00588598	-0.00079710	0.08471043	0.09595867	0.07785309	0.01581668	0.01616712	-0.00825673	0.15068126	0.16951373	0.10533142	0.00947539	-0.00829745	-0.01052779
0.083333	0.13329244	0.11875975	0.08509061	0.00066221	-0.00509462	-0.00336235	0.11690564	0.10652190	0.08332486	0.00416251	0.00199132	-0.00213195	0.10686005	0.09172629	0.07536945	0.01605651	0.00000417	-0.00407824	0.11432417	0.12028480	0.12113559	0.00872794	-0.00393869	-0.00160169	0.08440615	0.10640389	0.11154392	0.00655128	-0.01079709	0.00150819	0.08494531	0.09607524	0.07775093	0.01236988	0.00863727	-0.00586326	0.15086180	0.16929187	0.10526352	0.00952322	-0.01049642	-0.00445956
0.100000	0.13328393	0.11867555	0.08508319	0.00037782	-0.00582049	0.00206643	0.11693256	0.10654808	0.08333737	0.00157882	0.00435049	0.00342099	0.10706253	0.09165882	0.07538346	0.00819411	0.00760223	0.00183840	0.11449961	0.12010525	0.12114304	0.01045362	-0.00930920	0.00006076	0.08457534	0.10614876	0.11161169	0.00958111	-0.01418384	0.00369390	0.08512028	0.09609893	0.07769537	0.00864070	0.00232224	-0.00393891	0.15102494	0.16906157	0.10527405	0.00940908	-0.01087893	0.00121229
0.116666	0.13326673	0.11856022	0.08514619	-0.00004284	-0.00617156	0.00677205	0.11696238	0.10658072	0.08343025	-0.00175566	0.00791467	0.00785022	0.10716637	0.09178685	0.07543545	-0.00077524	0.01821186	0.00630977	0.11467580	0.11992157	0.12116797	0.01093195	-0.01132511	0.00148845	0.08475596	0.10587258	0.11167973	0.01087566	-0.01458811	0.00570530	0.08525577	0.09609058	0.07764593	0.00482312	-0.00156627	-0.00217658	0.15117791	0.16886859	0.10533375	0.00839833	-0.00890937	0.00565699
