Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12793492	0.11937436	0.08632675	0.00202448	-0.00859562	-0.01620146	0.11071880	0.11148700	0.08939260	-0.00093539	-0.01109154	-0.02742275	0.10172308	0.09618851	0.08466112	-0.00014760	-0.01262640	-0.02861694	0.11637789	0.12662366	0.11909954	-0.00221022	-0.01117167	-0.01388783	0.09281694	0.10425738	0.12085301	-0.00599860	-0.02034866	-0.03093851	0.08291005	0.09559885	0.08453193	-0.00264463	-0.01116284	-0.02426455	0.15096170	0.16927077	0.09686928	0.00445397	-0.00509808	-0.01083021
0.016667	0.12796648	0.11923627	0.08600696	0.00437112	-0.00649119	-0.01554749	0.11070123	0.11128808	0.08887156	0.00302644	-0.00884685	-0.02624820	0.10172466	0.09594622	0.08411589	0.00295603	-0.00845726	-0.02817158	0.11633317	0.12643743	0.11882665	0.00054963	-0.00922147	-0.01350967	0.09271189	0.10388977	0.12026727	-0.00248016	-0.01676879	-0.02973017	0.08286342	0.09541007	0.08405288	0.00125081	-0.00975501	-0.02303133	0.15102920	0.16920930	0.09665018	0.00674444	-0.00578287	-0.01037281
0.033333	0.12802932	0.11912500	0.08579203	0.00671777	-0.00438677	-0.01489351	0.11073031	0.11115883	0.08849116	0.00698826	-0.00660217	-0.02507365	0.10175694	0.09582777	0.08371700	0.00605966	-0.00428812	-0.02772621	0.11633714	0.12628646	0.11864071	0.00330949	-0.00727127	-0.01313151	0.09266458	0.10362898	0.11983843	0.00103828	-0.01318892	-0.02852183	0.08286203	0.09526385	0.08373916	0.00514625	-0.00834718	-0.02179810	0.15113425	0.16911107	0.09651221	0.00903491	-0.00646765	-0.00991542
0.050000	0.12815364	0.11903057	0.08558057	0.00771190	-0.00152197	-0.01684624	0.11086923	0.11103385	0.08811209	0.00828333	-0.00422323	-0.02727769	0.10186625	0.09576908	0.08328632	0.00772591	-0.00189659	-0.03036861	0.11640771	0.12615032	0.11844742	0.00436975	-0.00460828	-0.01473477	0.09268908	0.10342894	0.11940190	0.00321371	-0.01164333	-0.03064354	0.08297059	0.09508968	0.08341996	0.00636137	-0.00521744	-0.02454518	0.15130599	0.16894369	0.09637718	0.00960629	-0.00356467	-0.01155888
0.066666	0.12831871	0.11902369	0.08533625	0.00918012	0.00261814	-0.01793038	0.11107887	0.11099274	0.08772089	0.01014848	-0.00031263	-0.02844673	0.10203713	0.09580144	0.08283000	0.00959866	0.00330576	-0.03245638	0.11652514	0.12608357	0.11823180	0.00589615	-0.00041612	-0.01567452	0.09278884	0.10328706	0.11894947	0.00624749	-0.00788621	-0.03164442	0.08315264	0.09500596	0.08307715	0.00816587	-0.00094619	-0.02662166	0.15150139	0.16885519	0.09620875	0.01066018	-0.00027940	-0.01243700
0.083333	0.12850820	0.11909866	0.08495886	0.00946406	0.00612846	-0.01879565	0.11131337	0.11098930	0.08714902	0.01022000	0.00290477	-0.02922438	0.10226893	0.09584775	0.08218957	0.00985283	0.00739365	-0.03393019	0.11666009	0.12609528	0.11790304	0.00581971	0.00329637	-0.01632339	0.09294760	0.10315651	0.11831991	0.00771615	-0.00506079	-0.03215486	0.08334569	0.09499978	0.08253543	0.00819452	0.00275777	-0.02868578	0.15170790	0.16886513	0.09594301	0.01039435	0.00351803	-0.01304535
0.100000	0.12868145	0.11928539	0.08457994	0.00859234	0.00791918	-0.01832809	0.11148675	0.11111270	0.08658364	0.00859048	0.00468345	-0.02857313	0.10246212	0.09602264	0.08153209	0.00885620	0.00930060	-0.03340872	0.11677990	0.12623052	0.11757759	0.00454439	0.00559414	-0.01575156	0.09312695	0.10308905	0.11771015	0.00793721	-0.00377236	-0.03110402	0.08348805	0.09516657	0.08196288	0.00663101	0.00486912	-0.02916239	0.15188581	0.16903967	0.09566207	0.00916716	0.00640879	-0.01228695
0.116666	0.12881632	0.11949687	0.08424098	0.00701549	0.00750507	-0.01645698	0.11159329	0.11126674	0.08605232	0.00595270	0.00458224	-0.02694088	0.10258075	0.09627868	0.08091092	0.00695000	0.00928186	-0.03161852	0.11683585	0.12641329	0.11728848	0.00272730	0.00562685	-0.01417512	0.09325524	0.10309580	0.11713850	0.00725101	-0.00422759	-0.02910067	0.08355622	0.09533604	0.08139767	0.00422628	0.00500845	-0.02852216	0.15202391	0.16924413	0.09543880	0.00755015	0.00723670	-0.01026482
