Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.13203906	0.12548704	0.07786693	0.00336738	-0.00611814	-0.00676169	0.11454860	0.11235349	0.07692476	-0.00111677	-0.00273989	-0.01561991	0.10336719	0.09741253	0.07110465	-0.00234981	0.00076678	-0.01970064	0.11709755	0.13244960	0.11259187	-0.00294400	-0.00266672	-0.00407213	0.09527637	0.10819016	0.10679854	-0.00162192	0.00066176	-0.01814652	0.08568187	0.09694744	0.07122791	0.00086312	-0.00488078	-0.01603014	0.14937419	0.17590220	0.09219458	-0.00182234	-0.00747348	-0.00276339
0.033333	0.13209279	0.12539296	0.07777818	0.00284807	-0.00600817	-0.00666040	0.11453542	0.11231276	0.07670547	-0.00124142	-0.00363351	-0.01551552	0.10332798	0.09742858	0.07082480	-0.00291669	-0.00000894	-0.01962982	0.11706614	0.13240287	0.11254195	-0.00346878	-0.00465142	-0.00384161	0.09526116	0.10820816	0.10653853	0.00128344	-0.00396499	-0.01812376	0.08569074	0.09687626	0.07099678	0.00176803	-0.00588568	-0.01584208	0.14935312	0.17577210	0.09216350	-0.00212298	-0.00687587	-0.00264579
0.050000	0.13214628	0.12529041	0.07763919	0.00232876	-0.00589820	-0.00655911	0.11451210	0.11225422	0.07640215	-0.00136607	-0.00452714	-0.01541114	0.10327684	0.09743550	0.07043464	-0.00348357	-0.00078466	-0.01955901	0.11699615	0.13234311	0.11245532	-0.00399356	-0.00663611	-0.00361109	0.09525153	0.10817675	0.10619126	0.00418881	-0.00859175	-0.01810100	0.08571537	0.09678164	0.07068924	0.00267294	-0.00689058	-0.01565403	0.14931253	0.17566381	0.09210049	-0.00242361	-0.00627826	-0.00252818
0.066666	0.13218512	0.12517364	0.07751676	0.00207023	-0.00523681	-0.00570821	0.11447684	0.11217122	0.07612064	-0.00093919	-0.00520749	-0.01372186	0.10323084	0.09741053	0.07010719	-0.00385468	-0.00080243	-0.01820847	0.11690475	0.13222525	0.11239238	-0.00309051	-0.00723551	-0.00314371	0.09531422	0.10799168	0.10586280	0.00636509	-0.00952255	-0.01594103	0.08577426	0.09663875	0.07041522	0.00249875	-0.00700424	-0.01437945	0.14925398	0.17556192	0.09205348	-0.00184537	-0.00606658	-0.00189689
0.083333	0.13220666	0.12508984	0.07742351	0.00185453	-0.00516059	-0.00491662	0.11446318	0.11207023	0.07588488	-0.00044555	-0.00706452	-0.01206325	0.10314699	0.09737398	0.06978033	-0.00354489	-0.00156534	-0.01633799	0.11684500	0.13205190	0.11233758	-0.00226078	-0.00867735	-0.00262198	0.09549249	0.10772320	0.10558099	0.00973873	-0.01234629	-0.01354528	0.08584179	0.09651214	0.07017005	0.00294187	-0.00864159	-0.01264853	0.14922333	0.17546496	0.09201992	-0.00138090	-0.00614429	-0.00109636
0.100000	0.13222654	0.12503098	0.07737213	0.00187927	-0.00511548	-0.00388408	0.11445709	0.11197277	0.07573935	0.00069950	-0.00874825	-0.00977729	0.10306309	0.09736242	0.06956200	-0.00231558	-0.00245092	-0.01405595	0.11681905	0.13189048	0.11232473	-0.00078578	-0.01031984	-0.00194271	0.09568150	0.10750045	0.10540277	0.01281311	-0.01377048	-0.01088702	0.08588214	0.09639996	0.07000058	0.00340884	-0.00999220	-0.01052425	0.14920469	0.17537831	0.09201709	-0.00051215	-0.00741231	0.00032302
0.116666	0.13225263	0.12496535	0.07732299	0.00185624	-0.00435354	-0.00292883	0.11447490	0.11180227	0.07560920	0.00155420	-0.00828657	-0.00772226	0.10300742	0.09733140	0.06934836	-0.00076842	-0.00148647	-0.01227063	0.11683355	0.13174129	0.11228723	0.00062526	-0.01145241	-0.00149452	0.09593935	0.10728473	0.10528872	0.01454601	-0.01276785	-0.00897631	0.08591737	0.09622757	0.06984125	0.00379832	-0.00940282	-0.00878259	0.14921604	0.17527418	0.09203158	0.00045553	-0.00918481	0.00184134
