Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14880681	0.09391999	0.09600169	0.00368291	0.02263473	0.03107583	0.13000120	0.07536589	0.08228844	-0.00362323	0.02512506	0.03632497	0.12008820	0.06315386	0.06992730	-0.00468718	0.03010278	0.03835012	0.12317552	0.08414173	0.13877027	-0.00136220	0.01526358	0.00972550	0.09774128	0.05497565	0.10782193	-0.01952973	0.02086316	0.02153960	0.09640989	0.05450862	0.06910127	0.01543741	-0.02425404	-0.00290943	0.15673338	0.16928208	0.14253367	-0.00400776	0.02537276	0.03244226
0.016667	0.14883007	0.09422155	0.09636991	0.01017858	0.03181716	0.03423027	0.12992465	0.07567590	0.08271842	0.00262232	0.03115309	0.04115397	0.12000272	0.06353833	0.07037057	-0.00255593	0.03609150	0.04402126	0.12317163	0.08433891	0.13888822	0.00741611	0.01730568	0.01149242	0.09749264	0.05526029	0.10807738	-0.00715996	0.02409650	0.02343880	0.09657551	0.05424292	0.06905432	0.02838079	-0.02062593	-0.00416750	0.15667613	0.16961670	0.14291762	-0.00028834	0.03128452	0.03841564
0.033333	0.14899531	0.09478026	0.09703889	0.01667424	0.04099959	0.03738470	0.12994809	0.07626104	0.08351145	0.00886787	0.03718112	0.04598297	0.11995444	0.06421013	0.07123011	-0.00042468	0.04208023	0.04969240	0.12322680	0.08468393	0.13910112	0.01619442	0.01934778	0.01325933	0.09724583	0.05570847	0.10854487	0.00520980	0.02732985	0.02533800	0.09705562	0.05379978	0.06899613	0.04132418	-0.01699782	-0.00542557	0.15664205	0.17019024	0.14364475	0.00343108	0.03719628	0.04438902
0.050000	0.14934008	0.09557754	0.09787124	0.01654527	0.04089711	0.02984938	0.13012436	0.07703433	0.08453419	0.00989173	0.03410301	0.03722366	0.11994094	0.06510495	0.07232217	-0.00001863	0.03830877	0.04067836	0.12351105	0.08507891	0.13939521	0.01936455	0.01843780	0.01092401	0.09725448	0.05628186	0.10909327	0.01315554	0.02588512	0.02049037	0.09789047	0.05330532	0.06887525	0.04017894	-0.00604969	-0.00536206	0.15670122	0.17093125	0.14462486	0.00506127	0.03503724	0.03693469
0.066666	0.14975818	0.09640349	0.09843178	0.01793377	0.04267900	0.02302090	0.13044477	0.07768448	0.08524869	0.01231564	0.03236810	0.02950468	0.12002870	0.06577729	0.07312322	0.00113704	0.03616236	0.03291426	0.12402856	0.08534943	0.13961188	0.02322165	0.01990554	0.00878501	0.09777882	0.05666805	0.10947859	0.02091245	0.02712523	0.01598037	0.09884811	0.05324879	0.06878480	0.04093585	0.00539763	-0.00583528	0.15686607	0.17160428	0.14535005	0.00723477	0.03408766	0.03025715
0.083333	0.15010515	0.09719307	0.09864276	0.01638993	0.03851701	0.00899542	0.13071847	0.07818742	0.08556020	0.01282891	0.02365535	0.01292506	0.12004333	0.06634798	0.07347171	0.00177243	0.02595454	0.01569575	0.12459939	0.08565843	0.13972543	0.02381241	0.02161720	0.00378342	0.09846687	0.05711784	0.10962570	0.02462214	0.02645971	0.00709298	0.09962323	0.05364699	0.06866496	0.03375372	0.02167342	-0.00538910	0.15706259	0.17216918	0.14573535	0.00864614	0.02820742	0.01415989
0.100000	0.15029508	0.09776259	0.09866929	0.01230483	0.03082258	-0.00853739	0.13086620	0.07852200	0.08561079	0.01145889	0.01076919	-0.00764999	0.12005395	0.06671384	0.07356603	0.00081878	0.01090713	-0.00559820	0.12496440	0.08593948	0.13973857	0.02040819	0.02499944	-0.00270442	0.09892976	0.05747219	0.10966548	0.02111909	0.02594921	-0.00291151	0.10003784	0.05413960	0.06859170	0.02088276	0.03826078	-0.00428865	0.15719403	0.17255913	0.14582488	0.00895765	0.02040551	-0.00664475
0.116666	0.15045074	0.09821568	0.09841003	0.00696543	0.02012101	-0.02649098	0.13101484	0.07864795	0.08533311	0.00944514	-0.00406334	-0.02838243	0.12007830	0.06687511	0.07330432	-0.00110601	-0.00693480	-0.02667978	0.12522207	0.08641525	0.13964835	0.01418023	0.02628832	-0.00959125	0.09918285	0.05798187	0.10952199	0.01074851	0.02391150	-0.01180654	0.10022902	0.05490854	0.06850687	0.00532152	0.04799033	-0.00285105	0.15731116	0.17281778	0.14556198	0.00877876	0.01139191	-0.02829250
