Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.15736289	0.09460649	0.07288548	-0.00480870	0.01472051	0.04528239	0.13468064	0.07756325	0.07336033	-0.00145063	0.01364557	0.05897404	0.12112707	0.06472053	0.06818727	0.00641553	0.00405585	0.06715734	0.14658695	0.08737565	0.11923063	-0.02705004	0.04352907	0.03540948	0.11275559	0.05513215	0.11190490	-0.02217898	0.04581911	0.06621317	0.10134449	0.05723557	0.07740974	-0.01912363	0.03612810	0.05420740	0.17341028	0.17180873	0.10912704	-0.01691028	0.02451109	0.00979793
0.033333	0.15724871	0.09484874	0.07361981	-0.00736001	0.01066249	0.04494976	0.13462266	0.07776169	0.07433850	-0.00556829	0.00933256	0.05732552	0.12119712	0.06476934	0.06928924	0.00102818	-0.00066363	0.06602976	0.14612125	0.08805827	0.11982547	-0.02365807	0.03572292	0.03509774	0.11235044	0.05585948	0.11300091	-0.02205545	0.03652725	0.06488401	0.10100729	0.05780020	0.07832017	-0.02041236	0.02706617	0.05303263	0.17312129	0.17219765	0.10930001	-0.01471689	0.01882561	0.01162094
0.050000	0.15719546	0.09505675	0.07438896	-0.00991132	0.00660448	0.04461712	0.13461775	0.07796521	0.07530461	-0.00968594	0.00501955	0.05567700	0.12132083	0.06479633	0.07041814	-0.00435917	-0.00538310	0.06490219	0.14574066	0.08873974	0.12040693	-0.02026611	0.02791677	0.03478600	0.11207505	0.05654329	0.11410440	-0.02193191	0.02723539	0.06355486	0.10072913	0.05833855	0.07920063	-0.02170110	0.01800423	0.05185785	0.17287460	0.17256136	0.10947355	-0.01252351	0.01314012	0.01344396
0.066666	0.15701404	0.09514600	0.07512745	-0.00956368	0.00487251	0.04333298	0.13442272	0.07806494	0.07621405	-0.00901084	0.00179251	0.05451835	0.12119288	0.06470813	0.07147174	-0.00339912	-0.00844158	0.06399377	0.14540656	0.08920016	0.12096089	-0.01727431	0.02263358	0.03459575	0.11165503	0.05699088	0.11511786	-0.01725085	0.02076610	0.06302319	0.10033324	0.05861979	0.08003751	-0.01858145	0.01235369	0.05119221	0.17267543	0.17277502	0.10968513	-0.01128872	0.00963379	0.01450801
0.083333	0.15676662	0.09515153	0.07589728	-0.00790249	0.00175324	0.04123075	0.13413139	0.07801659	0.07713840	-0.00713031	-0.00218545	0.05202236	0.12096882	0.06449768	0.07257488	-0.00198760	-0.01206280	0.06137612	0.14513643	0.08945822	0.12157878	-0.01209614	0.01574545	0.03312404	0.11126595	0.05722279	0.11621041	-0.01031969	0.01221928	0.06070672	0.09990624	0.05869473	0.08091939	-0.01367798	0.00430763	0.04892276	0.17251700	0.17283846	0.10998633	-0.00903595	0.00487061	0.01528988
0.100000	0.15653361	0.09513039	0.07653708	-0.00512714	0.00004936	0.03819701	0.13389806	0.07786655	0.07796280	-0.00395642	-0.00488671	0.04878872	0.12080480	0.06417619	0.07355361	0.00047606	-0.01344012	0.05731978	0.14496264	0.08953594	0.12212947	-0.00757086	0.01155608	0.03097055	0.11106921	0.05720294	0.11718766	-0.00331064	0.00656909	0.05767260	0.09964038	0.05857143	0.08172239	-0.00818140	-0.00107218	0.04612349	0.17238374	0.17280719	0.11027971	-0.00709298	0.00170448	0.01564055
0.116666	0.15652312	0.09511765	0.07716749	-0.00215904	-0.00035960	0.03463584	0.13394569	0.07774809	0.07879262	-0.00083894	-0.00567010	0.04486504	0.12098230	0.06390601	0.07454798	0.00267049	-0.01264730	0.05213419	0.14491011	0.08965085	0.12266334	-0.00425758	0.01018096	0.02823983	0.11122178	0.05722164	0.11818336	0.00199885	0.00400137	0.05359947	0.09966584	0.05848929	0.08250470	-0.00365579	-0.00351803	0.04255278	0.17228456	0.17278863	0.11055597	-0.00578123	0.00023447	0.01560582
