Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.02633249	0.03295619	0.10954242	0.00823423	-0.00441266	-0.00197851	0.04943516	0.03246152	0.09485191	0.00679967	-0.00746307	-0.00596157	0.06592190	0.02812143	0.08621980	0.00447461	-0.00970587	-0.00473423	0.05688867	0.03533997	0.13636002	0.00502847	0.00329736	-0.00145697	0.09245298	0.05071778	0.11622213	0.00277833	-0.00256867	-0.00190814	0.08659637	0.04097403	0.08687943	-0.00112731	0.00238174	-0.00224941	-0.00981343	0.09658547	0.15701972	0.00563809	0.00184343	-0.00829640
0.033333	0.02646443	0.03286772	0.10949984	0.01065299	-0.00214175	-0.00237086	0.04953781	0.03232687	0.09475263	0.00986688	-0.00692851	-0.00605712	0.06598338	0.02796424	0.08614124	0.00871788	-0.00884048	-0.00465678	0.05698713	0.03538850	0.13632710	0.00829778	0.00584746	-0.00137330	0.09250800	0.05067758	0.11618571	0.00473926	0.00002794	-0.00227475	0.08658169	0.04101291	0.08683346	0.00020988	0.00415710	-0.00208945	-0.00971909	0.09660258	0.15687428	0.00547631	0.00302554	-0.00955362
0.050000	0.02663301	0.03283223	0.10947623	0.01307176	0.00012916	-0.00276321	0.04969460	0.03220520	0.09465644	0.01293409	-0.00639395	-0.00615268	0.06611389	0.02779127	0.08606657	0.01296115	-0.00797509	-0.00457933	0.05709069	0.03547191	0.13631561	0.01156709	0.00839756	-0.00128963	0.09255873	0.05065463	0.11615516	0.00670018	0.00262455	-0.00264135	0.08656561	0.04106719	0.08680534	0.00154708	0.00593247	-0.00192948	-0.00962305	0.09665642	0.15672535	0.00531453	0.00420766	-0.01081083
0.066666	0.02686307	0.03286151	0.10943522	0.01305944	0.00000594	-0.00251529	0.04992218	0.03213457	0.09455088	0.01277329	-0.00789960	-0.00554936	0.06635406	0.02769499	0.08598398	0.01312078	-0.00906731	-0.00380339	0.05728873	0.03563299	0.13630050	0.01313788	0.00824512	-0.00104323	0.09267761	0.05071441	0.11611938	0.00667809	0.00288523	-0.00287996	0.08659985	0.04117670	0.08678601	0.00110154	0.00551332	-0.00205987	-0.00955030	0.09674510	0.15656440	0.00542500	0.00359850	-0.01145688
0.083333	0.02714493	0.03290637	0.10936326	0.01276769	0.00056042	-0.00185695	0.05023054	0.03202472	0.09443815	0.01234598	-0.00883251	-0.00472335	0.06668925	0.02756183	0.08591129	0.01354059	-0.00970532	-0.00269872	0.05757110	0.03584107	0.13626796	0.01475265	0.00805823	-0.00031464	0.09285749	0.05082917	0.11604913	0.00634714	0.00318689	-0.00288763	0.08667333	0.04133219	0.08674470	0.00036534	0.00473941	-0.00171748	-0.00944855	0.09684206	0.15632260	0.00505828	0.00317463	-0.01136911
0.100000	0.02740367	0.03293148	0.10931056	0.01102175	0.00024797	-0.00094455	0.05048031	0.03185737	0.09436028	0.01050296	-0.00976009	-0.00357223	0.06696519	0.02741318	0.08586210	0.01219665	-0.01034132	-0.00138533	0.05789790	0.03600807	0.13624978	0.01477709	0.00670175	0.00044428	0.09300465	0.05092854	0.11599222	0.00518145	0.00230900	-0.00269991	0.08670468	0.04144226	0.08670110	-0.00113834	0.00302487	-0.00135907	-0.00936140	0.09689167	0.15609245	0.00465816	0.00226033	-0.01028624
0.116666	0.02755312	0.03289925	0.10932387	0.00865866	0.00000624	0.00043642	0.05060317	0.03162155	0.09432699	0.00819638	-0.01006371	-0.00212257	0.06711634	0.02716585	0.08587448	0.00982028	-0.01087612	-0.00008129	0.05815914	0.03608339	0.13627435	0.01349862	0.00520738	0.00134081	0.09305500	0.05093900	0.11594153	0.00371361	0.00110582	-0.00249387	0.08664370	0.04144745	0.08667791	-0.00310709	0.00111830	-0.00093721	-0.00927649	0.09689404	0.15591262	0.00444637	0.00153892	-0.00811945
