Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.02493726	0.02542770	0.09903945	-0.02380406	-0.01135885	-0.00688898	0.04732961	0.03349118	0.09106094	-0.00710226	-0.00272966	-0.01097821	0.06342153	0.03143457	0.08631434	-0.00852734	0.00387473	-0.00881050	0.04814176	0.02614769	0.13127503	-0.00802023	-0.01299787	-0.00621403	0.08571585	0.04707676	0.11974871	-0.00641036	0.00775912	-0.00143365	0.08480237	0.03681998	0.08426300	-0.00729735	-0.01693518	0.00574811	-0.02120979	0.08428418	0.14779103	-0.01392332	-0.00205301	-0.00825915
0.033333	0.02456351	0.02523025	0.09892409	-0.02197274	-0.00233325	-0.00798407	0.04719784	0.03346406	0.09089412	-0.00760353	-0.00248038	-0.01366479	0.06328100	0.03152803	0.08619052	-0.00963386	-0.00168108	-0.01183753	0.04802094	0.02587154	0.13118930	-0.00679954	-0.00147818	-0.00751826	0.08558957	0.04717468	0.11976755	-0.00230783	0.01600682	-0.00829409	0.08468898	0.03655389	0.08434998	-0.00822279	-0.00758610	-0.00051990	-0.02142405	0.08421445	0.14767918	-0.01426611	0.00937950	-0.01075883
0.050000	0.02417631	0.02515052	0.09881609	-0.02014143	0.00669234	-0.00907916	0.04709256	0.03338895	0.09067575	-0.00810481	-0.00223110	-0.01635137	0.06312575	0.03148240	0.08598469	-0.01074039	-0.00723689	-0.01486456	0.04789947	0.02585360	0.13106960	-0.00557885	0.01004150	-0.00882249	0.08554635	0.04741713	0.11962184	0.00179470	0.02425451	-0.01515454	0.08452811	0.03636340	0.08437818	-0.00914823	0.00176298	-0.00678792	-0.02166927	0.08434296	0.14749813	-0.01460890	0.02081201	-0.01325851
0.066666	0.02382227	0.02531925	0.09863608	-0.01712845	0.01044010	-0.00759113	0.04696448	0.03335365	0.09036642	-0.00834677	-0.00210854	-0.01545663	0.06293540	0.03131465	0.08570708	-0.01111154	-0.01004650	-0.01475787	0.04780222	0.02613425	0.13087425	-0.00315282	0.01411017	-0.00725771	0.08564197	0.04792898	0.11928163	0.00335363	0.02626604	-0.01673362	0.08440386	0.03642478	0.08424153	-0.01043048	0.00701741	-0.01045097	-0.02191788	0.08480270	0.14721981	-0.01207570	0.02520765	-0.01263094
0.083333	0.02352485	0.02562189	0.09845088	-0.01290595	0.01703099	-0.00560457	0.04679631	0.03334466	0.09003004	-0.00792471	-0.00153699	-0.01459280	0.06273831	0.03113303	0.08540214	-0.01176747	-0.01558141	-0.01496101	0.04771116	0.02648501	0.13071387	0.00092546	0.02380435	-0.00653441	0.08570088	0.04845406	0.11894148	0.00843141	0.03204023	-0.02193519	0.08421810	0.03667351	0.08399566	-0.01025684	0.01495838	-0.01638352	-0.02220565	0.08533986	0.14697383	-0.00729011	0.03513458	-0.01338681
0.100000	0.02337993	0.02603500	0.09834933	-0.00770528	0.01905175	-0.00140973	0.04663901	0.03331510	0.08977000	-0.00650161	-0.00200768	-0.01088173	0.06252498	0.03079468	0.08512057	-0.01179627	-0.02120410	-0.01269077	0.04776998	0.02697248	0.13063155	0.00523970	0.02810887	-0.00427106	0.08586168	0.04905781	0.11852840	0.01217128	0.03254352	-0.02435485	0.08399857	0.03709206	0.08360527	-0.00943493	0.01764086	-0.01989615	-0.02232244	0.08603524	0.14676324	-0.00109838	0.04007184	-0.01192373
0.116666	0.02329816	0.02639525	0.09837397	-0.00199833	0.01521005	0.00628485	0.04651536	0.03329351	0.08962703	-0.00420512	-0.00695865	-0.00343827	0.06232332	0.03044072	0.08493424	-0.01165575	-0.03047071	-0.00750202	0.04790605	0.02748223	0.13061795	0.00797310	0.02588928	0.00069484	0.08606676	0.04961825	0.11814390	0.01304877	0.02559970	-0.02381122	0.08378570	0.03748072	0.08323209	-0.01090378	0.01210627	-0.01961727	-0.02226419	0.08674847	0.14658771	0.00466240	0.03822390	-0.00743571
