Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.02310183	0.03271593	0.10927365	0.00093855	-0.00307218	0.00613502	0.04978424	0.03348511	0.09613483	-0.01154528	-0.00904113	-0.00399587	0.06910371	0.03415520	0.08847759	-0.01480451	-0.01461564	-0.00801529	0.05115873	0.03862516	0.13849440	-0.00173027	-0.00574939	0.01745596	0.08871070	0.05389557	0.12121390	-0.00985775	-0.02773493	-0.00292168	0.08769792	0.04481045	0.09019227	-0.01134143	-0.02928512	-0.00288909	-0.01478906	0.09792461	0.15174329	0.00427428	0.00881809	0.00750329
0.016667	0.02310807	0.03265584	0.10935076	0.00401277	-0.00066441	0.00931267	0.04963298	0.03332957	0.09606233	-0.00836227	-0.00541808	-0.00098102	0.06889596	0.03390404	0.08834899	-0.00987392	-0.00734772	-0.00533762	0.05109878	0.03849473	0.13875535	0.00285790	0.00385256	0.01778938	0.08855688	0.05344517	0.12116680	-0.00633786	-0.01904353	0.00151858	0.08754306	0.04437045	0.09012256	-0.00672231	-0.02527355	0.00343503	-0.01475238	0.09803262	0.15185703	0.00754489	0.01624821	0.00360669
0.033333	0.02316655	0.03264024	0.10950708	0.00708698	0.00174337	0.01249031	0.04943631	0.03322362	0.09603609	-0.00517925	-0.00179504	0.00203383	0.06867447	0.03375250	0.08824241	-0.00494333	-0.00007980	-0.00265994	0.05114911	0.03854438	0.13907507	0.00744608	0.01345452	0.01812279	0.08842341	0.05307830	0.12116536	-0.00281797	-0.01035214	0.00595885	0.08737674	0.04388826	0.09016413	-0.00210320	-0.02126197	0.00975914	-0.01461633	0.09829494	0.15194690	0.01081550	0.02367834	-0.00028990
0.050000	0.02329664	0.03268636	0.10976122	0.00750759	0.00207617	0.01188782	0.04931207	0.03320351	0.09607645	-0.00238809	-0.00060324	0.00267518	0.06853808	0.03376022	0.08819428	-0.00030905	0.00348916	-0.00178911	0.05131704	0.03881264	0.13940978	0.00800838	0.01624862	0.01576743	0.08837102	0.05289961	0.12127585	-0.00059344	-0.00531215	0.00694669	0.08731178	0.04348714	0.09036473	0.00154231	-0.01645370	0.01036220	-0.01440457	0.09873083	0.15195449	0.01034406	0.02477268	-0.00245721
0.066666	0.02350488	0.03277053	0.11002763	0.00774330	0.00293614	0.01230789	0.04936189	0.03328073	0.09620093	-0.00011521	0.00106115	0.00369398	0.06866069	0.03397946	0.08823505	0.00439649	0.00877283	-0.00051689	0.05154635	0.03929099	0.13970228	0.00973409	0.02072451	0.01295885	0.08843522	0.05298527	0.12150066	0.00177146	0.00073474	0.00788930	0.08743975	0.04328372	0.09069014	0.00494814	-0.01111359	0.01150311	-0.01412546	0.09934810	0.15181588	0.01076112	0.02760641	-0.00456544
0.083333	0.02367486	0.03284787	0.11024321	0.00560915	0.00240992	0.01176366	0.04947261	0.03334266	0.09630230	0.00113339	0.00025416	0.00370318	0.06885709	0.03420173	0.08828017	0.00756866	0.01086444	0.00019144	0.05172423	0.03973183	0.13989443	0.00858856	0.02001780	0.00964779	0.08853416	0.05315462	0.12172052	0.00179869	0.00164333	0.00658183	0.08765204	0.04322597	0.09096236	0.00577862	-0.00795071	0.00943050	-0.01397225	0.09982970	0.15166035	0.00987379	0.02772394	-0.00461856
0.100000	0.02376783	0.03287105	0.11037153	0.00116444	-0.00025971	0.01093399	0.04953055	0.03336686	0.09633932	-0.00022635	-0.00440044	0.00268572	0.06908622	0.03445547	0.08824991	0.00722352	0.00833006	-0.00032865	0.05187330	0.04009779	0.13996540	0.00468051	0.01388466	0.00745910	0.08862641	0.05329553	0.12180080	-0.00147988	-0.00513543	0.00316450	0.08782961	0.04321787	0.09106605	0.00257646	-0.01076309	0.00497853	-0.01383988	0.10026840	0.15154284	0.00837585	0.02549077	-0.00213445
0.116666	0.02373792	0.03287851	0.11051752	-0.00521169	-0.00551611	0.01001779	0.04948766	0.03329865	0.09635004	-0.00474349	-0.01283915	0.00052050	0.06917300	0.03458382	0.08823965	0.00302323	0.00157329	-0.00258905	0.05192877	0.04026973	0.14001559	-0.00110098	0.00314464	0.00702421	0.08858877	0.05321760	0.12179051	-0.00763293	-0.01962917	-0.00107900	0.08784598	0.04312451	0.09106160	-0.00485929	-0.02085001	0.00010550	-0.01376371	0.10059747	0.15155263	0.00724930	0.02185636	0.00213594
