Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09839021	0.06209911	0.07316495	0.00638193	0.00427345	0.00421380	0.07484365	0.05913135	0.05498402	-0.00292183	-0.01220654	0.01606765	0.05984383	0.05449744	0.03872022	-0.00061441	-0.01134670	0.01211097	0.06236292	0.07803841	0.10537181	0.00724115	0.00526114	0.00685739	0.03404516	0.08557311	0.06013686	0.01278050	-0.00969794	-0.00023611	0.04696572	0.07680940	0.03060200	0.01468361	0.00244872	0.00737222
0.033333	0.09850985	0.06216814	0.07324501	0.00727709	0.00710531	0.00130110	0.07482982	0.05889376	0.05527893	0.00372873	-0.00658463	0.00906680	0.05986546	0.05427434	0.03892722	0.00740349	-0.01002871	0.00731754	0.06248971	0.07810410	0.10549389	0.00960961	0.00314557	0.00817652	0.03428143	0.08535110	0.06016487	0.01218734	-0.01114216	0.00394409	0.04723795	0.07681514	0.03076984	0.00994265	-0.00296072	0.00909228
0.050000	0.09862174	0.06226761	0.07328241	0.00817224	0.00993718	-0.00161160	0.07481131	0.05879709	0.05545141	0.01037930	-0.00096271	0.00206594	0.05992366	0.05413989	0.03908010	0.01542138	-0.00871071	0.00252412	0.06263539	0.07820087	0.10562755	0.01197807	0.00103001	0.00949565	0.03446609	0.08521301	0.06019980	0.01159417	-0.01258639	0.00812429	0.04738884	0.07682358	0.03088135	0.00520170	-0.00837016	0.01081234
0.066666	0.09873287	0.06245941	0.07322004	0.00876799	0.01088635	-0.00179169	0.07501514	0.05882857	0.05540963	0.01563175	0.00118206	-0.00014365	0.06015008	0.05400069	0.03910137	0.02508935	-0.00750213	-0.00087364	0.06285229	0.07821563	0.10579075	0.01433542	-0.00022940	0.01202890	0.03463322	0.08507066	0.06029936	0.01318469	-0.01711144	0.01358280	0.04746019	0.07669434	0.03101091	0.00386815	-0.01364758	0.01427891
0.083333	0.09890921	0.06268551	0.07312921	0.00965212	0.01303050	-0.00471992	0.07533973	0.05890854	0.05530724	0.02571202	0.00743506	-0.00756997	0.06067001	0.05390341	0.03899178	0.04112195	-0.00248038	-0.00843230	0.06307586	0.07815729	0.10593777	0.01836464	-0.00278191	0.01593250	0.03483114	0.08480066	0.06054078	0.01501669	-0.02190215	0.02135578	0.04743303	0.07641106	0.03126126	0.00096757	-0.02221482	0.01865682
0.100000	0.09911948	0.06292982	0.07305902	0.01157471	0.01391461	-0.00824082	0.07585791	0.05905226	0.05517563	0.03443560	0.01247491	-0.01372466	0.06140033	0.05375782	0.03888476	0.05513733	0.00394769	-0.01540425	0.06342681	0.07808080	0.10625035	0.02097902	-0.00517791	0.01872953	0.03508848	0.08429652	0.06101786	0.01692229	-0.02645868	0.02786448	0.04740286	0.07593558	0.03167335	-0.00059217	-0.02970625	0.02294670
0.116666	0.09924981	0.06316873	0.07299930	0.01292010	0.01408475	-0.01100064	0.07651589	0.05924545	0.05496795	0.03976767	0.01711698	-0.01879366	0.06262400	0.05384959	0.03853357	0.06326451	0.01147567	-0.02064756	0.06384650	0.07799873	0.10664953	0.02193288	-0.00664397	0.02045021	0.03544644	0.08376366	0.06159645	0.01793250	-0.02825674	0.03191391	0.04742477	0.07534835	0.03210203	-0.00159931	-0.03352145	0.02629207
