Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10200843	0.06367408	0.07351849	0.00204482	0.00176486	-0.01257827	0.08006517	0.06127301	0.05077286	0.01101297	0.01526738	-0.01050195	0.06511793	0.05893284	0.03436936	0.02013650	0.01908917	-0.00597321	0.06530016	0.08136489	0.10780548	0.01458084	-0.01678622	-0.00308131	0.03851042	0.08820569	0.06362578	0.00333750	-0.03343558	0.01081046	0.04557663	0.07751389	0.03332403	-0.00598141	-0.04332571	0.00713925
0.033333	0.10206700	0.06373420	0.07329004	0.00350633	-0.00052370	-0.01167838	0.08029124	0.06154380	0.05056674	0.01277295	0.01376526	-0.01059555	0.06545841	0.05928279	0.03427279	0.01973376	0.01861863	-0.00639776	0.06557236	0.08113203	0.10773683	0.01093586	-0.01375845	-0.00172578	0.03855751	0.08770178	0.06377561	0.00397907	-0.02908688	0.01134914	0.04544206	0.07686278	0.03341548	-0.00293714	-0.03746592	0.00821732
0.050000	0.10207730	0.06369989	0.07311418	0.00496784	-0.00281227	-0.01077850	0.08043926	0.06179684	0.05042937	0.01453294	0.01226315	-0.01068915	0.06579697	0.05959802	0.03414872	0.01933102	0.01814809	-0.00682232	0.06573589	0.08083060	0.10772426	0.00729087	-0.01073067	-0.00037026	0.03863900	0.08711722	0.06399615	0.00462065	-0.02473819	0.01188782	0.04541187	0.07610565	0.03360065	0.00010712	-0.03160612	0.00929538
0.066666	0.10218520	0.06363557	0.07293288	0.00553472	-0.00244361	-0.01023040	0.08070441	0.06192714	0.05025986	0.01605014	0.01508037	-0.01139344	0.06611283	0.05981201	0.03406115	0.02152187	0.02219215	-0.00859895	0.06584011	0.08063872	0.10773192	0.00658612	-0.00730231	0.00016328	0.03870793	0.08672358	0.06420505	0.00581015	-0.02193814	0.01173318	0.04547024	0.07560243	0.03373374	0.00046687	-0.02862238	0.01130427
0.083333	0.10228859	0.06353939	0.07279048	0.00699270	-0.00230585	-0.00850673	0.08095459	0.06211849	0.05006954	0.01819704	0.01744061	-0.01099960	0.06639245	0.06014166	0.03392850	0.02413227	0.02632148	-0.01031986	0.06587490	0.08056513	0.10774129	0.00539447	-0.00213531	0.00187133	0.03880040	0.08643240	0.06441777	0.00786760	-0.01735869	0.01264179	0.04549281	0.07524041	0.03391578	0.00204178	-0.02383450	0.01506763
0.100000	0.10244787	0.06349184	0.07260972	0.00856675	-0.00119459	-0.00636267	0.08135499	0.06243728	0.04983168	0.01973816	0.02006969	-0.00964888	0.06680562	0.06064193	0.03374194	0.02571761	0.03035813	-0.01078891	0.06593415	0.08060404	0.10776724	0.00598306	0.00307461	0.00314695	0.03892406	0.08624833	0.06457074	0.00995372	-0.01312052	0.01340670	0.04553105	0.07500215	0.03414147	0.00203364	-0.01904112	0.01868349
0.116666	0.10256686	0.06351414	0.07251930	0.00960503	0.00044502	-0.00402475	0.08168704	0.06289494	0.04963399	0.01973432	0.02158459	-0.00728025	0.06737030	0.06128503	0.03346858	0.02584513	0.03171227	-0.00987455	0.06603842	0.08071368	0.10782410	0.00685952	0.00637985	0.00428839	0.03913227	0.08603536	0.06480666	0.01166931	-0.01052406	0.01386849	0.04558022	0.07463463	0.03452119	0.00233958	-0.01595939	0.02059997
