Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10029295	0.05964249	0.09336025	-0.00134878	0.00536179	-0.03802195	0.07484688	0.05916286	0.07257444	0.01592229	0.02112881	-0.05115657	0.05775959	0.05834519	0.05708651	0.03771738	-0.00718420	-0.04372370	0.06876608	0.08580779	0.12384664	-0.00287508	-0.02065946	-0.01682638	0.03605951	0.09111104	0.08047555	0.00461891	-0.02477026	-0.00996817	0.04578688	0.07986544	0.05121106	-0.01091052	-0.04431623	-0.01076967
0.033333	0.10026622	0.05972715	0.09282422	0.00231051	0.00023984	-0.04477496	0.07499918	0.05944403	0.07188215	0.02580295	0.01745264	-0.05738005	0.05825936	0.05822062	0.05647820	0.05070189	-0.00727429	-0.05423247	0.06872188	0.08551817	0.12362444	0.00332685	-0.02504679	-0.01993984	0.03610543	0.09081773	0.08032720	0.01434507	-0.03197273	-0.01329554	0.04564251	0.07924789	0.05104981	-0.00691264	-0.04462856	-0.01719638
0.050000	0.10028673	0.05975356	0.09202486	0.00596980	-0.00488212	-0.05152797	0.07548665	0.05982212	0.07080267	0.03568361	0.01377648	-0.06360354	0.05916810	0.05809929	0.05550786	0.06368639	-0.00736439	-0.06474123	0.06872927	0.08505852	0.12324582	0.00952877	-0.02943412	-0.02305330	0.03631765	0.09020787	0.08009220	0.02407123	-0.03917519	-0.01662291	0.04548694	0.07840972	0.05077130	-0.00291475	-0.04494089	-0.02362309
0.066666	0.10035493	0.05968664	0.09103622	0.00897750	-0.00782821	-0.05124153	0.07617400	0.06011745	0.06957287	0.03539576	0.00872727	-0.06079560	0.06030458	0.05797436	0.05430148	0.06401896	-0.00782055	-0.06565097	0.06888535	0.08447246	0.12281645	0.01117226	-0.03056855	-0.02345772	0.03674056	0.08937020	0.07984359	0.02720050	-0.03867690	-0.01861241	0.04533836	0.07745880	0.05037658	0.00168643	-0.04055430	-0.02646526
0.083333	0.10064898	0.05944257	0.09009322	0.01459850	-0.01179407	-0.05711518	0.07702818	0.06017661	0.06847677	0.03827851	0.00305836	-0.06383456	0.06175657	0.05787414	0.05301980	0.06687954	-0.00844555	-0.07252312	0.06928229	0.08400756	0.12237656	0.01329066	-0.03526429	-0.02710718	0.03746524	0.08871959	0.07942334	0.03391862	-0.04442173	-0.02182068	0.04552760	0.07690730	0.04978050	0.00562623	-0.04109060	-0.03165175
0.100000	0.10084124	0.05915887	0.08924849	0.02070319	-0.01478315	-0.06217102	0.07760593	0.06008690	0.06760619	0.03789347	-0.00270995	-0.06563618	0.06284161	0.05770470	0.05187773	0.06550650	-0.00881189	-0.07786714	0.06956914	0.08340545	0.12200454	0.01439126	-0.03715422	-0.03109117	0.03805700	0.08806444	0.07905965	0.03990876	-0.04554364	-0.02562786	0.04572396	0.07644486	0.04920800	0.01046848	-0.03962097	-0.03637024
0.116666	0.10126930	0.05889381	0.08828449	0.02506780	-0.01484130	-0.06718535	0.07817142	0.05995834	0.06661877	0.03740687	-0.00563331	-0.06997348	0.06385560	0.05755464	0.05064626	0.06304738	-0.00692620	-0.08506969	0.06977589	0.08276661	0.12149327	0.01494928	-0.03648336	-0.03583229	0.03869835	0.08731824	0.07861666	0.04464113	-0.04394478	-0.02987136	0.04597619	0.07582167	0.04860261	0.01490472	-0.03811043	-0.04076624
