Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.12857501	0.05106438	0.05176039	-0.01773722	0.02379921	-0.01695537	0.10090099	0.06033793	0.03383118	0.05393590	0.05132727	-0.03734499	0.08719844	0.06086849	0.02260514	0.07930158	0.02634510	-0.03738979	0.11348596	0.08121650	0.09111884	-0.01173628	-0.02030094	0.01473299	0.08257318	0.10186524	0.04990460	-0.02255668	-0.02712272	0.04885434	0.08390621	0.08954816	0.02153984	-0.08592756	-0.04992706	0.03339413
0.033333	0.12827410	0.05140200	0.05148550	-0.01191129	0.02663355	-0.01324223	0.10186783	0.06112327	0.03317980	0.04883942	0.05383494	-0.03195798	0.08859980	0.06122628	0.02195000	0.07084033	0.03461740	-0.03303461	0.11328971	0.08089327	0.09136146	-0.00804532	-0.01983747	0.01847021	0.08212179	0.10147351	0.05066688	-0.01765996	-0.02610761	0.05473058	0.08235644	0.08869807	0.02216238	-0.08465309	-0.03186589	0.03627613
0.050000	0.12804097	0.05180847	0.05131068	-0.00608536	0.02946789	-0.00952909	0.10261217	0.06200630	0.03270226	0.04374294	0.05634262	-0.02657096	0.08972017	0.06180359	0.02144928	0.06237908	0.04288970	-0.02867943	0.11314587	0.08057389	0.09164064	-0.00435436	-0.01937401	0.02220744	0.08191290	0.10098853	0.05152984	-0.01276323	-0.02509250	0.06060682	0.08116811	0.08804684	0.02264777	-0.08337863	-0.01380471	0.03915813
0.066666	0.12797776	0.05251180	0.05103619	-0.00411944	0.02311850	-0.00304922	0.10333277	0.06313771	0.03221836	0.04055956	0.04815853	-0.02069262	0.09072818	0.06265865	0.02095439	0.05789284	0.03866168	-0.02385174	0.11307320	0.08020399	0.09205084	-0.00209250	-0.01593123	0.02207683	0.08168978	0.10050894	0.05274001	-0.00920143	-0.02070707	0.05307683	0.07962599	0.08791570	0.02337063	-0.07447891	-0.00966702	0.03690450
0.083333	0.12802210	0.05297416	0.05100216	0.00045143	0.01878856	0.00365890	0.10393105	0.06405690	0.03189798	0.03308190	0.03860247	-0.01157914	0.09155226	0.06355498	0.02056112	0.04674453	0.03310046	-0.01469105	0.11309415	0.07988864	0.09250077	0.00168063	-0.01144861	0.02164995	0.08162493	0.10013871	0.05380340	-0.00093069	-0.01637205	0.04364797	0.07836553	0.08822109	0.02402459	-0.05591206	-0.00071116	0.03006577
0.100000	0.12807928	0.05314889	0.05123100	0.00399099	0.00967134	0.01113114	0.10454397	0.06461313	0.03178111	0.02574637	0.02283284	-0.00204981	0.09239320	0.06413113	0.02033467	0.03619328	0.02022792	-0.00472750	0.11318075	0.07975008	0.09293219	0.00471266	-0.00630378	0.01883708	0.08152030	0.09999176	0.05457225	0.00564529	-0.01147573	0.02864665	0.07716104	0.08835522	0.02478234	-0.03312467	0.00217513	0.02072576
0.116666	0.12812552	0.05317542	0.05152110	0.00619414	-0.00215481	0.01910679	0.10489785	0.06479853	0.03185329	0.01824759	0.00459688	0.00814786	0.09292262	0.06432340	0.02034230	0.02535022	0.00267980	0.00655751	0.11327250	0.07973651	0.09320376	0.00689923	-0.00157409	0.01463173	0.08173350	0.09990525	0.05475247	0.01032461	-0.00704407	0.01157810	0.07692865	0.08832742	0.02495096	-0.00967652	-0.00136793	0.01063032
