Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.12388927	0.05066762	0.05030496	-0.00690709	0.00980919	-0.01163541	0.09195106	0.05875271	0.03362595	-0.01502460	-0.00212527	0.00640877	0.07933682	0.06189870	0.02215818	-0.01325691	-0.01319643	0.00628062	0.10948638	0.08010303	0.08971035	-0.00658403	0.00003431	-0.00679775	0.07884546	0.10271365	0.04706853	-0.00522739	-0.00239127	-0.01234032	0.08207048	0.09222923	0.01867698	-0.00298415	-0.00780850	0.00079381
0.033333	0.12377236	0.05084475	0.05009957	-0.00520507	0.01006514	-0.01275239	0.09170644	0.05871474	0.03371386	-0.00950713	0.00017814	0.00126623	0.07912087	0.06169502	0.02224201	-0.00644202	-0.01234112	0.00165985	0.10936660	0.08010292	0.08957808	-0.00458056	-0.00286707	-0.00382216	0.07879790	0.10269132	0.04681569	-0.00659759	-0.00605198	-0.00345749	0.08210152	0.09209394	0.01867822	-0.01163212	-0.00998948	-0.00125338
0.050000	0.12368449	0.05098189	0.04989949	-0.00350305	0.01032109	-0.01386937	0.09154205	0.05871438	0.03375862	-0.00398965	0.00248156	-0.00387631	0.07901612	0.06147667	0.02228268	0.00037287	-0.01148580	-0.00296093	0.10929036	0.08007221	0.08951057	-0.00257709	-0.00576845	-0.00084658	0.07863749	0.10258200	0.04676883	-0.00796779	-0.00971269	0.00542533	0.08182866	0.09189949	0.01870376	-0.02028008	-0.01217046	-0.00330056
0.066666	0.12362076	0.05119691	0.04965539	-0.00207794	0.00977969	-0.01554201	0.09142509	0.05875840	0.03371816	0.00189111	0.00392267	-0.00955366	0.07896274	0.06125163	0.02228292	0.00832311	-0.00948977	-0.00969112	0.10925747	0.07993699	0.08954509	-0.00172899	-0.00737476	-0.00067838	0.07851057	0.10239212	0.04692426	-0.00840686	-0.01234346	0.00960965	0.08145129	0.09178003	0.01860179	-0.02533532	-0.01769829	-0.00262527
0.083333	0.12361198	0.05132446	0.04944002	0.00004113	0.00938093	-0.01780713	0.09154614	0.05885300	0.03352417	0.00946708	0.00606444	-0.01737903	0.07917388	0.06111462	0.02210177	0.01843486	-0.00751923	-0.01846372	0.10926763	0.07982219	0.08957068	0.00014424	-0.01064368	0.00104629	0.07833626	0.10218048	0.04718911	-0.00911336	-0.01716539	0.01878213	0.08096179	0.09147854	0.01851525	-0.03599725	-0.02278158	-0.00222906
0.100000	0.12363275	0.05151227	0.04908788	0.00206620	0.00775135	-0.01879742	0.09179296	0.05899242	0.03312011	0.01586775	0.00660843	-0.02370974	0.07960718	0.06102253	0.02168563	0.02655364	-0.00530443	-0.02628656	0.10927235	0.07959127	0.08959731	0.00218262	-0.01273376	0.00193310	0.07821073	0.10186337	0.04754102	-0.00836257	-0.02044723	0.02534059	0.08033971	0.09102198	0.01844018	-0.04464383	-0.02550553	0.00032275
0.116666	0.12369637	0.05162687	0.04871648	0.00364067	0.00403600	-0.01737886	0.09221282	0.05913629	0.03258537	0.01958501	0.00465784	-0.02635192	0.08028026	0.06099238	0.02105380	0.03093888	-0.00398304	-0.03062792	0.10931174	0.07935674	0.08960177	0.00399204	-0.01431355	0.00295406	0.07803251	0.10144462	0.04803126	-0.00684849	-0.02275685	0.02933501	0.07950576	0.09035991	0.01848520	-0.04980465	-0.02462844	0.00438703
