Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.14629890	0.05306973	0.04675283	0.00040934	0.00409137	0.00633406	0.10954551	0.05829458	0.03260128	-0.00481052	0.01340940	0.00882614	0.09653078	0.06412026	0.01947553	0.00461498	0.02444936	0.00900051	0.14672823	0.10089668	0.07562245	0.01019080	0.02314968	-0.00677711	0.10206039	0.10788617	0.04808315	0.00768504	0.03982444	-0.00686875	0.08402077	0.08575538	0.01507961	0.00850886	0.02289591	-0.00419326
0.033333	0.14630170	0.05315880	0.04685569	0.00018776	0.00214645	0.00606707	0.10946360	0.05854176	0.03274456	-0.00447260	0.00943672	0.00780191	0.09659554	0.06451584	0.01963949	0.00382261	0.01954221	0.00784818	0.14689660	0.10128577	0.07550427	0.01001943	0.01933635	-0.00530342	0.10219641	0.10855829	0.04796220	0.00632534	0.03113252	-0.00470182	0.08415188	0.08612807	0.01502230	0.00776793	0.01887970	-0.00364058
0.050000	0.14631020	0.05317459	0.04696595	-0.00003383	0.00020152	0.00580008	0.10939392	0.05869354	0.03288513	-0.00413468	0.00546404	0.00677767	0.09668034	0.06488905	0.01976200	0.00303024	0.01463505	0.00669584	0.14707007	0.10162599	0.07541514	0.00984807	0.01552301	-0.00382973	0.10230467	0.10912532	0.04788084	0.00496565	0.02244060	-0.00253488	0.08430235	0.08647840	0.01494725	0.00702701	0.01486348	-0.00308791
0.066666	0.14631106	0.05316506	0.04705572	-0.00023738	-0.00059532	0.00579060	0.10931914	0.05874884	0.03299985	-0.00374185	0.00422805	0.00620157	0.09672506	0.06509750	0.01986334	0.00243695	0.01220525	0.00680062	0.14722764	0.10186314	0.07536001	0.00993174	0.01379469	-0.00316457	0.10236559	0.10943927	0.04784979	0.00471940	0.01938559	-0.00169492	0.08440819	0.08670257	0.01488240	0.00661279	0.01278473	-0.00219403
0.083333	0.14630397	0.05313824	0.04714513	-0.00044629	-0.00221311	0.00541048	0.10925994	0.05876699	0.03307589	-0.00344989	0.00129905	0.00527555	0.09675930	0.06523564	0.01994530	0.00144244	0.00823210	0.00599268	0.14738847	0.10203453	0.07532649	0.00966307	0.01085524	-0.00209936	0.10242914	0.10961050	0.04785612	0.00353260	0.01369068	-0.00060270	0.08451535	0.08685908	0.01485973	0.00567781	0.00924021	-0.00145959
0.100000	0.14628579	0.05309126	0.04723930	-0.00071332	-0.00278573	0.00471285	0.10921346	0.05876330	0.03315100	-0.00345291	-0.00007371	0.00431014	0.09675908	0.06529194	0.02005837	0.00049651	0.00590662	0.00521153	0.14755431	0.10216670	0.07530922	0.00912372	0.00961449	-0.00189942	0.10248873	0.10973648	0.04787764	0.00267715	0.01129054	-0.00087196	0.08459052	0.08694973	0.01486228	0.00459595	0.00684037	-0.00098932
0.116666	0.14627506	0.05302649	0.04732611	-0.00097096	-0.00282589	0.00388357	0.10916914	0.05875324	0.03322209	-0.00349482	-0.00046613	0.00356333	0.09676553	0.06535681	0.02017396	-0.00013586	0.00495440	0.00463037	0.14771801	0.10229952	0.07529393	0.00833694	0.00963148	-0.00224643	0.10253832	0.10990715	0.04788309	0.00208602	0.01139675	-0.00184859	0.08467352	0.08704176	0.01487051	0.00361105	0.00563255	-0.00107845
