Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13375969	0.03844353	0.09337749	-0.01242419	-0.01126806	-0.01162500	0.11403958	0.02166187	0.08234407	-0.00596689	-0.01618312	-0.00742956	0.09804455	0.00885533	0.07613886	-0.00691927	-0.01025689	-0.00479324	0.11939512	0.04818732	0.13216753	-0.00023957	0.00341856	-0.00129380	0.07836773	0.03713812	0.11348943	-0.00664974	-0.00210601	0.00028141	0.07620819	0.01132243	0.08844752	-0.01117305	0.00152663	0.00355834
0.016667	0.13359360	0.03823359	0.09319547	-0.01198148	-0.00976864	-0.01117748	0.11397572	0.02136729	0.08221539	-0.00675562	-0.01192727	-0.00583405	0.09794594	0.00866882	0.07605665	-0.00552962	-0.00853734	-0.00443997	0.11939982	0.04823910	0.13215262	-0.00021368	0.00334216	-0.00163750	0.07826370	0.03708379	0.11351193	-0.00561053	-0.00220467	-0.00012696	0.07599659	0.01130077	0.08853712	-0.00991527	0.00050998	0.00366101
0.033333	0.13334204	0.03806494	0.09297518	-0.01153876	-0.00826923	-0.01072996	0.11386487	0.02116930	0.08212591	-0.00754434	-0.00767142	-0.00423854	0.09783286	0.00852735	0.07598358	-0.00413997	-0.00681779	-0.00408670	0.11939139	0.04829247	0.13212189	-0.00018779	0.00326575	-0.00198119	0.07816706	0.03706319	0.11348917	-0.00457132	-0.00230334	-0.00053533	0.07588805	0.01139807	0.08854812	-0.00865750	-0.00050666	0.00376368
0.050000	0.13315220	0.03798756	0.09281864	-0.00968073	-0.00967134	-0.01124550	0.11362877	0.02108945	0.08203704	-0.00423854	-0.00732120	-0.00375958	0.09775751	0.00845505	0.07591115	-0.00227177	-0.00751764	-0.00380953	0.11938050	0.04836135	0.13208036	0.00094790	0.00215567	-0.00203066	0.07806005	0.03703580	0.11348435	-0.00243579	-0.00336514	-0.00050392	0.07567197	0.01132643	0.08865963	-0.00601633	-0.00083605	0.00315269
0.066666	0.13295408	0.03785994	0.09265776	-0.00814665	-0.00956282	-0.01140629	0.11356303	0.02103356	0.08202560	-0.00272491	-0.00549997	-0.00420922	0.09772027	0.00834721	0.07586404	-0.00001386	-0.00731358	-0.00328829	0.11937312	0.04841340	0.13204238	0.00246772	0.00087830	-0.00232526	0.07804506	0.03700224	0.11345114	0.00045631	-0.00460258	-0.00053909	0.07562359	0.01134946	0.08865538	-0.00209813	-0.00077852	0.00237056
0.083333	0.13289006	0.03765527	0.09245919	-0.00563482	-0.00931233	-0.01031973	0.11359257	0.02098001	0.08200554	-0.00050798	-0.00517784	-0.00541127	0.09777001	0.00823543	0.07580090	0.00178170	-0.00780655	-0.00289087	0.11942557	0.04841381	0.13201503	0.00391138	-0.00044638	-0.00217521	0.07805832	0.03688536	0.11346763	0.00353707	-0.00597204	-0.00026442	0.07556428	0.01125864	0.08876597	0.00184738	-0.00039961	0.00129477
0.100000	0.13284971	0.03743527	0.09224826	-0.00181117	-0.00857312	-0.00836178	0.11369061	0.02084575	0.08190235	0.00173182	-0.00557928	-0.00642637	0.09784996	0.00804689	0.07576417	0.00283779	-0.00815309	-0.00307461	0.11953823	0.04836559	0.13196339	0.00499288	-0.00126711	-0.00191995	0.07818637	0.03676913	0.11345033	0.00543537	-0.00690910	0.00005942	0.07566851	0.01123620	0.08873778	0.00459013	-0.00020171	0.00037316
0.116666	0.13275228	0.03727739	0.09205132	0.00199200	-0.00683931	-0.00609337	0.11370703	0.02074272	0.08171889	0.00273516	-0.00581165	-0.00735040	0.09791544	0.00791763	0.07572426	0.00299593	-0.00792275	-0.00364968	0.11966281	0.04831228	0.13193272	0.00552738	-0.00120951	-0.00190736	0.07832303	0.03660854	0.11346766	0.00554784	-0.00712088	0.00038952	0.07586692	0.01134047	0.08873610	0.00521211	-0.00057876	0.00000037
