Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13681252	0.04117392	0.09076983	-0.00283824	-0.00399025	-0.00230824	0.11768439	0.01848230	0.08195362	-0.00156586	-0.00123723	-0.00029862	0.09555281	0.00910220	0.07675084	-0.00233260	0.00241655	-0.00499329	0.11862828	0.04911913	0.12739861	0.00228037	0.00021784	-0.00431465	0.07574601	0.03497506	0.11341199	0.01104493	0.00150672	-0.00526870	0.07516786	0.01134704	0.08548558	0.00449611	-0.00054689	-0.00421321
0.016667	0.13673663	0.04109565	0.09072869	-0.00085608	-0.00425948	-0.00276135	0.11764604	0.01846120	0.08194300	0.00024006	-0.00126489	-0.00224055	0.09550954	0.00914242	0.07666816	-0.00063658	0.00190340	-0.00640000	0.11865279	0.04912585	0.12733302	0.00363731	-0.00061937	-0.00456067	0.07591819	0.03500560	0.11331933	0.01082633	-0.00090436	-0.00477793	0.07522557	0.01133863	0.08541214	0.00561813	-0.00164468	-0.00456111
0.033333	0.13673966	0.04104270	0.09069322	0.00112609	-0.00452870	-0.00321445	0.11764477	0.01844232	0.08192706	0.00204597	-0.00129255	-0.00418247	0.09548752	0.00917481	0.07657374	0.00105944	0.00139025	-0.00780671	0.11871433	0.04911844	0.12725474	0.00499426	-0.00145658	-0.00480669	0.07610744	0.03500529	0.11323636	0.01060773	-0.00331543	-0.00428716	0.07532492	0.01131673	0.08534516	0.00674016	-0.00274246	-0.00490902
0.050000	0.13679266	0.04096964	0.09063120	0.00090339	-0.00457035	-0.00282814	0.11771271	0.01841891	0.08185230	0.00161760	-0.00105202	-0.00453850	0.09552381	0.00920353	0.07643675	0.00091561	0.00093424	-0.00756613	0.11882253	0.04908885	0.12716767	0.00432806	-0.00123896	-0.00419067	0.07627922	0.03491355	0.11319767	0.00937242	-0.00340497	-0.00449868	0.07546576	0.01127151	0.08525603	0.00591131	-0.00289796	-0.00474775
0.066666	0.13683848	0.04087776	0.09056601	0.00147746	-0.00413896	-0.00229982	0.11777411	0.01839596	0.08171868	0.00207518	-0.00059972	-0.00476530	0.09558427	0.00920527	0.07625806	0.00120916	0.00074108	-0.00725958	0.11892967	0.04904014	0.12707892	0.00388967	-0.00092162	-0.00335576	0.07648354	0.03482509	0.11309829	0.00744547	-0.00407522	-0.00396142	0.07559155	0.01118718	0.08516881	0.00542919	-0.00291415	-0.00448203
0.083333	0.13684997	0.04078604	0.09051619	0.00092641	-0.00363974	-0.00167054	0.11781020	0.01838218	0.08160214	0.00187297	-0.00000587	-0.00447100	0.09561665	0.00920687	0.07611858	0.00124500	0.00122329	-0.00671803	0.11899635	0.04901246	0.12702726	0.00306924	-0.00002014	-0.00260265	0.07657557	0.03472256	0.11303361	0.00556941	-0.00341730	-0.00383181	0.07567216	0.01112009	0.08508227	0.00429539	-0.00235233	-0.00407213
0.100000	0.13685772	0.04073289	0.09051657	0.00007316	-0.00285448	-0.00103761	0.11780085	0.01839164	0.08154675	0.00104182	0.00062615	-0.00363050	0.09560184	0.00920111	0.07604604	0.00084784	0.00177709	-0.00579088	0.11900441	0.04903267	0.12701258	0.00213486	0.00103394	-0.00204631	0.07663327	0.03468825	0.11296103	0.00380287	-0.00199440	-0.00363720	0.07570679	0.01108990	0.08502822	0.00288074	-0.00121980	-0.00344684
0.116666	0.13684142	0.04071942	0.09052489	-0.00021011	-0.00153050	-0.00053395	0.11782154	0.01841567	0.08154282	0.00012439	0.00108286	-0.00240163	0.09559049	0.00925496	0.07599287	0.00031140	0.00206040	-0.00456629	0.11900248	0.04907152	0.12701446	0.00134916	0.00178781	-0.00157290	0.07663263	0.03467337	0.11292773	0.00247491	-0.00035340	-0.00320313	0.07573416	0.01109452	0.08498629	0.00166845	0.00012470	-0.00254062
