Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13746791	0.03909223	0.08496538	0.00678229	-0.00174221	-0.00158337	0.11630135	0.01903962	0.08148154	0.00420110	-0.00271150	-0.01753758	0.09655027	0.00913995	0.07973857	-0.00264638	-0.00771812	-0.01885429	0.12576707	0.04400441	0.12249332	-0.00555771	-0.00107544	-0.00131436	0.07985886	0.03522476	0.11486043	0.00035491	-0.00240033	-0.00729445	0.07447127	0.01087093	0.08787499	0.01062178	-0.00658211	-0.01202998
0.016667	0.13758513	0.03907774	0.08493479	0.00610071	-0.00232884	-0.00201681	0.11637483	0.01900712	0.08117669	0.00419767	-0.00313350	-0.01611053	0.09648009	0.00899591	0.07942332	-0.00034332	-0.00626854	-0.01870982	0.12567812	0.04398429	0.12246805	-0.00493707	-0.00134949	-0.00082344	0.07985954	0.03521799	0.11473428	0.00148394	-0.00581952	-0.00704440	0.07465094	0.01074818	0.08767745	0.00968125	-0.00611616	-0.01163815
0.033333	0.13768479	0.03902581	0.08491203	0.00541913	-0.00291546	-0.00245024	0.11643993	0.01894495	0.08091334	0.00419425	-0.00355551	-0.01468348	0.09649166	0.00889893	0.07911035	0.00195973	-0.00481897	-0.01856536	0.12559010	0.04396387	0.12245455	-0.00431644	-0.00162354	-0.00033252	0.07988349	0.03510826	0.11461835	0.00261297	-0.00923872	-0.00679436	0.07481170	0.01065690	0.08747540	0.00874072	-0.00565021	-0.01124632
0.050000	0.13776223	0.03896616	0.08486037	0.00494810	-0.00266520	-0.00228961	0.11650488	0.01887727	0.08068224	0.00417797	-0.00287323	-0.01436861	0.09653381	0.00883003	0.07881166	0.00224357	-0.00456037	-0.01840863	0.12551297	0.04394337	0.12245817	-0.00375362	-0.00196573	-0.00024002	0.07992975	0.03489774	0.11452398	0.00269887	-0.00882320	-0.00703572	0.07495224	0.01057224	0.08729528	0.00809192	-0.00556782	-0.01131964
0.066666	0.13785616	0.03891109	0.08481817	0.00389198	-0.00282706	-0.00211750	0.11658540	0.01880690	0.08046880	0.00387253	-0.00241578	-0.01298377	0.09663830	0.00879017	0.07849069	0.00282117	-0.00352820	-0.01743968	0.12546419	0.04390119	0.12245527	-0.00303560	-0.00218130	0.00009250	0.08000999	0.03470512	0.11439109	0.00281402	-0.00938579	-0.00673554	0.07508376	0.01048704	0.08711210	0.00674183	-0.00474941	-0.01092900
0.083333	0.13791431	0.03887638	0.08476590	0.00320682	-0.00249018	-0.00166245	0.11665313	0.01878017	0.08024359	0.00348733	-0.00173575	-0.01177107	0.09667706	0.00871667	0.07819282	0.00214745	-0.00246716	-0.01597228	0.12542656	0.04385672	0.12246052	-0.00220009	-0.00195172	0.00009023	0.08006705	0.03452865	0.11427936	0.00241117	-0.00805936	-0.00648579	0.07518568	0.01038115	0.08693669	0.00550466	-0.00393867	-0.00999742
0.100000	0.13795260	0.03884417	0.08475533	0.00290306	-0.00204324	-0.00102327	0.11671294	0.01878640	0.08003938	0.00323707	-0.00110271	-0.01064711	0.09672469	0.00867270	0.07791997	0.00146989	-0.00122624	-0.01407156	0.12539658	0.04380831	0.12246395	-0.00144192	-0.00125751	-0.00004679	0.08009764	0.03443811	0.11415287	0.00213270	-0.00634427	-0.00626894	0.07527135	0.01032479	0.08673930	0.00472615	-0.00311246	-0.00912834
0.116666	0.13797364	0.03879834	0.08474528	0.00302204	-0.00177641	-0.00070796	0.11674532	0.01876740	0.07988522	0.00347187	-0.00058277	-0.00973787	0.09669053	0.00863686	0.07772119	0.00108336	-0.00012805	-0.01207643	0.12536848	0.04378756	0.12246693	-0.00070326	-0.00028113	-0.00032276	0.08010355	0.03436390	0.11407730	0.00239757	-0.00539266	-0.00608044	0.07531705	0.01029055	0.08660452	0.00456160	-0.00208098	-0.00856895
