Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11904871	0.05167885	0.06712985	0.00567629	-0.00017840	0.00119504	0.08712136	0.05788493	0.06302278	0.00827323	0.00124271	0.00047878	0.06622403	0.05979896	0.05309036	0.01089454	0.00345109	-0.00105525	0.09858875	0.10098831	0.08942739	0.00422755	0.00544245	0.00272584	0.06447920	0.10077115	0.06693061	-0.00041608	-0.00182912	-0.00021815	0.04921824	0.08304918	0.05337609	0.00016194	0.00009544	0.00054140
0.033333	0.11911778	0.05167967	0.06717579	0.00541406	-0.00044357	0.00018999	0.08727295	0.05792978	0.06303436	0.00685374	0.00289400	0.00018865	0.06637577	0.05983791	0.05307883	0.00939827	0.00466594	-0.00138190	0.09865106	0.10108431	0.08944888	0.00243993	0.00352108	0.00250698	0.06447717	0.10073611	0.06692419	-0.00048548	-0.00095688	-0.00014752	0.04921988	0.08307178	0.05339306	0.00063446	-0.00003621	-0.00008460
0.050000	0.11922587	0.05167812	0.06717211	0.00515184	-0.00070874	-0.00081506	0.08737990	0.05794856	0.06304178	0.00543425	0.00454530	-0.00010148	0.06656817	0.05993201	0.05305263	0.00790201	0.00588080	-0.00170856	0.09869574	0.10114194	0.08953130	0.00065230	0.00159972	0.00228812	0.06445841	0.10070618	0.06693473	-0.00055488	-0.00008464	-0.00007689	0.04922741	0.08304295	0.05339770	0.00110697	-0.00016786	-0.00071060
0.066666	0.11932781	0.05164960	0.06711686	0.00340988	-0.00048520	0.00051446	0.08746047	0.05798915	0.06301783	0.00537804	0.00628679	0.00021074	0.06671974	0.06003403	0.05302026	0.00586084	0.00597047	-0.00112920	0.09874291	0.10117305	0.08956042	-0.00049766	0.00169311	0.00183419	0.06446936	0.10074297	0.06691238	-0.00074502	-0.00057727	0.00043966	0.04927090	0.08306226	0.05333124	0.00088182	0.00023015	0.00015134
0.083333	0.11942568	0.05163406	0.06708628	0.00164577	-0.00036966	0.00108477	0.08751445	0.05815457	0.06302865	0.00430008	0.00717013	-0.00002448	0.06679884	0.06016954	0.05297941	0.00358300	0.00608204	-0.00028435	0.09867197	0.10114080	0.08958676	-0.00110589	0.00175104	0.00082054	0.06443096	0.10073986	0.06692658	-0.00065901	-0.00010829	0.00065513	0.04926052	0.08301371	0.05336823	0.00042169	0.00115935	0.00044268
0.100000	0.11938411	0.05164502	0.06715684	-0.00001919	0.00019029	0.00208572	0.08759450	0.05834038	0.06303675	0.00333780	0.00762948	-0.00004090	0.06678908	0.06026405	0.05297367	0.00164986	0.00544604	0.00048695	0.09858792	0.10112667	0.08959341	-0.00164346	0.00163370	-0.00033435	0.06442780	0.10072341	0.06694710	-0.00054375	0.00013173	0.00068363	0.04929920	0.08306705	0.05336643	-0.00123699	0.00198335	0.00199147
0.116666	0.11934675	0.05163280	0.06722557	-0.00114512	0.00070002	0.00292500	0.08767830	0.05850240	0.06304603	0.00289579	0.00725656	0.00015035	0.06678238	0.06036313	0.05301514	0.00112202	0.00440983	0.00086725	0.09858263	0.10123236	0.08957565	-0.00181791	0.00163396	-0.00115306	0.06441009	0.10070377	0.06697519	-0.00051983	-0.00049588	0.00078123	0.04927582	0.08310468	0.05342291	-0.00285791	0.00257128	0.00330088
