Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11922266	0.05397939	0.06789605	0.01396349	-0.00752720	0.00467712	0.08812784	0.05756068	0.06336131	0.00338794	-0.00915343	0.00799193	0.06604944	0.05542653	0.05349458	0.00709388	-0.00535580	0.00173990	0.09883557	0.10304809	0.08709396	0.00945121	-0.00597319	0.00053987	0.06468105	0.10123569	0.06679746	-0.00510277	-0.01235717	0.01233784	0.04982350	0.08046867	0.05365476	0.00600076	-0.01630685	0.00559545
0.033333	0.11952052	0.05387269	0.06797264	0.00847984	-0.00527827	0.00376226	0.08818331	0.05739188	0.06349695	0.00357182	-0.00434084	0.00569793	0.06622741	0.05533694	0.05349889	0.00459263	0.00024039	0.00208274	0.09901798	0.10292184	0.08709817	0.00523882	-0.00279800	0.00086815	0.06462294	0.10100807	0.06697410	-0.00544513	-0.00372896	0.00959877	0.04991859	0.08017951	0.05379569	0.00488533	-0.00749435	0.00143722
0.050000	0.11961628	0.05375643	0.06802534	0.00299619	-0.00302934	0.00284740	0.08822981	0.05730536	0.06359140	0.00375570	0.00047175	0.00340392	0.06624985	0.05532001	0.05355323	0.00209139	0.00583658	0.00242558	0.09910031	0.10289395	0.08711568	0.00102643	0.00037719	0.00119642	0.06449504	0.10091877	0.06719047	-0.00578749	0.00489926	0.00685970	0.04999178	0.08003072	0.05378829	0.00376990	0.00131816	-0.00272100
0.066666	0.11961614	0.05370318	0.06808776	0.00164640	-0.00149096	0.00089001	0.08830887	0.05734446	0.06366017	0.00258387	0.00152190	0.00113536	0.06622931	0.05541703	0.05361390	0.00265029	0.00756155	0.00145531	0.09909861	0.10292419	0.08713682	0.00000626	0.00174706	0.00071217	0.06438733	0.10106562	0.06729519	-0.00520697	0.00698804	0.00490883	0.05008323	0.08008865	0.05370425	0.00182803	0.00521178	-0.00339437
0.083333	0.11955102	0.05370553	0.06812549	-0.00210942	0.00055764	-0.00230093	0.08838464	0.05747754	0.06364637	0.00069645	0.00345639	-0.00258480	0.06625661	0.05567224	0.05365942	0.00171498	0.00727474	0.00006268	0.09899852	0.10298602	0.08716982	-0.00206795	0.00447305	-0.00049461	0.06431138	0.10132877	0.06732989	-0.00460668	0.01034957	0.00131410	0.05011459	0.08032674	0.05357036	0.00027632	0.01069178	-0.00572754
0.100000	0.11954327	0.05379061	0.06806103	-0.00300912	0.00121490	-0.00628746	0.08839024	0.05757777	0.06358521	-0.00147842	0.00294493	-0.00622763	0.06632468	0.05594365	0.05362727	0.00295521	0.00322075	-0.00276725	0.09894396	0.10307486	0.08717266	-0.00285004	0.00567986	-0.00209966	0.06423680	0.10162963	0.06730280	-0.00360393	0.00942085	-0.00207868	0.05006066	0.08062401	0.05348881	0.00020310	0.01162631	-0.00707018
0.116666	0.11944197	0.05381789	0.06792440	-0.00231230	0.00076311	-0.01061444	0.08833175	0.05763023	0.06343152	-0.00373015	0.00106276	-0.00927716	0.06637569	0.05601547	0.05359239	0.00384001	-0.00275507	-0.00528941	0.09890038	0.10320601	0.08711956	-0.00274790	0.00560487	-0.00311886	0.06420311	0.10177618	0.06725487	-0.00328516	0.00648550	-0.00372612	0.04999669	0.08090010	0.05337229	0.00125573	0.00931680	-0.00861497
