Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11452634	0.05145442	0.06568148	0.00105471	-0.00061780	-0.00596775	0.08676326	0.05534226	0.06142257	0.00344561	0.00316731	-0.00269719	0.06467778	0.05414660	0.05191757	0.00864625	-0.00070598	-0.00634932	0.10170024	0.10258467	0.08793925	0.00157856	-0.00511015	0.00431889	0.06468581	0.10162326	0.06668276	-0.00215889	-0.00138887	0.00280657	0.04983344	0.08349527	0.05207852	0.00027442	-0.00151825	-0.00112866
0.016667	0.11453661	0.05143785	0.06557240	0.00068285	-0.00083708	-0.00451798	0.08682187	0.05539883	0.06138142	0.00281700	0.00186515	-0.00203592	0.06482513	0.05413686	0.05181871	0.00570843	-0.00048436	-0.00486465	0.10174282	0.10252181	0.08800112	-0.00077516	-0.00544803	0.00391068	0.06465312	0.10159558	0.06673998	-0.00254364	-0.00163906	0.00241042	0.04982445	0.08345664	0.05205624	-0.00072699	-0.00075884	0.00135620
0.033333	0.11455645	0.05142733	0.06550115	0.00031099	-0.00105635	-0.00306820	0.08686663	0.05543548	0.06134885	0.00218839	0.00056299	-0.00137464	0.06493719	0.05412389	0.05172274	0.00277062	-0.00026275	-0.00337999	0.10173025	0.10240953	0.08807722	-0.00312888	-0.00578592	0.00350246	0.06460725	0.10155750	0.06678108	-0.00292839	-0.00188925	0.00201427	0.04983823	0.08345479	0.05207068	-0.00172841	0.00000056	0.00384105
0.050000	0.11457814	0.05141492	0.06546045	-0.00019707	-0.00128426	-0.00261360	0.08690700	0.05542567	0.06131601	0.00194155	0.00055656	-0.00038929	0.06497037	0.05411794	0.05166033	0.00176062	-0.00013055	-0.00249096	0.10165226	0.10230052	0.08814169	-0.00325502	-0.00525018	0.00306414	0.06455960	0.10154124	0.06679320	-0.00310974	-0.00197076	0.00241500	0.04980963	0.08347091	0.05213732	-0.00224798	-0.00005152	0.00473388
0.066666	0.11454798	0.05139806	0.06543894	-0.00056204	-0.00102142	-0.00164394	0.08692703	0.05541993	0.06130465	0.00170589	0.00014443	0.00037899	0.06492984	0.05412697	0.05165773	-0.00058722	0.00004446	-0.00103306	0.10154645	0.10219878	0.08818875	-0.00453548	-0.00540952	0.00295949	0.06449934	0.10152557	0.06681850	-0.00321270	-0.00040550	0.00188828	0.04974029	0.08347232	0.05227587	-0.00228849	0.00027623	0.00509914
0.083333	0.11452914	0.05134626	0.06542083	-0.00112709	-0.00056373	-0.00131585	0.08693667	0.05540137	0.06134737	0.00172307	0.00019681	0.00044242	0.06490348	0.05412781	0.05166433	-0.00243866	0.00053233	0.00021622	0.10147335	0.10214844	0.08820459	-0.00498185	-0.00513183	0.00298568	0.06444094	0.10143403	0.06689039	-0.00292537	0.00193016	0.00134025	0.04967126	0.08347353	0.05240676	-0.00172858	-0.00025302	0.00382999
0.100000	0.11450331	0.05134280	0.06540409	-0.00132967	-0.00071027	-0.00098769	0.08697405	0.05542861	0.06138586	0.00198205	0.00063529	0.00004085	0.06487092	0.05413540	0.05166659	-0.00343924	0.00090341	0.00074698	0.10141096	0.10207164	0.08825395	-0.00446344	-0.00448612	0.00312337	0.06438315	0.10149388	0.06691716	-0.00222758	0.00322738	0.00128877	0.04962533	0.08347344	0.05249664	-0.00085067	-0.00081636	0.00187090
0.116666	0.11449347	0.05135583	0.06538288	-0.00060220	-0.00147870	-0.00033837	0.08700499	0.05544014	0.06139069	0.00212916	0.00102567	-0.00030792	0.06480360	0.05413925	0.05169741	-0.00428213	0.00111813	0.00070749	0.10132439	0.10196677	0.08832171	-0.00361817	-0.00404613	0.00343976	0.06435166	0.10160936	0.06691740	-0.00128583	0.00299984	0.00166774	0.04967116	0.08346651	0.05244120	-0.00003228	-0.00063226	0.00017172
