Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11297194	0.05112723	0.06066306	0.00280784	-0.00090799	0.00563628	0.08640004	0.06355792	0.06119872	0.00074458	-0.00108958	0.01072307	0.07104640	0.06072132	0.05526907	0.00510669	-0.00532503	0.00827944	0.09844299	0.09777586	0.08928779	0.00005823	-0.00318879	0.00655300	0.06119637	0.10494814	0.07105448	-0.00483779	-0.00170850	0.00388609	0.05055607	0.08452840	0.05312134	0.00379299	-0.00461144	0.00488263
0.033333	0.11301349	0.05108866	0.06074930	0.00173517	0.00008170	0.00634624	0.08638089	0.06351566	0.06138085	0.00084222	-0.00039384	0.01019813	0.07115847	0.06064848	0.05538806	0.00361966	-0.00298162	0.00944521	0.09843060	0.09769655	0.08941697	-0.00121080	-0.00279644	0.00543686	0.06110166	0.10488505	0.07112343	-0.00272938	0.00097834	0.00419119	0.05061892	0.08442052	0.05323039	0.00338776	-0.00087373	0.00301236
0.050000	0.11306753	0.05111980	0.06084901	0.00066251	0.00107138	0.00705621	0.08643863	0.06353924	0.06155148	0.00093986	0.00030190	0.00967320	0.07118756	0.06054888	0.05555822	0.00213263	-0.00063822	0.01061099	0.09843468	0.09767314	0.08949720	-0.00247982	-0.00240409	0.00432072	0.06105270	0.10495133	0.07117750	-0.00062097	0.00366518	0.00449629	0.05067714	0.08442837	0.05326216	0.00298252	0.00286398	0.00114209
0.066666	0.11304901	0.05113577	0.06100177	0.00055686	0.00103034	0.00680952	0.08646031	0.06355292	0.06172371	0.00106946	0.00036419	0.00939934	0.07122158	0.06057117	0.05577603	0.00196786	-0.00032244	0.01022730	0.09839913	0.09765655	0.08955207	-0.00223440	-0.00244883	0.00499977	0.06108172	0.10502973	0.07126600	-0.00019800	0.00530130	0.00399900	0.05072672	0.08450945	0.05325381	0.00252253	0.00330796	0.00222928
0.083333	0.11304693	0.05117832	0.06110986	0.00000689	0.00090564	0.00721528	0.08646069	0.06355820	0.06183853	0.00212052	0.00096225	0.00902202	0.07122122	0.06061980	0.05592814	0.00170738	0.00050467	0.01071025	0.09830578	0.09761115	0.08959107	-0.00172854	-0.00199766	0.00542501	0.06109450	0.10508955	0.07134953	0.00118163	0.00817433	0.00365493	0.05076613	0.08460964	0.05324107	0.00197607	0.00417640	0.00328184
0.100000	0.11304124	0.05119322	0.06121641	0.00003796	0.00009278	0.00711137	0.08645200	0.06356043	0.06200786	0.00342985	0.00153226	0.00887291	0.07124861	0.06066129	0.05611283	0.00200827	0.00065055	0.01014712	0.09822963	0.09752964	0.08970346	-0.00152689	-0.00235480	0.00617887	0.06111680	0.10527649	0.07140887	0.00091916	0.00915263	0.00360818	0.05079377	0.08473537	0.05328902	0.00173782	0.00254982	0.00563568
0.116666	0.11303169	0.05118803	0.06134107	0.00031434	-0.00051869	0.00725952	0.08652812	0.06358388	0.06213769	0.00572125	0.00284926	0.00973283	0.07128734	0.06065828	0.05626073	0.00249014	0.00019640	0.01030906	0.09828062	0.09754208	0.08983474	-0.00063941	-0.00226823	0.00675260	0.06115961	0.10545840	0.07143784	0.00009533	0.00906397	0.00445029	0.05080048	0.08475827	0.05344500	0.00155008	0.00061695	0.00802645
