Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11266493	0.05705207	0.06679606	-0.00867575	-0.00152868	-0.01325303	0.08695062	0.06897406	0.05912894	-0.00885196	-0.00150644	-0.01583767	0.07206432	0.05789852	0.05454240	0.00077248	-0.00034101	-0.02460761	0.09922648	0.10582908	0.08720828	-0.01259280	-0.00674317	-0.00825073	0.06353787	0.10102844	0.06866479	-0.00525711	-0.00658891	-0.01838773	0.05236239	0.08032915	0.05475432	-0.00970313	-0.00753987	-0.01565166
0.033333	0.11251957	0.05705802	0.06656122	-0.00836227	-0.00259248	-0.01217929	0.08676886	0.06898472	0.05885057	-0.00482800	-0.00406937	-0.01794126	0.07200353	0.05792344	0.05415595	0.00549967	-0.00267294	-0.02774522	0.09902390	0.10575165	0.08707005	-0.01098660	-0.00615324	-0.00857595	0.06338344	0.10092249	0.06835515	-0.00349940	-0.00702205	-0.01975522	0.05218647	0.08021531	0.05448249	-0.00807527	-0.00691432	-0.01693196
0.050000	0.11237743	0.05698625	0.06636894	-0.00804878	-0.00365628	-0.01110554	0.08669208	0.06889067	0.05858764	-0.00080403	-0.00663231	-0.02004484	0.07213318	0.05784848	0.05370167	0.01022686	-0.00500487	-0.03088282	0.09882919	0.10561204	0.08693795	-0.00938039	-0.00556330	-0.00890117	0.06339911	0.10081618	0.06805317	-0.00174169	-0.00745519	-0.02112270	0.05206872	0.08007316	0.05422532	-0.00644740	-0.00628876	-0.01821225
0.066666	0.11223967	0.05689323	0.06619040	-0.00842288	-0.00343026	-0.01089104	0.08672271	0.06875272	0.05823179	-0.00183751	-0.00661841	-0.02039407	0.07237852	0.05776008	0.05311215	0.00720135	-0.00576582	-0.02971967	0.09864828	0.10548393	0.08676040	-0.00825826	-0.00446094	-0.00865757	0.06339351	0.10065988	0.06766553	-0.00334048	-0.00733177	-0.02077748	0.05193198	0.07998426	0.05389341	-0.00547957	-0.00719830	-0.01919924
0.083333	0.11212932	0.05683871	0.06603380	-0.00906873	-0.00441300	-0.01041390	0.08681418	0.06858991	0.05785555	-0.00254707	-0.00774845	-0.02110043	0.07265864	0.05761658	0.05257562	0.00512930	-0.00712290	-0.03024361	0.09857349	0.10544320	0.08663537	-0.00669627	-0.00414049	-0.00924528	0.06339218	0.10054489	0.06729278	-0.00460474	-0.00862363	-0.02135174	0.05191650	0.07989151	0.05359405	-0.00474401	-0.00829018	-0.02188870
0.100000	0.11198064	0.05679918	0.06585402	-0.00931308	-0.00497624	-0.01061585	0.08678072	0.06847736	0.05744866	-0.00471396	-0.00824794	-0.02118050	0.07270384	0.05749993	0.05206097	0.00207615	-0.00780952	-0.02988451	0.09848543	0.10544536	0.08648296	-0.00473900	-0.00369737	-0.00991170	0.06327187	0.10043371	0.06693533	-0.00639247	-0.01038764	-0.02167934	0.05183623	0.07978393	0.05320805	-0.00462424	-0.00956666	-0.02418340
0.116666	0.11179351	0.05671763	0.06568948	-0.00937417	-0.00604330	-0.01112071	0.08662192	0.06836234	0.05713072	-0.00697347	-0.00888437	-0.02092841	0.07256171	0.05735445	0.05166166	0.00024773	-0.00812832	-0.02979792	0.09839746	0.10537641	0.08633598	-0.00365788	-0.00416944	-0.01020763	0.06308974	0.10026508	0.06660715	-0.00729452	-0.01214558	-0.02211941	0.05179080	0.07955207	0.05279458	-0.00480646	-0.01130544	-0.02534422
