Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11358044	0.05152569	0.05732587	-0.00394115	-0.00236332	-0.00040053	0.08809366	0.06260273	0.05368863	-0.00469448	-0.00622964	-0.00546199	0.07131341	0.05661490	0.04625233	-0.00318905	-0.00823415	-0.00563069	0.09971640	0.09398467	0.08695515	-0.00371323	-0.00324768	-0.00346375	0.06314971	0.09327715	0.06946076	0.00355249	-0.00263469	-0.00675782	0.05145255	0.07573257	0.04854036	0.00439610	-0.00232027	-0.00590174
0.033333	0.11350907	0.05148161	0.05730904	-0.00361429	-0.00346744	-0.00047855	0.08799013	0.06246794	0.05361992	-0.00172757	-0.00403462	-0.00592402	0.07128102	0.05649884	0.04613033	-0.00337826	-0.00772770	-0.00631283	0.09964190	0.09389162	0.08691680	-0.00456424	-0.00271888	-0.00338139	0.06318247	0.09320118	0.06935086	0.00344486	-0.00243099	-0.00785868	0.05152841	0.07568415	0.04846442	0.00439482	-0.00209928	-0.00810310
0.050000	0.11345009	0.05144851	0.05731044	-0.00328743	-0.00457156	-0.00055658	0.08794792	0.06241117	0.05350532	0.00123933	-0.00183959	-0.00638605	0.07118922	0.05635297	0.04606484	-0.00356746	-0.00722124	-0.00699497	0.09958411	0.09389467	0.08683027	-0.00541525	-0.00219007	-0.00329902	0.06325704	0.09319779	0.06922980	0.00333724	-0.00222729	-0.00895955	0.05159010	0.07566146	0.04832444	0.00439353	-0.00187830	-0.01030445
0.066666	0.11340677	0.05133797	0.05731506	-0.00378081	-0.00401204	-0.00114644	0.08804999	0.06242697	0.05338037	-0.00026230	-0.00248066	-0.00545357	0.07115722	0.05621494	0.04595361	-0.00385737	-0.00556259	-0.00753627	0.09950097	0.09387127	0.08677813	-0.00569726	-0.00291885	-0.00298304	0.06334741	0.09316159	0.06905019	0.00183374	-0.00288238	-0.00828817	0.05168209	0.07562663	0.04812167	0.00363398	-0.00160821	-0.00987152
0.083333	0.11335343	0.05125677	0.05728916	-0.00413867	-0.00400087	-0.00145084	0.08809868	0.06243239	0.05326156	-0.00002567	-0.00186722	-0.00480158	0.07106315	0.05610491	0.04580842	-0.00358479	-0.00398274	-0.00761024	0.09937792	0.09382798	0.08673179	-0.00562685	-0.00345064	-0.00241202	0.06338607	0.09314291	0.06890245	0.00124243	-0.00309390	-0.00785127	0.05174210	0.07560816	0.04790039	0.00283006	-0.00114091	-0.00994515
0.100000	0.11328190	0.05117344	0.05724892	-0.00412026	-0.00359498	-0.00213888	0.08808244	0.06236762	0.05322042	-0.00079431	-0.00234853	-0.00384437	0.07102048	0.05609347	0.04562703	-0.00272175	-0.00242381	-0.00777481	0.09924289	0.09374149	0.08670249	-0.00551218	-0.00444258	-0.00169211	0.06333815	0.09303528	0.06874605	0.00063908	-0.00323278	-0.00724523	0.05179176	0.07557162	0.04774175	0.00186865	-0.00088711	-0.00918640
0.116666	0.11317941	0.05115904	0.05719861	-0.00366093	-0.00284975	-0.00300630	0.08798039	0.06230592	0.05317749	-0.00138373	-0.00308297	-0.00353926	0.07094438	0.05609417	0.04550990	-0.00208483	-0.00172249	-0.00760810	0.09917512	0.09364817	0.08667846	-0.00529481	-0.00483463	-0.00178453	0.06331573	0.09297033	0.06868424	0.00072241	-0.00259639	-0.00701158	0.05179150	0.07558060	0.04761630	0.00110431	-0.00123565	-0.00826390
