Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10090387	0.04917284	0.06390902	0.01018595	-0.00316863	0.00160643	0.08337075	0.04746918	0.05007124	0.00278679	0.00191456	0.00112582	0.06941734	0.04978846	0.03900855	0.00606837	0.00850115	0.00360632	0.08119294	0.05738631	0.09300143	-0.00998792	-0.01534237	0.00091117	0.05152038	0.07263510	0.06782509	0.00622513	-0.00709220	0.00061255	0.04914082	0.06214625	0.03727347	-0.00835279	-0.00740140	0.00244879
0.033333	0.10105652	0.04909313	0.06396525	0.01133864	-0.00745892	0.00456849	0.08341326	0.04748492	0.05010958	0.00348420	-0.00085853	0.00195769	0.06949095	0.04990235	0.03909339	0.00923533	0.01103175	0.00138168	0.08104303	0.05713677	0.09301759	-0.01018864	-0.01718509	0.00113301	0.05162796	0.07251110	0.06782845	0.00538478	-0.00914100	0.00150830	0.04900824	0.06199550	0.03732368	-0.00696796	-0.00914257	0.00258354
0.050000	0.10127655	0.04901261	0.06401318	0.01249132	-0.01174920	0.00753056	0.08348327	0.04748600	0.05013232	0.00418162	-0.00363163	0.00278955	0.06966204	0.05009852	0.03911340	0.01240229	0.01356235	-0.00084296	0.08086645	0.05686242	0.09304181	-0.01038936	-0.01902782	0.00135486	0.05172167	0.07237829	0.06786040	0.00454443	-0.01118981	0.00240405	0.04888283	0.06187345	0.03736675	-0.00558313	-0.01088374	0.00271828
0.066666	0.10147201	0.04882990	0.06411293	0.01423979	-0.01325372	0.01082548	0.08354119	0.04745268	0.05015230	0.00511749	-0.00582189	0.00498800	0.06990113	0.05036554	0.03906329	0.01274636	0.01339381	0.00038849	0.08066355	0.05651643	0.09305902	-0.00886749	-0.01845896	0.00210547	0.05178776	0.07218271	0.06790875	0.00461748	-0.01175669	0.00283626	0.04878009	0.06171326	0.03739878	-0.00437448	-0.01276304	0.00377085
0.083333	0.10170016	0.04851256	0.06430611	0.01699972	-0.01359660	0.01505254	0.08362602	0.04731005	0.05021706	0.00585655	-0.00795176	0.00848904	0.07015444	0.05062606	0.03899444	0.01360765	0.01468834	0.00234517	0.08050064	0.05616544	0.09307612	-0.00707339	-0.01750892	0.00322455	0.05184161	0.07194482	0.06795416	0.00473585	-0.01219933	0.00387584	0.04873077	0.06147902	0.03743523	-0.00314475	-0.01413971	0.00492944
0.100000	0.10198652	0.04812084	0.06467972	0.01897965	-0.01168429	0.01976625	0.08374951	0.04707428	0.05040868	0.00560316	-0.00883488	0.01400908	0.07041658	0.05086397	0.03902989	0.01231839	0.01671073	0.00684258	0.08040298	0.05584313	0.09314489	-0.00446176	-0.01425073	0.00442998	0.05191487	0.07169148	0.06803057	0.00570620	-0.01056552	0.00467470	0.04871675	0.06114922	0.03755481	-0.00261546	-0.01394963	0.00618226
0.116666	0.10236795	0.04797550	0.06502083	0.01996533	-0.00806501	0.02406037	0.08388101	0.04691657	0.05064073	0.00504019	-0.00784614	0.02003493	0.07061366	0.05108635	0.03916856	0.01081255	0.02134922	0.01147170	0.08036782	0.05562523	0.09323446	-0.00178930	-0.00898790	0.00545921	0.05200897	0.07150852	0.06810665	0.00714841	-0.00657848	0.00500133	0.04870111	0.06088116	0.03767556	-0.00261293	-0.01098518	0.00687410
