Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10325996	0.05432699	0.06383845	-0.00081774	-0.00123609	0.00981108	0.08640854	0.05600532	0.05513002	-0.01539609	0.00098996	0.01924418	0.06995464	0.05324272	0.05025114	-0.01015731	0.00957154	0.02030138	0.08697321	0.06441230	0.08974492	-0.00802133	-0.00347157	0.00443289	0.05174192	0.07421925	0.07410185	-0.01226356	0.00670313	0.02641622	0.05295295	0.06589938	0.04162686	-0.00948051	0.00464251	0.02174399
0.016667	0.10324944	0.05430890	0.06400924	-0.00046782	-0.00205246	0.00976462	0.08615145	0.05601339	0.05545034	-0.01235699	-0.00002727	0.01818444	0.06979238	0.05340778	0.05057724	-0.00831980	0.00763449	0.01929376	0.08685111	0.06436057	0.08981673	-0.00742908	-0.00384317	0.00566462	0.05154701	0.07432614	0.07453638	-0.00919510	0.00752989	0.02444821	0.05280552	0.06596574	0.04197825	-0.00796038	0.00501285	0.02029468
0.033333	0.10323943	0.05427231	0.06416409	-0.00011791	-0.00286882	0.00971817	0.08593389	0.05602738	0.05575189	-0.00931788	-0.00104450	0.01712471	0.06963985	0.05353782	0.05091770	-0.00648229	0.00569744	0.01828614	0.08671637	0.06429190	0.08990702	-0.00683683	-0.00421477	0.00689636	0.05137604	0.07445052	0.07495696	-0.00612664	0.00835664	0.02248020	0.05265893	0.06605339	0.04232861	-0.00644025	0.00538318	0.01884537
0.050000	0.10322849	0.05422859	0.06432074	0.00036817	-0.00335019	0.00962783	0.08577155	0.05601111	0.05604405	-0.00748727	-0.00170354	0.01573746	0.06951307	0.05362353	0.05122117	-0.00501501	0.00473278	0.01702329	0.08658594	0.06421721	0.09002854	-0.00571927	-0.00429602	0.00746290	0.05124575	0.07459512	0.07532812	-0.00405328	0.00826619	0.02055873	0.05252077	0.06616390	0.04265090	-0.00485171	0.00491662	0.01696388
0.066666	0.10324450	0.05415612	0.06448718	0.00079323	-0.00361863	0.00900399	0.08571775	0.05596485	0.05630451	-0.00495916	-0.00226493	0.01370067	0.06948666	0.05367416	0.05150407	-0.00328769	0.00321196	0.01500294	0.08650124	0.06413902	0.09017150	-0.00465622	-0.00453683	0.00832431	0.05126641	0.07476018	0.07566061	-0.00201176	0.00818323	0.01735761	0.05249988	0.06624997	0.04293211	-0.00348290	0.00473196	0.01446311
0.083333	0.10326916	0.05407759	0.06465574	0.00111435	-0.00309979	0.00840198	0.08567151	0.05589405	0.05651524	-0.00329503	-0.00234087	0.01206714	0.06945854	0.05370629	0.05173013	-0.00171152	0.00267587	0.01277577	0.08645134	0.06406938	0.09032661	-0.00359317	-0.00428764	0.00876132	0.05129721	0.07490112	0.07592094	-0.00066862	0.00775523	0.01443470	0.05247129	0.06631119	0.04312992	-0.00239844	0.00394499	0.01242767
0.100000	0.10330015	0.05400769	0.06478505	0.00103962	-0.00222559	0.00787313	0.08564961	0.05584529	0.05667457	-0.00269682	-0.00202785	0.01116468	0.06945659	0.05372659	0.05191809	-0.00077539	0.00278182	0.01098889	0.08641993	0.06398633	0.09048223	-0.00267853	-0.00361139	0.00919696	0.05131048	0.07501871	0.07611740	-0.00035491	0.00731572	0.01229701	0.05247300	0.06637549	0.04328959	-0.00195416	0.00303564	0.01125024
0.116666	0.10331731	0.05398894	0.06488812	0.00058454	-0.00147923	0.00729709	0.08558894	0.05582993	0.05682014	-0.00285627	-0.00163729	0.01097797	0.06942312	0.05377602	0.05207218	-0.00046972	0.00275887	0.00982896	0.08637097	0.06392146	0.09062022	-0.00218672	-0.00270245	0.00934847	0.05125871	0.07511409	0.07627379	-0.00091173	0.00699899	0.01093411	0.05240232	0.06641962	0.04343854	-0.00210625	0.00245099	0.01075546
