Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10088392	0.05109506	0.06613613	0.00390542	-0.00408925	-0.00673572	0.08622261	0.05363696	0.05392236	0.00888649	-0.00932103	-0.02015664	0.07073307	0.05460372	0.04479904	0.00865534	-0.01332577	-0.02251300	0.08451480	0.06143470	0.09290691	0.00910979	-0.00381451	-0.00557734	0.04899106	0.07107729	0.07267039	0.01171338	-0.03467488	-0.01529975	0.05176460	0.06503587	0.04035899	0.01156001	-0.01959756	-0.01045080
0.033333	0.10094632	0.05100195	0.06601695	0.00376159	-0.00366503	-0.00685285	0.08634920	0.05345510	0.05356989	0.01054269	-0.00696617	-0.02070986	0.07086144	0.05436950	0.04437792	0.01006034	-0.01281117	-0.02291040	0.08465137	0.06135043	0.09281408	0.00912491	-0.00269764	-0.00545027	0.04916282	0.07040308	0.07239800	0.01391893	-0.03147003	-0.01734614	0.05194815	0.06461146	0.04019193	0.01380158	-0.01740135	-0.01433356
0.050000	0.10100130	0.05096750	0.06591287	0.00361776	-0.00324081	-0.00696997	0.08652754	0.05335152	0.05325864	0.01219888	-0.00461131	-0.02126309	0.07101872	0.05415187	0.04407043	0.01146533	-0.01229658	-0.02330780	0.08481608	0.06131298	0.09273098	0.00914004	-0.00158078	-0.00532320	0.04939121	0.06996173	0.07215118	0.01612448	-0.02826519	-0.01939252	0.05214871	0.06441812	0.03996276	0.01604316	-0.01520513	-0.01821631
0.066666	0.10108360	0.05092573	0.06579729	0.00254390	-0.00393517	-0.00687084	0.08677044	0.05330363	0.05288515	0.01088620	-0.00484359	-0.02098919	0.07126383	0.05398369	0.04366421	0.00967894	-0.01348099	-0.02312297	0.08498258	0.06131817	0.09262857	0.00808686	-0.00279647	-0.00464289	0.04972156	0.06956173	0.07180457	0.01482545	-0.03073910	-0.01943499	0.05248311	0.06421874	0.03965013	0.01464397	-0.01750238	-0.01951309
0.083333	0.10113139	0.05087421	0.06567528	0.00132803	-0.00441277	-0.00642619	0.08700033	0.05327657	0.05252415	0.00994668	-0.00424780	-0.02047087	0.07146499	0.05377463	0.04326525	0.00825580	-0.01414895	-0.02238100	0.08513000	0.06130760	0.09254559	0.00695734	-0.00377761	-0.00405410	0.05000847	0.06913760	0.07143682	0.01440343	-0.03122942	-0.01946342	0.05277868	0.06399497	0.03924225	0.01393026	-0.01849867	-0.02114783
0.100000	0.10113938	0.05077480	0.06555140	-0.00020716	-0.00518708	-0.00580753	0.08715577	0.05319780	0.05215496	0.00815533	-0.00445872	-0.01910281	0.07159041	0.05351153	0.04283059	0.00591042	-0.01474645	-0.02106193	0.08522417	0.06122860	0.09249167	0.00555417	-0.00534606	-0.00337442	0.05023959	0.06851356	0.07105278	0.01273563	-0.03214588	-0.01855038	0.05300866	0.06357317	0.03882746	0.01197749	-0.02020542	-0.02113855
0.116666	0.10110843	0.05066741	0.06546488	-0.00166361	-0.00541579	-0.00542501	0.08722817	0.05309578	0.05184891	0.00647279	-0.00452517	-0.01743767	0.07161422	0.05322187	0.04250770	0.00409914	-0.01479060	-0.01951220	0.08528467	0.06108771	0.09245524	0.00441017	-0.00687296	-0.00269798	0.05039143	0.06787036	0.07078470	0.01144216	-0.03186872	-0.01750253	0.05314635	0.06317147	0.03847557	0.00998114	-0.02083343	-0.02068464
