Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14947607	0.09665384	0.08299558	0.00380853	-0.00071962	-0.00042174	0.13610521	0.08978066	0.07891262	0.00376301	-0.00074078	0.00040479	0.12465863	0.07639647	0.07415140	0.00622282	-0.00276298	-0.00126701	0.13265139	0.08189079	0.12408306	0.00669586	0.00117809	-0.00101112	0.10247668	0.07112664	0.11101412	0.00365229	0.00344851	-0.00334428	0.10407855	0.07040428	0.07631389	0.00452449	-0.00451283	-0.00148737	0.16971387	0.15431444	0.13351600	0.00467489	0.00080034	-0.00214317
0.016667	0.14954622	0.09664039	0.08298822	0.00347347	-0.00066139	-0.00046782	0.13617535	0.08978009	0.07891744	0.00349180	-0.00123024	-0.00021435	0.12476472	0.07637386	0.07413299	0.00599118	-0.00452625	-0.00124097	0.13275856	0.08193056	0.12406335	0.00531839	0.00087507	-0.00104763	0.10254065	0.07119397	0.11096269	0.00280784	0.00280426	-0.00345023	0.10416095	0.07033608	0.07629129	0.00296139	-0.00431770	-0.00174210	0.16979389	0.15434201	0.13347228	0.00398623	0.00022844	-0.00145957
0.033333	0.14959735	0.09662750	0.08298306	0.00313842	-0.00060316	-0.00051391	0.13622649	0.08975019	0.07892106	0.00322060	-0.00171971	-0.00083350	0.12485860	0.07628196	0.07411006	0.00575954	-0.00628951	-0.00121493	0.13285664	0.08192816	0.12405028	0.00394093	0.00057206	-0.00108414	0.10258796	0.07123235	0.11090171	0.00196338	0.00216001	-0.00355618	0.10420922	0.07025350	0.07626182	0.00139829	-0.00412257	-0.00199684	0.16985790	0.15433723	0.13345198	0.00329757	-0.00034347	-0.00077598
0.050000	0.14964488	0.09662305	0.08297378	0.00283220	-0.00102491	-0.00019953	0.13627166	0.08971021	0.07890374	0.00312754	-0.00152700	-0.00102133	0.12495880	0.07615465	0.07408722	0.00525302	-0.00653068	-0.00106667	0.13292228	0.08191702	0.12403016	0.00289546	0.00122916	-0.00106868	0.10261811	0.07126077	0.11083811	0.00150093	0.00201099	-0.00342277	0.10422290	0.07018606	0.07622497	0.00062883	-0.00397404	-0.00192136	0.16991481	0.15431131	0.13345031	0.00258529	0.00030145	-0.00077471
0.066666	0.14969473	0.09661422	0.08295926	0.00201748	-0.00173841	0.00039034	0.13632929	0.08967710	0.07887250	0.00258909	-0.00162438	-0.00135743	0.12505090	0.07602105	0.07406848	0.00440771	-0.00770918	-0.00095189	0.13295451	0.08193328	0.12401385	0.00143417	0.00124589	-0.00094112	0.10262795	0.07128683	0.11077895	0.00066825	0.00124038	-0.00321479	0.10421471	0.07012187	0.07618715	-0.00076980	-0.00400239	-0.00173506	0.16995321	0.15430526	0.13344607	0.00152007	0.00056058	-0.00043459
0.083333	0.14973862	0.09658623	0.08296312	0.00132315	-0.00264884	0.00094049	0.13638169	0.08966111	0.07884039	0.00228726	-0.00148312	-0.00145119	0.12512337	0.07590404	0.07405871	0.00344207	-0.00808879	-0.00079252	0.13294861	0.08198749	0.12399092	0.00035405	0.00142649	-0.00073672	0.10263520	0.07131649	0.11072881	0.00008006	0.00046026	-0.00273724	0.10418851	0.07007036	0.07615435	-0.00151404	-0.00410905	-0.00123196	0.16997117	0.15432790	0.13343686	0.00064068	0.00115298	-0.00040524
0.100000	0.14974517	0.09652912	0.08299413	0.00079446	-0.00350484	0.00135474	0.13641164	0.08964137	0.07881822	0.00205771	-0.00138395	-0.00124038	0.12516715	0.07576394	0.07404762	0.00250914	-0.00838976	-0.00057612	0.13293706	0.08202792	0.12398013	-0.00031680	0.00144464	-0.00053305	0.10262613	0.07132719	0.11068060	-0.00018254	-0.00045847	-0.00213702	0.10414634	0.07000353	0.07613475	-0.00178904	-0.00429777	-0.00061631	0.16996033	0.15437467	0.13342685	-0.00008769	0.00171878	-0.00053652
0.116666	0.14973626	0.09644409	0.08304176	0.00037164	-0.00411855	0.00160248	0.13642575	0.08962259	0.07879989	0.00178643	-0.00146296	-0.00083346	0.12518738	0.07562229	0.07403778	0.00192866	-0.00897027	-0.00045456	0.13292558	0.08204006	0.12397866	-0.00066906	0.00123937	-0.00027400	0.10261918	0.07130380	0.11065441	-0.00023566	-0.00131541	-0.00159253	0.10410952	0.06991669	0.07613669	-0.00181333	-0.00416925	-0.00006307	0.16994826	0.15440454	0.13341847	-0.00072062	0.00232645	-0.00076726
