Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.14951545	0.09793880	0.07904613	0.00373566	-0.01838438	0.01259321	0.13732751	0.08695271	0.07395426	-0.00844124	0.00116900	0.02718959	0.12494798	0.07033462	0.06840324	0.00491304	0.02213569	0.03475676	0.13429350	0.08566342	0.12253529	0.02759691	-0.02311261	0.01167153	0.10534108	0.06957489	0.11122982	0.02696707	-0.01379726	0.01915284	0.10498945	0.07184054	0.07491072	0.00787835	-0.02084632	0.00771909	0.16832864	0.15716298	0.12458676	0.01404515	-0.01279300	0.01985670
0.033333	0.14955287	0.09769466	0.07924069	0.00755760	-0.01817472	0.01187195	0.13718413	0.08702084	0.07439612	-0.00466438	-0.00067279	0.02473252	0.12509710	0.07069758	0.06901977	0.00184716	0.02157376	0.02915349	0.13474117	0.08531160	0.12272571	0.02668183	-0.02139338	0.01016919	0.10576765	0.06937148	0.11153236	0.02528730	-0.01254854	0.01780033	0.10512739	0.07153159	0.07502326	0.00705804	-0.02149620	0.00781040	0.16853322	0.15698369	0.12488911	0.01447996	-0.01170431	0.02263391
0.050000	0.14969113	0.09735622	0.07943922	0.01137954	-0.01796506	0.01115070	0.13710956	0.08698584	0.07480570	-0.00088752	-0.00251458	0.02227546	0.12506980	0.07107561	0.06946605	-0.00121873	0.02101184	0.02355023	0.13519368	0.08491647	0.12290040	0.02576674	-0.01967416	0.00866685	0.10621819	0.06913628	0.11184439	0.02360752	-0.01129982	0.01644782	0.10524266	0.07115716	0.07516179	0.00623773	-0.02214608	0.00790171	0.16879675	0.15675496	0.12527412	0.01491478	-0.01061563	0.02541113
0.066666	0.14992034	0.09693924	0.07967920	0.01276796	-0.01389848	0.00902392	0.13708292	0.08686820	0.07523149	0.00222892	-0.00056822	0.01871224	0.12499517	0.07143569	0.06987154	-0.00019603	0.02113913	0.02036401	0.13566612	0.08454314	0.12306310	0.02409974	-0.01743622	0.00732313	0.10665105	0.06890064	0.11215147	0.02162260	-0.00939645	0.01428532	0.10535239	0.07069770	0.07532848	0.00611796	-0.01958792	0.00644832	0.16909884	0.15652739	0.12576467	0.01380218	-0.00892896	0.02506762
0.083333	0.15015705	0.09673598	0.07980406	0.01628316	-0.01229429	0.00772397	0.13715602	0.08682382	0.07550583	0.00644008	0.00002913	0.01529376	0.12493773	0.07172521	0.07011452	-0.00085663	0.02223985	0.01560504	0.13601993	0.08431686	0.12314678	0.02314890	-0.01614000	0.00582865	0.10694194	0.06879973	0.11235777	0.02005980	-0.00856220	0.01194869	0.10541170	0.07039302	0.07543107	0.00610764	-0.01866803	0.00533017	0.16929908	0.15643519	0.12619147	0.01429839	-0.00863787	0.02680655
0.100000	0.15046148	0.09667095	0.07987785	0.01884796	-0.01037367	0.00649626	0.13734338	0.08689174	0.07567731	0.00963997	0.00239146	0.01213935	0.12497099	0.07209842	0.07031561	-0.00025932	0.02423061	0.01205006	0.13637340	0.08412717	0.12321380	0.02219887	-0.01478678	0.00452867	0.10722863	0.06872384	0.11251526	0.01860227	-0.00809911	0.00934642	0.10551985	0.07014207	0.07550009	0.00633481	-0.01710765	0.00392930	0.16949369	0.15637451	0.12663826	0.01438996	-0.00814612	0.02747025
0.116666	0.15077116	0.09660409	0.07992720	0.02077320	-0.00907414	0.00541943	0.13755821	0.08697329	0.07579277	0.01155158	0.00533143	0.00920840	0.12501939	0.07248241	0.07047745	-0.00033803	0.02715774	0.00878766	0.13669112	0.08392312	0.12326550	0.02095335	-0.01340927	0.00344188	0.10749245	0.06863418	0.11262123	0.01727208	-0.00773034	0.00690713	0.10562146	0.06994026	0.07551108	0.00648810	-0.01630730	0.00299883	0.16969769	0.15625618	0.12704875	0.01417546	-0.00733341	0.02734300
