Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11188399	0.09672213	0.08294069	-0.00008758	-0.00788308	-0.00453861	0.09573513	0.07734942	0.07428239	-0.00431748	-0.00473505	-0.00175749	0.08323081	0.05401184	0.05716925	0.00351583	-0.00314185	0.00022084	0.09080497	0.11692435	0.11541105	-0.00008170	-0.00608737	-0.00179411	0.06218840	0.08692545	0.10374980	0.00094416	-0.00663276	-0.00196752	0.05703321	0.06259145	0.06580739	-0.00379288	0.00045449	-0.00260093	0.14341205	0.15753968	0.08084381	-0.00105620	-0.00501188	-0.00139122
0.016667	0.11187790	0.09659439	0.08285663	-0.00008807	-0.00660810	-0.00393482	0.09565844	0.07726643	0.07425358	-0.00479782	-0.00376718	-0.00142404	0.08329286	0.05395318	0.05718193	0.00253716	-0.00208341	-0.00019938	0.09081409	0.11682114	0.11538560	-0.00042088	-0.00534253	-0.00180625	0.06220454	0.08681531	0.10371768	0.00021033	-0.00602382	-0.00212924	0.05697173	0.06257959	0.06576870	-0.00475278	0.00131228	-0.00251190	0.14339499	0.15745828	0.08082528	-0.00097320	-0.00503766	-0.00126914
0.033333	0.11187699	0.09647954	0.08279797	-0.00008855	-0.00533311	-0.00333102	0.09558511	0.07720939	0.07422873	-0.00527816	-0.00279931	-0.00109058	0.08333562	0.05392117	0.05717411	0.00155848	-0.00102498	-0.00061959	0.09079706	0.11673176	0.11535307	-0.00076007	-0.00459770	-0.00181840	0.06220807	0.08671357	0.10368182	-0.00052350	-0.00541488	-0.00229095	0.05689447	0.06261571	0.06572017	-0.00571268	0.00217006	-0.00242286	0.14337762	0.15737258	0.08079772	-0.00089020	-0.00506344	-0.00114706
0.050000	0.11188510	0.09638040	0.08274955	-0.00060406	-0.00443621	-0.00317534	0.09549917	0.07716012	0.07420757	-0.00580496	-0.00207462	-0.00099525	0.08335564	0.05391163	0.05715043	0.00092265	-0.00066135	-0.00032827	0.09077515	0.11665649	0.11531701	-0.00065461	-0.00427728	-0.00154719	0.06220700	0.08661574	0.10364370	-0.00117941	-0.00500301	-0.00247371	0.05679937	0.06266999	0.06567816	-0.00621655	0.00158452	-0.00229177	0.14336480	0.15728624	0.08077883	-0.00080556	-0.00505815	-0.00093099
0.066666	0.11188131	0.09633283	0.08270282	-0.00091177	-0.00383516	-0.00253358	0.09539817	0.07713392	0.07420234	-0.00651195	-0.00117492	-0.00110127	0.08336196	0.05391412	0.05713727	-0.00039421	-0.00009548	-0.00053782	0.09076343	0.11659758	0.11528750	-0.00077568	-0.00392222	-0.00132978	0.06216905	0.08655323	0.10360110	-0.00199898	-0.00472056	-0.00289043	0.05667515	0.06271920	0.06564390	-0.00688917	0.00110172	-0.00211363	0.14334863	0.15720204	0.08076184	-0.00066102	-0.00529105	-0.00061326
0.083333	0.11185187	0.09630835	0.08265521	-0.00095282	-0.00394543	-0.00197352	0.09527583	0.07713412	0.07419482	-0.00704109	-0.00085950	-0.00150975	0.08335132	0.05392496	0.05714210	-0.00166920	-0.00020901	-0.00094373	0.09075937	0.11654647	0.11527584	-0.00055600	-0.00404997	-0.00098516	0.06212704	0.08648562	0.10355490	-0.00268714	-0.00474097	-0.00348946	0.05654888	0.06272453	0.06561346	-0.00713884	-0.00032041	-0.00178621	0.14334022	0.15712111	0.08075877	-0.00057541	-0.00563691	-0.00027251
0.100000	0.11181331	0.09625936	0.08262189	-0.00070580	-0.00443371	-0.00144192	0.09514695	0.07713739	0.07416941	-0.00700220	-0.00075188	-0.00211057	0.08331270	0.05393036	0.05714484	-0.00262694	-0.00064655	-0.00165120	0.09074786	0.11648438	0.11526287	-0.00028249	-0.00439783	-0.00059180	0.06206650	0.08641709	0.10349473	-0.00307209	-0.00496419	-0.00410264	0.05641888	0.06270626	0.06558221	-0.00689079	-0.00204001	-0.00145477	0.14333364	0.15702847	0.08075763	-0.00052415	-0.00604796	-0.00003692
0.116666	0.11179673	0.09615812	0.08260980	-0.00009637	-0.00497202	-0.00081428	0.09501641	0.07712984	0.07412174	-0.00625758	-0.00068590	-0.00267015	0.08325029	0.05391290	0.05711529	-0.00310776	-0.00106428	-0.00260347	0.09074097	0.11640386	0.11525697	-0.00010271	-0.00457285	-0.00032451	0.06201632	0.08631756	0.10341854	-0.00306554	-0.00518473	-0.00451283	0.05630946	0.06265157	0.06555774	-0.00612740	-0.00342341	-0.00114598	0.14332755	0.15691735	0.08076371	-0.00052527	-0.00658053	0.00017911
