Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.11538474	0.09318367	0.07916545	0.00340418	0.00028897	-0.00982043	0.09573045	0.07976808	0.07288710	-0.00272432	0.00367956	-0.00514707	0.08695664	0.05643914	0.05941933	-0.00172251	-0.00137972	-0.00231571	0.09781691	0.10963755	0.10683653	-0.00422722	0.00464430	-0.00434959	0.07140991	0.07487317	0.10273418	-0.00102107	0.00257832	0.00363940	0.06418705	0.06141109	0.06148883	-0.00733554	0.00658485	0.00166890	0.14691576	0.15545610	0.07678048	0.00438685	-0.00423269	-0.00742654
0.033333	0.11544117	0.09316580	0.07899871	-0.00048928	-0.00038222	-0.01123962	0.09570248	0.07982753	0.07280733	-0.00468427	0.00481704	-0.00051253	0.08696143	0.05642484	0.05938961	-0.00186168	-0.00050314	0.00510829	0.09776439	0.10968951	0.10677037	-0.00078276	-0.00113167	-0.00385860	0.07145191	0.07488727	0.10281073	0.00216455	0.00129618	0.00944276	0.06412674	0.06153271	0.06152879	-0.00690850	0.00521502	0.00895582	0.14698781	0.15537472	0.07666381	0.00472607	-0.00879589	-0.00867363
0.050000	0.11546625	0.09319742	0.07882722	-0.00438275	-0.00105340	-0.01265881	0.09563874	0.07991963	0.07277820	-0.00664423	0.00595453	0.00412201	0.08692762	0.05642349	0.05944208	-0.00200086	0.00037344	0.01253228	0.09773000	0.10972331	0.10671021	0.00266169	-0.00690765	-0.00336760	0.07144789	0.07494304	0.10294145	0.00535017	0.00001404	0.01524611	0.06397150	0.06163797	0.06163642	-0.00648147	0.00384519	0.01624274	0.14707124	0.15526026	0.07651382	0.00506530	-0.01335909	-0.00992071
0.066666	0.11534655	0.09318518	0.07859786	-0.00491770	-0.00151460	-0.01274542	0.09547950	0.08002830	0.07284883	-0.00540981	0.00664576	0.00742487	0.08684270	0.05641605	0.05964942	0.00057560	0.00198138	0.01753902	0.09774867	0.10961005	0.10662860	0.00530260	-0.00960469	-0.00214451	0.07145722	0.07498010	0.10318066	0.01078979	-0.00172329	0.01959205	0.06380223	0.06168258	0.06191482	-0.00310322	0.00430740	0.02084198	0.14714627	0.15503126	0.07635489	0.00529120	-0.01532285	-0.01054124
0.083333	0.11520340	0.09312259	0.07836472	-0.00663738	-0.00214958	-0.01304039	0.09532037	0.08009966	0.07302864	-0.00607269	0.00671613	0.01308107	0.08678457	0.05640829	0.06004756	0.00052400	0.00256828	0.02585356	0.09789415	0.10933874	0.10659384	0.00848684	-0.01237952	-0.00094086	0.07164338	0.07489830	0.10357770	0.01471544	-0.00317273	0.02602435	0.06369630	0.06166025	0.06236793	-0.00276362	0.00260986	0.02869198	0.14724536	0.15469214	0.07614378	0.00557738	-0.01793600	-0.01161140
0.100000	0.11503405	0.09306865	0.07811499	-0.00734824	-0.00343261	-0.01328295	0.09526654	0.08029775	0.07332309	-0.00767394	0.00528725	0.01855087	0.08694250	0.05654737	0.06060268	-0.00224699	0.00123609	0.03394554	0.09814294	0.10897009	0.10661294	0.01151656	-0.01321496	-0.00005551	0.07211697	0.07479063	0.10414899	0.01646760	-0.00459446	0.03200804	0.06385186	0.06179610	0.06296770	-0.00491547	-0.00065910	0.03651742	0.14734948	0.15428714	0.07594582	0.00628802	-0.01957149	-0.01272631
0.116666	0.11495873	0.09302341	0.07792410	-0.00740281	-0.00474190	-0.01382464	0.09522998	0.08038687	0.07365506	-0.00935268	0.00400735	0.02345311	0.08701459	0.05662126	0.06119310	-0.00588635	-0.00090514	0.04120029	0.09833106	0.10876848	0.10663711	0.01440937	-0.01289086	0.00058349	0.07251014	0.07468790	0.10470068	0.01679599	-0.00533508	0.03736757	0.06388006	0.06181985	0.06358588	-0.00828325	-0.00375466	0.04364005	0.14743826	0.15398550	0.07573351	0.00745083	-0.02114148	-0.01379007
