Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11029112	0.10583521	0.08204176	-0.01414133	0.01806434	0.01482448	0.09671582	0.08757834	0.07947461	-0.01396542	0.01814533	0.05978604	0.09167891	0.06461149	0.08000571	-0.01980082	0.01590519	0.09411064	0.09331141	0.12015462	0.11576815	-0.00269138	0.02157771	0.01787975	0.07277571	0.08411317	0.11672870	-0.01416700	0.01735020	0.08578283	0.06772064	0.06223460	0.07946924	-0.02392465	0.00705271	0.09659474	0.13749963	0.16870956	0.07996043	0.00207306	-0.00338794	-0.00214011
0.016667	0.11006490	0.10618488	0.08229015	-0.01466012	0.01462547	0.01526675	0.09652214	0.08794954	0.08048853	-0.01595429	0.01722521	0.05433081	0.09141394	0.06494872	0.08159116	-0.01990028	0.01383623	0.08466136	0.09327567	0.12055386	0.11606525	-0.00449361	0.01993671	0.01666441	0.07258631	0.08450052	0.11819880	-0.01277273	0.01627884	0.07749938	0.06737866	0.06244058	0.08110479	-0.02432125	0.00710889	0.08683529	0.13754448	0.16865595	0.07991976	0.00033036	-0.00404881	-0.00053644
0.033333	0.10981072	0.10638557	0.08252743	-0.01517890	0.01118661	0.01570901	0.09621950	0.08814879	0.08137416	-0.01794316	0.01630510	0.04887559	0.09100153	0.06505611	0.08297305	-0.01999975	0.01176727	0.07521208	0.09320632	0.12083460	0.11633781	-0.00629584	0.01829572	0.01544906	0.07231666	0.08465330	0.11945216	-0.01137846	0.01520748	0.06921594	0.06689508	0.06244119	0.08252669	-0.02471785	0.00716507	0.07707585	0.13755131	0.16858840	0.07990545	-0.00141234	-0.00470968	0.00106723
0.050000	0.10954986	0.10654807	0.08283051	-0.01524551	0.00919461	0.01439145	0.09588929	0.08839913	0.08224224	-0.01804929	0.01487250	0.04364083	0.09063952	0.06524448	0.08432230	-0.01998756	0.01874421	0.07127085	0.09306910	0.12115756	0.11662449	-0.00656548	0.01679531	0.01296946	0.07207045	0.08487833	0.12064760	-0.00913117	0.01437062	0.06211346	0.06645914	0.06253066	0.08389572	-0.02432684	0.00623560	0.06800410	0.13750176	0.16851120	0.07994376	-0.00169129	-0.00481332	0.00150808
0.066666	0.10929565	0.10665987	0.08306339	-0.01531246	0.00355867	0.01232707	0.09557331	0.08868676	0.08284858	-0.01875218	0.00860754	0.03501094	0.09034397	0.06550271	0.08524652	-0.02173864	0.03146497	0.06773152	0.09294564	0.12139523	0.11682243	-0.00742353	0.01298164	0.00916336	0.07200064	0.08513368	0.12153273	-0.00726259	0.00847064	0.04963265	0.06609616	0.06271077	0.08482224	-0.02428243	0.00075883	0.05383364	0.13745607	0.16840784	0.07998334	-0.00279964	-0.00520544	0.00264608
0.083333	0.10903726	0.10678313	0.08329901	-0.01360381	-0.00167210	0.00853881	0.09527368	0.08897056	0.08341616	-0.01661687	0.00217521	0.02478997	0.09009070	0.06577262	0.08613369	-0.02005771	0.03478019	0.05727407	0.09280773	0.12167616	0.11697973	-0.00696595	0.00804781	0.00489289	0.07194479	0.08547147	0.12234764	-0.00419577	0.00181203	0.03621902	0.06572565	0.06289866	0.08566493	-0.02073870	-0.00424158	0.03873222	0.13739909	0.16831911	0.08004537	-0.00324154	-0.00592458	0.00326605
0.100000	0.10878471	0.10669632	0.08340569	-0.00966691	-0.00591567	0.00382380	0.09495697	0.08893060	0.08374349	-0.01188752	-0.00343510	0.01392642	0.08964394	0.06702705	0.08734243	-0.01474364	0.01974974	0.03636885	0.09268063	0.12177879	0.11698229	-0.00529880	0.00217539	0.00108652	0.07189272	0.08542676	0.12281704	-0.00119575	-0.00548182	0.02256156	0.06532422	0.06271692	0.08613289	-0.01488155	-0.00835670	0.02380481	0.13735124	0.16823852	0.08009647	-0.00319266	-0.00680107	0.00352399
0.116666	0.10858374	0.10646943	0.08342452	-0.00441870	-0.00950906	-0.00000071	0.09472682	0.08858783	0.08390979	-0.00612150	-0.00854633	0.00465313	0.08922774	0.06798563	0.08833528	-0.00845439	-0.00299913	0.01332638	0.09259484	0.12174056	0.11693574	-0.00301023	-0.00327778	-0.00140038	0.07182436	0.08510717	0.12307162	0.00091788	-0.01271212	0.01050987	0.06498344	0.06229138	0.08643850	-0.00886723	-0.01204311	0.01125452	0.13729203	0.16813020	0.08015902	-0.00278303	-0.00763926	0.00357436
