Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11485765	0.02960942	0.05722624	0.00240647	-0.00866128	0.00106698	0.09048442	0.04275502	0.05224556	0.00317210	-0.00516554	0.00891354	0.06967369	0.04840190	0.04240100	-0.00002678	0.00500666	0.00356417	0.11231847	0.06522071	0.10112351	-0.00368284	-0.00991125	0.00289479	0.08165535	0.07895827	0.08385091	-0.00355066	-0.01678656	0.00115138	0.06076737	0.07860367	0.05256107	-0.00497457	-0.00370575	0.00772543
0.033333	0.11491200	0.02945915	0.05726069	0.00290708	-0.00685363	0.00177854	0.09058894	0.04266577	0.05239918	0.00140168	-0.00262701	0.00979580	0.06971976	0.04847687	0.04242327	-0.00155010	0.00945907	0.00217193	0.11225587	0.06505729	0.10117098	-0.00230291	-0.00674288	0.00158117	0.08159671	0.07867333	0.08386115	-0.00430407	-0.01199712	0.00098147	0.06069753	0.07852809	0.05267245	-0.00481291	-0.00047341	0.00817786
0.050000	0.11494024	0.02934398	0.05727513	0.00340769	-0.00504598	0.00249009	0.09055957	0.04261993	0.05256812	-0.00036873	-0.00008848	0.01067807	0.06967583	0.04860582	0.04250704	-0.00307341	0.01391148	0.00077969	0.11220427	0.06492134	0.10121270	-0.00092298	-0.00357450	0.00026755	0.08153379	0.07844839	0.08389510	-0.00505747	-0.00720768	0.00081156	0.06059650	0.07852170	0.05282125	-0.00465125	0.00275892	0.00863030
0.066666	0.11498957	0.02926378	0.05729833	0.00415491	-0.00391712	0.00362016	0.09049971	0.04258382	0.05272037	0.00046950	0.00137503	0.01205958	0.06956725	0.04890231	0.04250568	-0.00077296	0.01354649	-0.00062512	0.11220246	0.06487469	0.10120283	-0.00091307	-0.00228655	0.00006754	0.08143234	0.07834660	0.08390297	-0.00438152	-0.00532089	0.00063304	0.06051994	0.07856079	0.05298291	-0.00466447	0.00341350	0.00758921
0.083333	0.11507331	0.02922852	0.05736723	0.00530722	-0.00225257	0.00417351	0.09052303	0.04271273	0.05292721	-0.00024803	0.00230596	0.01287605	0.06947362	0.04919911	0.04253000	-0.00044350	0.01372345	-0.00147421	0.11222746	0.06490570	0.10117106	-0.00045497	-0.00022259	-0.00048977	0.08134121	0.07836526	0.08390796	-0.00343868	-0.00207101	-0.00006959	0.06045338	0.07872520	0.05313067	-0.00480391	0.00385096	0.00651859
0.100000	0.11517560	0.02920460	0.05749078	0.00666155	-0.00139140	0.00412253	0.09054025	0.04277970	0.05319490	0.00022173	0.00248180	0.01272059	0.06957602	0.04950767	0.04238436	0.00052713	0.01217072	-0.00145328	0.11222587	0.06493928	0.10115518	-0.00016049	0.00069049	-0.00058241	0.08126058	0.07837331	0.08391173	-0.00200384	-0.00056572	-0.00096795	0.06038914	0.07882434	0.05322404	-0.00480168	0.00331310	0.00537286
0.116666	0.11529616	0.02921831	0.05758639	0.00734779	-0.00132154	0.00356862	0.09058806	0.04285343	0.05344593	0.00044674	0.00164783	0.01170493	0.06965838	0.04962270	0.04235010	0.00219551	0.01018787	-0.00120569	0.11220175	0.06496552	0.10114736	0.00014465	0.00006147	-0.00004951	0.08127204	0.07838749	0.08389421	-0.00085116	-0.00100822	-0.00130911	0.06029554	0.07886188	0.05326976	-0.00489067	0.00223638	0.00492342
